,dsrA
Cr_1,-8.198895473651639e-06
Cr_2,0.002652079552626091
Cr_3,0.00044904346527223447
Cr_4,0.0018932297737614227
Cr_5,0.00789767405108772
Cr_6,0.011208134990274695
Fe_1,-0.004470892536151569
Fe_2,-0.012445513719365187
Fe_3,-0.01771125789597221
Fe_4,-0.021577754201905133
Fe_5,-0.022556514366778392
Fe_6,-0.024858218945742
Cd_1,0.00010778672420495004
Cd_2,0.003025254245609025
Cd_3,0.00642523463801744
Cd_4,0.008364234253861659
Cd_5,0.009656239241197458
Cd_6,0.011215320009812436
Zn_1,-0.0013464744122762033
Zn_2,-0.0011829271637226366
Zn_3,0.00301819006385661
Zn_4,0.009970619348544721
Zn_5,0.0178049060377176
Zn_6,0.020505202442455718
Cu_1,0.004426593701423893
Cu_2,0.010032475406955831
Cu_3,0.013184202067433828
Cu_4,0.017476851718063586
Cu_5,0.02286830918508762
Cu_6,0.026904323244091487
Pb_1,0.002612206235883893
Pb_2,0.004882646454262629
Pb_3,0.006751841141105505
Pb_4,0.0047414846613707965
Pb_5,0.0043829377119537095
Pb_6,0.007149196861313055
