,A,Fnr,ihfB
R2,,0.3137827843819606,0.0504225296164571
xmin,,-9.786193262000001,-2.3858350260000005
xmid,,,
xmax,,2.044364117999999,1.6466498449999991
ystart,,-15.55255986939893,-3.7550535554935816
yend,,5.610541497969825,3.136744258346107
control__wt_glc__1,-0.0171178759300825,-0.0526320000000009,0.08337238499999877
control__wt_glc__2,0.0171178759300963,0.05263199999999912,-0.08337238500000055
fur__wt_dpd__1,-4.757511729123864,-0.2233275490000004,0.7158603249999995
fur__wt_dpd__2,-5.172016950488964,-0.20726320800000053,0.8566654449999991
fur__wt_fe__1,-0.4029267452127892,-0.559124369000001,-0.0769950650000002
fur__wt_fe__2,-0.4555488374370605,-0.5180337210000019,-0.08671744500000145
fur__delfur_dpd__1,-5.463016785998393,-0.35869387400000186,0.6898034449999989
fur__delfur_dpd__2,-5.69214953140318,-0.3499676950000019,0.621869414999999
fur__delfur_fe2__1,-5.589022726440001,-0.2728296990000008,0.3658187149999996
fur__delfur_fe2__2,-5.607568767317394,-0.2654058500000005,0.33581042499999825
acid__wt_ph5__1,-0.0555016531396912,-0.5248469310000008,0.2842574349999989
acid__wt_ph5__2,0.2878405540606956,-0.5394919760000008,0.3016573449999989
acid__delgadx_ph5__2,0.0964125443901723,-0.4808098230000013,0.03620512499999862
acid__delgadw_ph5__1,-0.1532064040455096,-0.5694477410000012,0.19517709499999825
acid__delgadw_ph5__2,-0.2397239218140235,-0.5457824470000006,0.1831834249999993
acid__delgade_ph5__1,0.596382807072722,-0.4965959550000018,0.3321859449999991
acid__delgade_ph5__2,0.5922480159925402,-0.5235996460000011,0.2395609849999989
oxidative__wt_pq__1,-5.515766309054231,-0.27798360400000105,0.9466146249999988
oxidative__wt_pq__2,-5.686613001414913,-0.40360473400000174,0.948808184999999
oxidative__deloxyr_pq__1,-3.8678464525866776,-0.11731480800000148,0.8749087249999992
oxidative__deloxyr_pq__2,-3.957909218164021,-0.05299572400000052,0.9672342149999996
oxidative__delsoxr_pq__1,-5.676614517877958,-0.4695711340000006,1.0713253449999982
oxidative__delsoxr_pq__2,-5.268903905516403,-0.4755742960000013,1.1682316949999991
oxidative__delsoxs_pq__1,-5.8016292867146015,-0.1387633190000006,1.1351437949999994
oxidative__delsoxs_pq__2,-5.838039352848206,-0.1421156520000011,1.020138574999999
nac_ntrc__wt_csn__1,1.662715239354183,-0.1587119630000018,0.17254414499999982
nac_ntrc__wt_csn__2,1.2391353575901336,-0.2040164890000007,0.2130251749999985
