,-0.09308072667956654,-0.06648623334254752,-0.0398917400055285,-0.013297246668509483,0.013297246668509538,0.03989174000552856,0.06648623334254758,0.0930807266795666,0.11967522001658562,0.14626971335360464,0.17286420669062366,0.19945870002764268,0.2260531933646617,0.2526476867016807,0.2792421800386997,0.30583667337571874,0.33243116671273776,0.3590256600497568,0.3856201533867758,0.4122146467237948
thresh,-0.10637797334807605,0.10637797334807605,8,,,,,,,,,,,,,,,,,
unreg,0,5,36,1992,1653,42,4,0,0,3,0,0,0,0,0,0,0,0,0,0
Fnr,0,0,3,113,113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF,0,0,2,59,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gcvB,0,0,1,28,28,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr and IHF,0,0,3,37,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr and gcvB,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF and gcvB,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fnr, IHF, and gcvB",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],['fliK' 'fliJ' 'fliI'],[],[],[],[],[],[],[],[],[],[]
Fnr_genes,[],[],['aldA' 'hmp' 'pdhR'],"['citF' 'cadC' 'cyoA' 'ydfO' 'nrdG' 'nrdD' 'garP' 'ydfZ' 'garL' 'ccmB'
 'hyfI' 'hlyE' 'aceE' 'narL' 'hcp' 'pdeF' 'puuA' 'hyfB' 'hyfJ' 'gcvT'
 'dpiA' 'uraA' 'aceF' 'caiD' 'moaA' 'yecR' 'moeA' 'moaB' 'upp' 'gcvH'
 'rplM' 'napD' 'uxaC' 'moaE' 'ackA' 'citC' 'hyfE' 'moaC' 'citG' 'garK'
 'poxB' 'glnD' 'rimM' 'gcvP' 'citX' 'acrE' 'ravA' 'acrF' 'cydC' 'fes'
 'pykA' 'xdhA' 'gnd' 'amtB' 'cydB' 'garR' 'ygbA' 'scpB' 'lpd' 'ccmE'
 'ccmF' 'ycaC' 'glnK' 'scpC' 'moeB' 'dpiB' 'fepE' 'sdhD' 'caiC' 'garD'
 'ccmC' 'ansB' 'hyfA' 'tar' 'napB' 'narX' 'rplT' 'viaA' 'argK' 'gadA'
 'ccmG' 'moaD' 'ydhX' 'ytfE' 'ung' 'caiT' 'cyoD' 'nikB' 'nikD' 'ychO'
 'ydhW' 'cyoC' 'trmD' 'napC' 'ynfH' 'cydA' 'citE' 'rplD' 'dmsD' 'dcuS'
 'cydD' 'yibN' 'entF' 'soxR' 'hyfR' 'iraD' 'fixA' 'caiE' 'aspC' 'dcuR'
 'zwf' 'hcr' 'puuP']","['sdhA' 'cyoB' 'rpsP' 'rplV' 'sdhC' 'rpsC' 'xdhB' 'napA' 'yffS' 'ydhV'
 'hyfD' 'ompX' 'pitA' 'cheB' 'rpsI' 'thrA' 'rplC' 'focB' 'feoC' 'ybdN'
 'rplB' 'fumC' 'ybdZ' 'napH' 'uxaA' 'yfcZ' 'scpA' 'dcuC' 'caiA' 'gadX'
 'hyfH' 'fdnI' 'fdnH' 'napG' 'purN' 'caiB' 'rpsS' 'dcuB' 'rplW' 'sdhB'
 'nikC' 'emrK' 'fumB' 'acnA' 'malP' 'nikA' 'hyfF' 'feoB' 'ccmA' 'ortT'
 'ccmH' 'rplP' 'cyoE' 'fdnG' 'bcsZ' 'gapC' 'caiF' 'rpsJ' 'ynfK' 'katG'
 'fixC' 'tpx' 'rplS' 'pepT' 'fixB' 'nikR' 'cheZ' 'nfeR' 'bcsB' 'ydhT'
 'glpC' 'hyfG' 'fixX' 'rpsQ' 'ccp' 'frdB' 'rpmC' 'ymjE' 'msrB' 'nac'
 'hyfC' 'fdhF' 'feoA' 'purM' 'xdhC' 'cheY' 'dcuA' 'mltA' 'ydeJ' 'tap'
 'ccmD' 'nikE' 'fumA' 'aer' 'soxS' 'aspA' 'frdC' 'glpA' 'ynfG' 'gadW'
 'ynfE' 'frdA' 'glpB' 'napF' 'cheR' 'ynfF' 'ompW' 'malQ' 'aroP' 'arcA'
 'frdD' 'ydhY' 'iraM']",['grcA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
