locus,gene_weight,gene_name,gene_product,cog,operon,regulator,TreR,link
b4240,0.5196142896,treB,trehalose-specific PTS enzyme IIBC component,Carbohydrate transport and metabolism,treBC,"RpoD,YbiH,Crp,ArcA,TreR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12127
b4239,0.5052647768,treC,trehalose-6-phosphate hydrolase,Carbohydrate transport and metabolism,treBC,"RpoD,YddM,Crp,ArcA,TreR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11402
