,A,TreR
R2,,0.012862044336556577
xmin,,-3.5210620667
xmid,,0.6598002034575574
xmax,,3.4984057679
ystart,,0.7655669174634983
yend,,4.346705305414751
SRX1125282,0.5278365225,0.1835233155
SRX1125283,0.1465316553,-0.1127038342
SRX1125284,0.0844931033,-0.0457505559
SRX1125285,0.19011119370000001,-0.3483962841
SRX1125286,-0.3316722025,-0.33338240950000003
SRX1125287,-0.7585493465,-0.4352012557
SRX1125288,-0.2862626418,-0.1665412994
SRX1125289,0.8920358768000001,-0.20339274440000002
SRX1125290,-0.0067467604,-0.032594205200000004
SRX1125291,-0.2814447218,-0.0643173045
SRX1125292,-0.9674162183,-0.0179364001
SRX1125293,-0.45718064540000003,-0.16254372490000002
SRX1125294,-0.24157388070000002,-0.016982016200000002
SRX1125295,-0.08420671980000001,0.1251029531
SRX1125296,0.3335323562,-0.0486272419
SRX1125297,-0.3504171185,-0.1639598417
SRX1125298,-0.32853525840000003,0.0104712087
SRX1125299,-0.2764430482,-0.17307251210000002
SRX5694250,-0.5981021192,1.1030629648999999
SRX5694251,0.0739438592,-0.1532390592
SRX5694252,4.7460166285,0.33700216990000004
SRX5694253,2.1685584998,0.307991175
SRX5694254,5.2933652802,0.7549969279000001
SRX5694255,2.0745452245,0.8846101023
SRX5694256,9.1880726087,-0.0259209274
SRX5694257,0.6209786037,0.7473496611
SRX5694258,-0.7517558206,0.5165766857
SRX5694259,0.49561691410000003,-0.3988158935
SRX5694260,5.1662931659,0.5277310697
SRX5694261,6.9269736428,3.4704321968
SRX5694262,9.4353175203,1.8058276204
SRX5694263,5.812947465,0.07494335170000001
SRX5694264,-0.42114615850000003,-0.22290861180000002
SRX5694265,7.591904476,0.6777686272
SRX5694267,1.9896756465,0.2215298112
SRX5694268,3.7425211358,0.22102040320000002
SRX5694269,4.0609548576,-0.0430582538
SRX5694271,-2.1216019258,0.2011249924
SRX5694273,7.1440159227,-0.1418794714
SRX5694274,0.2560893065,0.5374550239
SRX5694275,10.1257223459,-0.6208041301
SRX5694276,4.3965022374,0.10614074030000001
SRX5694277,2.7520836275000002,0.1084742085
SRX5694278,5.4023282089,-0.1488437521
SRX5694279,-1.8838204165999999,0.20176226500000002
SRX5694280,8.3513594737,2.5522668458
SRX5694281,-2.1121812355,0.0379365151
SRX5694282,2.9890323886,1.0561875841
SRX5694283,9.6076634358,1.8566699708
SRX5694284,6.287676713,1.8019924681
SRX5694285,8.7276323487,-0.23082462080000002
SRX5694286,10.0619067841,-0.5203906715000001
SRX5694287,6.6091491515000005,0.9207418186
SRX5694288,0.0198189788,-0.1305590224
SRX5694289,3.7920754472000002,0.2398028117
SRX5694290,-0.6387198620000001,-0.2714681296
SRX5694291,1.7498948932,0.7973384076000001
SRX5694292,-1.5059599713,-0.3342209928
SRX5694293,-1.4210416427,0.2020057194
SRX5694294,0.07832504330000001,-0.0876160998
SRX5694295,2.4569374448,0.6447397395000001
SRX5694296,0.4258953582,0.1970017925
SRX5694297,0.6677867661,0.4760168133
SRX5694298,8.3448741644,-0.10824185360000001
SRX5694299,-1.3113602901,-0.2565890099
SRX5694300,7.8988081826,-0.1916363347
SRX5694301,-1.5952407939,-0.1191389555
SRX5694302,2.131372762,-0.3056460574
SRX5694303,2.7843169695,-0.727904004
SRX5694304,8.7503979711,0.0039638636
SRX5694305,0.7304453747,-0.3532110061
SRX5694306,6.2056236661,1.5295355653
SRX5694307,3.2343169548,1.3515484745
SRX5694308,-1.0100695522,-0.2155540163
SRX5694309,4.3844046619,-0.21152365520000002
SRX5694310,7.4975087902,1.8808269417
SRX5694311,2.8071391574,-0.1189019991
SRX5694312,9.6802522992,1.8388555444999999
SRX5694313,5.895888651,-0.1105921643
SRX5694315,5.9815276835,-0.2829186132
SRX5694317,1.633847947,0.8186736224000001
SRX5694319,1.1750934947,0.1590522248
SRX5694320,2.5819857788,0.3513359279
SRX5694321,7.9559614125,0.1814088083
SRX5694322,0.9169783204,1.3865919103
SRX5694323,7.3469572148,0.6073816127
SRX5694324,-0.0170689727,0.6488785937
SRX5694325,4.6918111137,2.2040565825
SRX5694326,8.409554978,-0.405515607
SRX5694327,5.2525620696,1.9863343043000001
SRX5694328,0.5108782390000001,-0.055704686600000004
SRX5694329,4.9355325403,0.8187127441000001
SRX5694330,7.089525944,1.3845429989
SRX5694331,-1.9338209408,0.1724495497
SRX5694332,5.2834682977,0.07977271130000001
SRX5694334,-0.8135055601000001,-0.4470027521
SRX5694335,2.0984897632,0.45506409880000004
SRX5694336,5.5968728736,-0.0751276309
SRX5694337,8.6604054063,2.1817188911
SRX5694338,1.5206559232,-0.009108830600000001
SRX5694339,1.3532416866,-0.2776592717
SRX5694340,9.2929519929,-0.27975926
SRX5694341,0.2439883568,0.094267077
SRX5694342,1.6892245503,0.4887226425
SRX5694343,1.5009948162,1.2706530863
SRX5694344,2.872531464,0.49903913800000005
SRX5694345,1.5174843897999999,0.5539388518
SRX5694346,6.1156547816,0.4333286857
SRX5694347,0.4641254631,0.015547304000000001
SRX5694348,1.0098634972,0.26447389920000003
SRX5694349,-0.22171036200000002,-0.8590290859
SRX5694350,6.1404893047,-0.9755915939
SRX5694351,3.5301594848,0.9495688262
SRX5694352,0.9893392307000001,0.3311929148
SRX5694353,1.45651383,0.0828567025
SRX5694354,1.9604173537,-0.4878692653
SRX5694356,3.5929493491,-0.10395474190000001
SRX5694357,1.5586819249000001,0.4715266628
SRX5694358,6.5389631658,-0.1819666962
SRX5694359,9.9096249159,-0.5104777024
SRX5694360,9.9818597461,-0.3064878776
SRX5694361,2.0751284809,1.5253250169
SRX5694362,2.4143015959,0.8813828782
SRX5694363,3.2178483784,0.4860627295
SRX5694364,4.2829488059,-1.1240441509
SRX5694365,5.4232851942,1.7260200991999999
SRX5694366,-0.3376583877,-0.37135613300000003
SRX5694367,5.1701249174,2.3847458132
SRX5694368,7.9464920834,-0.4142811383
SRX5694369,7.1477162847,-0.021028733100000002
SRX5694370,9.1884195433,0.0246126836
SRX5694371,5.2956867165,-0.2098273719
SRX5694372,10.311706512,-0.2872389259
SRX5694373,6.1538778136,-0.4297952645
SRX5694374,3.9466112621000002,-0.2798678995
SRX5694375,-0.7001387910000001,0.0933348402
SRX5694376,-0.9987061072000001,0.9041867502000001
SRX5694377,6.0149826179,-0.4701008997
SRX5694378,9.9922924955,-0.4252116594
SRX5694379,9.6908696644,-0.4788347886
SRX5694380,7.2774863594,0.7961495498000001
SRX5694381,-2.1741231789,0.3541484267
SRX5694382,1.9260232709,0.2150199917
SRX5694383,-0.30524432690000003,-0.1379719478
SRX5694384,-1.5266137533,0.0904617285
SRX5694385,6.2427125225,0.893951825
SRX5694386,5.1639256562,-0.4767257174
SRX5694387,-0.6278923361000001,-0.1660456944
SRX5694388,-0.4982696244,0.4021242748
SRX5694389,6.7901677368,-0.5264809236
SRX5694390,-1.4081939966,-0.14506078590000002
SRX5694391,2.1630994382,0.7907522904000001
SRX5694392,5.5509342877,-0.22186453050000002
SRX5694393,-1.969986148,0.1105341024
SRX5694394,-1.0003269752,0.365299859
SRX5694395,3.3629936346,0.5999960318
