,ppdD
Cr_1,-0.0046946636610991155
Cr_2,-0.003327268510537193
Cr_3,0.0027668338983422524
Cr_4,0.0020276013235440496
Cr_5,0.0071264353483704536
Cr_6,0.011946719355051849
Fe_1,-0.03364001862792392
Fe_2,-0.07642411275520991
Fe_3,-0.11636116074124572
Fe_4,-0.15480364735451066
Fe_5,-0.17667582517558142
Fe_6,-0.19294846683842085
Cd_1,-0.0013404494492612455
Cd_2,0.0011075088946601538
Cd_3,0.0018757877892255953
Cd_4,0.006807648456694895
Cd_5,0.008004615853812137
Cd_6,0.0069391221091380855
Zn_1,-0.056027776968135726
Zn_2,-0.09580790842751426
Zn_3,-0.11075809721755003
Zn_4,-0.11864335889367113
Zn_5,-0.11275320295021628
Zn_6,-0.10975202817002787
Cu_1,0.003624431025520921
Cu_2,0.0020214713168473877
Cu_3,0.011063485283433564
Cu_4,0.01700019324588152
Cu_5,0.01355094705090671
Cu_6,0.010565799863991459
Pb_1,-0.0023503395237485605
Pb_2,0.0015256627890383135
Pb_3,0.00576109451152554
Pb_4,0.011975849788939107
Pb_5,0.02081377819801172
Pb_6,0.0378154376446156
