,Value,list
TF,CcpA + SigA,
reg_genes,245,"['hutM' 'araM' 'ganA' 'abn2' 'ackA' 'yvcN' 'resB' 'S1079' 'glpK' 'iolD'
 'dctP' 'rapG' 'xynP' 'rhaA' 'fadB' 'S1322' 'hutU' 'S1097' 'leuC' 'S82'
 'odhB' 'S1528' 'araL' 'licB' 'yjmF' 'S1481' 'iolJ' 'iolG' 'S322' 'araQ'
 'dra' 'S635' 'gmuA' 'exuT' 'ytzK' 'S1085' 'fadA' 'S1099' 'odhA' 'sigB'
 'pdp' 'S262' 'ganB' 'araB' 'ganS' 'phrC' 'acsA' 'ilvB' 'glvR' 'yxiE'
 'qcrC' 'treR' 'S1382' 'degU' 'gntZ' 'nagB' 'melR' 'resC' 'S1516' 'abf2'
 'rsbV' 'resA' 'yjmB' 'ganQ' 'kdgK' 'acoR' 'phoR' 'abfA' 'resD' 'S667'
 'S1518' 'melA' 'rapC' 'S1356' 'melC' 'uxuA' 'rhaB' 'phrA' 'araE' 'mdh'
 'phrE' 'yneN' 'kduD' 'fadR' 'S636' 'gntK' 'kdgA' 'hutI' 'pupG' 'S1098'
 'gntP' 'cstA' 'S948' 'qcrA' 'S138' 'iolI' 'S836' 'hutG' 'sspH' 'ysfE'
 'araN' 'rsbU' 'gmuR' 'ilvC' 'rhaEW' 'mleA' 'S1355' 'S1505' 'icd' 'wprA'
 'S879' 'amyE' 'lcfA' 'rsbT' 'degS' 'kdgT' 'hutP' 'S1101' 'melD' 'rapA'
 'hutH' 'kdgR' 'ylbP' 'S669' 'S854' 'manR' 'rsbS' 'pta' 'yjmD' 'glmR'
 'S1526' 'ganP' 'S1138' 'ccpC' 'citB' 'iolA' 'nupC' 'etfB' 'rsbW' 'rsbX'
 'S321' 'xylB' 'iolH' 'citM' 'etfA' 'qcrB' 'rhaR' 'exuR' 'resE' 'S452'
 'abnA' 'melE' 'yvcJ' 'gntR' 'fadE' 'S1517' 'S947' 'whiA' 'S1120' 'iolE'
 'S108' 'araP' 'acuB' 'acuA' 'glpD' 'yvcI' 'yjmC' 'lcfB' 'kduI' 'S1087'
 'malA' 'malP' 'phoP' 'iolC' 'leuD' 'acuC' 'gmuB' 'fadN' 'S1525' 'leuA'
 'S668' 'uxaB' 'S1119' 'S323' 'mtlR' 'yflN' 'S1084' 'araA' 'leuB' 'mleN'
 'rsbR' 'phrG' 'nagR' 'bglS' 'glpF' 'rhaM' 'iolB' 'crh' 'araD' 'ilvH'
 'uxaC' 'iolF' 'S1524' 'S878' 'tyrS' 'nagA' 'S1506' 'uxaA' 'drm' 'citZ'
 'S746' 'S1512' 'xynB' 'cccA']"
comp_genes,39,['mrgA' 'katA' 'ywsB' 'S1541' 'ptsG' 'ywsA' 'S1314' 'S1383']
both_genes,31,"['sacA' 'treP' 'S1513' 'licA' 'gmuF' 'licC' 'S1465' 'S203' 'glpQ' 'rbsR'
 'rbsA' 'gmuG' 'gmuE' 'S634' 'ywdA' 'rbsD' 'S1100' 'treA' 'xylA' 'S83'
 'gmuD' 'glpT' 'gmuC' 'licH' 'bglP' 'bglH' 'sacP' 'rbsB' 'rbsK' 'S1464'
 'rbsC']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,79,
comp_ops,15,
both_ops,10,
