,A,SigA,CcpA
R2,,0.00685477905449694,0.005918864904901899
xmin,,10.6334,9.9242
xmid,,13.49191008896718,
xmax,,14.8203,14.2719
ystart,,8.268544167638588,11.859201400226851
yend,,12.818768998953104,7.376139234940247
LBexp_1,33.9101538888,13.9229,13.797
LBexp_2,31.58371705,13.6986,13.1615
LBexp_3,31.0661361021,13.5366,12.7059
LBtran_1,27.4468279566,13.5861,12.5493
LBtran_2,21.6156719941,13.6947,12.3574
LBtran_3,19.5255765683,13.6814,12.2857
LBstat_1,19.7656331628,13.746,12.0787
LBstat_2,19.4843470559,13.8294,11.5717
LBstat_3,22.7903789622,13.7637,11.3853
LBGexp_1,7.1870828987,14.0966,13.3582
LBGexp_2,3.1685005654,13.9632,13.1662
LBGexp_3,8.1903225095,14.2782,13.3967
LBGtran_2,5.2043984523,13.6213,12.3418
LBGtran_3,1.9521146493,13.9309,13.0045
LBGstat_1,4.2373687581,13.8958,11.3051
LBGstat_2,5.9524721997,13.2182,10.6981
LBGstat_3,3.6466304062,12.9318,11.2644
S0_1,22.5380295772,13.7975,12.6449
S0_2,22.3725087524,13.5336,12.6027
S0_3,24.2945264809,13.7362,12.4492
S1_1,15.0256633841,14.1328,13.2494
S1_2,18.307579317,14.2092,13.0213
S1_3,16.7402181503,14.064,13.0393
S2_1,10.1072961467,12.1327,12.0649
S2_2,12.4346688724,12.2083,12.0151
S2_3,12.2580702338,11.9224,11.854
S3_1,6.957515935,13.7874,11.9803
S3_2,8.4855093755,12.9115,12.2435
S4_1,11.7237576775,13.3174,12.717600000000001
S4_2,15.4756731124,13.6235,12.1507
S4_3,13.3735020982,13.5395,11.9571
S5_1,14.27821509,13.9484,12.3901
S5_2,16.4843766637,14.1419,12.7341
S5_3,13.9735171879,13.9735,12.5828
S6_1,19.1834172132,14.1058,11.6917
S6_2,14.1790988522,14.8051,10.8814
S6_3,18.4761942947,13.7208,11.6091
S6/t_1,17.6502190464,14.058,11.5769
S6/t_2,13.0347543592,14.1715,10.5646
S6_4,14.0541458746,13.8429,11.4914
S6_5,14.7920628861,14.2173,11.9513
S6_6,15.2186892645,14.1053,12.376
S7_4,13.6195520278,13.8537,11.8847
S7_5,13.2319491176,13.728,11.6243
S7_6,12.8633201884,13.6696,11.788
S8_4,14.3924637986,13.1727,11.1753
S8_5,9.2824746106,13.7501,10.9266
G135_1,10.472438049800001,14.5319,13.2791
G135_3,7.8557627458,12.9564,11.7413
G150_1,35.45254155,13.5516,13.3299
G150_2,25.973262808,14.3711,13.6925
G150_3,33.4279556293,14.2475,13.8904
G180_1,4.2073817896,14.2981,13.2516
G180_2,5.2284806723,14.6324,13.6539
G180_3,5.9805245573,13.5078,12.6262
C30_1,3.4060200798,13.9429,12.5675
C30_2,4.3561504042,13.9782,12.8053
C90_1,-1.6297515722,13.9492,12.6199
C90_2,-3.2689337453,14.0178,12.8766
BI_1,13.6385744348,13.9966,13.2898
BI_2,14.042569625,14.2096,13.2832
BC_2,11.6773238713,14.5882,12.6386
BC/t_1,13.3744523861,14.4731,12.3724
BC/t_2,12.5705237806,14.5832,12.4993
BC_1,12.4492576442,14.0031,12.1312
Sw_1,17.1184479034,14.5375,12.4131
Sw_2,15.9372168515,14.5394,12.7188
BT_1,9.0144820126,14.0683,10.9107
BT_2,9.5807746542,13.4581,10.5779
B36_1,4.3437335479,13.5848,10.7933
B36_2,1.8755652476,13.206,11.1482
B60_1,13.9416698008,12.6109,10.6665
B60_2,11.4774169358,12.0737,10.8283
M9exp_1,-0.6133582723000001,13.9416,13.6424
M9exp_2,-0.0120823399,13.5344,13.2049
M9exp_3,0.6254406122,12.9987,12.9817
M9tran_1,8.1436139635,12.9718,12.4146
M9tran_2,5.5798911323,12.9986,12.4707
M9tran_3,7.0243437661,13.2089,12.7632
M9stat_1,19.4681743778,11.1238,10.364
M9stat_2,19.7014404008,10.8989,10.1983
M9stat_3,20.7230429402,10.6334,9.9242
M+G_1,4.9734161313000005,13.2264,12.9454
M+G_2,0.1027619748,13.4217,12.9502
M+G_3,0.8499197517,13.511800000000001,13.0831
Glu_1,3.4477673708,13.530100000000001,13.2722
