,A,GalS,GalR,Crp
R2,,0.05562700562236211,0.03842082039812411,0.006498509383788931
xmin,,-2.233619633,-2.8474820195,-9.852476477
xmid,,1.174551650446292,0.8872046114310036,-1.2602529332965011
xmax,,4.822382262,2.4568659215,1.6003325529999999
ystart,,-2.165914606408862,-2.0481566515878464,-2.569017054075164
yend,,0.6147036064318612,2.3578603074367397,-1.4803208764343827
control__wt_glc__1,-0.2958487461,0.053734076000000006,-0.053467942500000004,0.012478646000000001
control__wt_glc__2,0.2958487461,-0.053734076000000006,0.053467942500000004,-0.012478646000000001
fur__wt_dpd__1,-1.5386144738,-1.269632767,0.1875987455,0.077574131
fur__wt_dpd__2,-1.4191679576,-1.454021219,0.22001185150000002,-0.090682171
fur__wt_fe__1,-0.5377533709,-0.010997592,-0.1900561435,-0.030513673
fur__wt_fe__2,-0.3584564695,0.30532300300000004,-0.2293089895,0.05819072
fur__delfur_dpd__1,-0.9129503469,-0.6772459070000001,0.2444759675,-0.105981984
fur__delfur_dpd__2,-0.5935624323,-0.528665429,0.2277067385,-0.22346684100000003
fur__delfur_fe2__1,0.3261159521,0.067441551,-0.1510155025,0.436429913
fur__delfur_fe2__2,0.020774047900000002,-0.095832888,-0.13111179750000002,0.367563393
acid__wt_ph5__1,-2.0418129527,-0.25246868,0.1574433735,0.345522573
acid__wt_ph5__2,-2.124564359,-0.23037420900000002,0.3103926415,0.343136463
acid__delgadx_ph5__2,-1.298985963,0.033149857000000005,0.0895345285,0.33938771300000004
acid__delgadw_ph5__1,-1.6063453228,-0.221686229,0.0611079915,0.383863793
acid__delgadw_ph5__2,-1.6456716023,-0.317114263,0.0699684725,0.33986178300000003
acid__delgade_ph5__1,-2.1543481417,-0.17718319500000002,0.2520127065,0.43240872300000005
acid__delgade_ph5__2,-2.0875037862,-0.49213548300000004,0.2789327405,0.482436193
oxidative__wt_pq__1,-1.8981170995,-0.9985325230000001,0.2080629165,0.17662370300000002
oxidative__wt_pq__2,-2.0800935363,-1.473761096,0.2134044775,0.24038529300000003
oxidative__deloxyr_pq__1,-1.4466780387,-1.0502166,0.4820289525,0.513155013
oxidative__deloxyr_pq__2,-1.2172010744,-1.178064613,0.5640549085000001,0.536337303
oxidative__delsoxr_pq__1,-1.8931027731,-0.933456142,0.2664567735,0.334672533
oxidative__delsoxr_pq__2,-1.3168044198,-1.089581486,0.22081860050000002,0.387059873
oxidative__delsoxs_pq__1,-1.6244204393000001,-1.04435545,0.4998542615,0.513462963
oxidative__delsoxs_pq__2,-0.8984039490000001,-1.32020592,0.5127030245,0.5104807530000001
nac_ntrc__wt_csn__1,-1.8645852645,-0.476258304,0.30232555850000004,-0.07279683
nac_ntrc__wt_csn__2,-1.8262678062000002,-0.48857168700000003,0.3031403205,-0.093243951
nac_ntrc__wt_cytd__1,-0.8968606337,-0.820218093,0.0517371945,-0.043119613
nac_ntrc__wt_cytd__2,-1.3386384081,-0.671507898,0.027601332500000002,-0.07348926
nac_ntrc__wt_gln__1,-1.2345045982,-0.852369861,0.2123202595,0.16383650300000002
nac_ntrc__wt_gln__2,-1.0901650484,-0.749300049,0.16738411450000001,0.11651884600000001
nac_ntrc__bw_delnac_csn__1,-3.6132828798,-0.43046677400000005,0.3457177095,0.16921202300000002
nac_ntrc__bw_delnac_csn__2,-2.9816272939,0.043102139000000005,0.37446646450000004,0.03216219
nac_ntrc__bw_delnac_cytd__1,-2.0553845457,-0.470234806,0.1815122525,0.29367586300000004
nac_ntrc__bw_delnac_cytd__2,-1.6755738204,-0.4848636,0.1276270905,0.22863865300000003
nac_ntrc__bw_delnac_gln__1,-2.0785165612,-0.5380481690000001,0.2827837355,0.505105143
nac_ntrc__bw_delnac_gln__2,-2.4850336612,-0.9479672520000001,0.3933351795,0.563775123
nac_ntrc__bw_delnac_nh4__1,-1.1447974909,-0.171026442,-0.5829826055,0.339165103
nac_ntrc__bw_delnac_nh4__2,-1.1030059502,-0.183833815,-0.2843534775,0.360235063
misc__wt_no_te__1,-1.8994293528,-1.025633306,0.2181563685,0.32216916300000004
misc__wt_no_te__2,-1.9187202851,-0.366268225,0.12135483050000001,0.315987593
misc__bw_delcbl__1,-0.904696605,-0.109295955,0.0701949305,0.30577407300000004
misc__bw_delcbl__2,-0.9542342421000001,-0.294788957,0.0728145225,0.322569413
misc__bw_delfabr__1,-0.420528524,-0.32203234000000003,-0.0227979045,0.194465293
misc__bw_delfabr__2,-0.8914007621000001,-0.311915951,-0.0958568265,0.13385438500000002
misc__bw_delfadr__1,-1.1142016942,-0.544795924,-0.0240451245,0.325118883
misc__bw_delfadr__2,-0.9329130750000001,-0.500526449,0.0062610455,0.343466333
misc__nitr_031__1,-3.0705122186,-0.21424146700000002,0.4545550855,0.215598863
omics__wt_glu__1,0.603106394,0.389530409,-0.2377063425,0.348125933
omics__wt_glu__2,0.6917407885,0.250995827,-0.1285756775,0.319898823
omics__wt_gly__1,0.7961098062,-0.13397488500000002,-0.2961746035,0.31218181300000003
omics__wt_gly__2,0.3474978111,0.109665754,-0.3163628335,0.348980073
omics__wt_thr__1,-1.5104115745,1.430543133,0.2990915235,0.883560683
omics__wt_thr__2,-0.5398638951,1.256519302,0.6972183425,1.1275514229999999
omics__bw_ac__1,-1.0811076778,3.170169489,0.22425010950000002,0.46435899300000005
omics__bw_ac__2,-1.3976554411,3.06673528,0.5352600095,0.46188222300000004
omics__bw_fum__1,-2.8916202172,2.766992236,-0.0772203245,0.44664785300000004
omics__bw_fum__2,-2.273516952,2.766856394,-0.0301581105,0.49525865300000005
omics__bw_glc__1,-3.6148796544,0.285965481,0.2393857765,0.319951353
omics__bw_glc__2,-3.5671277492,0.184368852,0.1855136845,0.360933593
omics__bw_pyr__1,-1.4174299389,2.707484076,0.5084281945,0.8061810030000001
omics__bw_pyr__2,-2.4082494799,2.20492423,0.19634287150000002,0.764467493
ompr__wt_nacl__1,-1.106381752,-1.706519656,0.0080033495,-0.686581477
ompr__wt_nacl__2,-0.3714092318,-1.636500898,-0.0234309855,-0.620927
ompr__bw_delompr_nacl__1,-0.3469070273,-2.169578153,-0.5174887775,-1.046248202
ompr__bw_delompr_nacl__2,-0.3555642981,-1.421881568,-0.4525106605,-1.071490687
minspan__wt_ade__1,-1.6788696603000002,-0.28202318400000004,0.3557353095,-0.09169608400000001
minspan__wt_glc__2,-2.3690021948,-0.57452653,-0.1243426905,-0.171476714
minspan__wt_glc__3,-2.3574528473,-0.40681505300000004,-0.0200204535,-0.216511799
minspan__wt_glc__4,-1.9636645493,0.257873821,0.16855712450000002,-0.237794143
minspan__wt_glc_anaero__1,-3.4578827771,-1.334724956,0.2079702155,0.097308024
minspan__wt_glc_anaero__2,-4.3901554357,-0.816185912,0.7493883845,0.0007891440000000001
minspan__wt_trp__1,-2.3864727234,0.546984824,0.7463551295,0.37930993300000004
minspan__bw_delcra_glc__2,-1.9819669916,-0.815062613,0.6718709755000001,0.207746483
minspan__bw_delcra_trp__1,-2.4988015658,-0.660631673,0.3706388175,0.245706203
minspan__bw_delmntr__1,-1.1773955267,0.20740042900000003,0.7090802595,0.395080543
minspan__bw_delnac_ade__1,-2.9937507249,0.5510153910000001,0.4415837295,0.005806082000000001
minspan__bw_delnac_glc__1,-2.4905069566,-0.34891368,-0.2604507695,0.19238992300000002
cra_crp__wt_ac__1,1.1228538211,3.319493981,-0.039247224500000004,0.7848307330000001
cra_crp__wt_ac__2,1.2594781796,3.397712178,-0.0621554005,0.774460393
cra_crp__wt_fru__1,1.3333928934000001,2.006096125,0.1649423945,0.31349375300000004
cra_crp__wt_fru__2,1.0617279205,1.985223601,-0.12074377950000001,0.373244063
cra_crp__delcra_ac__1,-1.6561617828,2.282014373,0.1557828805,0.205353913
cra_crp__delcra_ac__2,-1.1965465442,2.262582507,-0.0960723805,0.159225273
cra_crp__delcra_fru__1,-2.0301507013,-0.41588771100000005,0.2646517805,0.12650519300000002
cra_crp__delcra_fru__2,-2.2172275491,-0.87947903,0.1861215285,0.163147493
cra_crp__delcra_glc__1,-1.6924039003,-1.070187062,0.057616730500000005,0.046791002000000005
cra_crp__delcra_glc__2,-1.8666831321,-0.47200464700000005,0.1008748795,-0.014761104
rpoB__wt_031__1,-1.477434834,3.277983823,0.45506512650000003,0.271760703
rpoB__wt_044__1,-1.3723518554,0.2360553,0.2744781955,0.20485867300000002
rpoB__wt_lb__1,-0.0006025641,3.996802208,0.0886417295,0.24727295300000002
rpoB__wt_lb__2,0.2029628027,3.953672757,0.0510933805,0.204154523
rpoB__rpoBE546V_031__1,-1.7130517318,2.409658259,-0.1156021555,0.45717146300000006
rpoB__rpoBE546V_044__1,-0.9283762508000001,2.052953909,-0.3561532705,0.376256283
rpoB__rpoBE546V_lb__1,0.3113468264,2.899366893,-0.3465168585,0.11748048200000001
rpoB__rpoBE546V_lb__2,-0.084422809,2.877610702,-0.3403745515,0.125422963
rpoB__rpoBE546V_glc__1,0.2181631114,0.409993217,-0.4701867025,-0.004082425000000001
rpoB__rpoBE672K_glc__1,0.39687530730000004,0.180965874,-0.5411945735,-0.66628918
rpoB__rpoBE672K_glc__2,0.504397074,0.733245916,-0.4219594525,-0.570898456
rpoB__rpoBE672K_lb__1,-0.6958960147000001,1.398551257,-1.0124842785000001,-0.228845183
rpoB__rpoBE672K_lb__2,-0.7213704392,1.057065609,-1.2034627485,-0.18410035800000002
crp__wt_fru__1,-0.3857744843,1.955675178,0.0038647985,-0.134837475
