,deaD
Cr_1,0.005656155501532275
Cr_2,0.018592233331679763
Cr_3,0.0233253940401266
Cr_4,0.024129088474365123
Cr_5,0.02612724628148608
Cr_6,0.023565786917152862
Fe_1,-0.00700602690302874
Fe_2,-0.006046834797984106
Fe_3,0.005485900114545543
Fe_4,0.00878741395239701
Fe_5,-0.0003868262507660561
Fe_6,-0.0030858663657999928
Cd_1,0.005745102795533828
Cd_2,0.017279203690776623
Cd_3,0.032172475527060394
Cd_4,0.04975280025321541
Cd_5,0.0565600722414475
Cd_6,0.05912767129267826
Zn_1,-0.01211431589647618
Zn_2,-0.01999832414412716
Zn_3,-0.023811234904637484
Zn_4,-0.023578556681981232
Zn_5,-0.023838487839772875
Zn_6,-0.04374270172752381
Cu_1,0.007026163947857054
Cu_2,0.014072864743899849
Cu_3,0.0180390116756661
Cu_4,0.026170323019532527
Cu_5,0.030435423773605894
Cu_6,0.034782240900843295
Pb_1,-0.0014381167510121116
Pb_2,0.010185700494269765
Pb_3,0.019402063402287617
Pb_4,0.028850233282051826
Pb_5,0.038741252052836364
Pb_6,0.04902785938323025
