,ygeX
Cr_1,-0.025340057843900275
Cr_2,-0.02683158366709637
Cr_3,-0.020128279537682443
Cr_4,-0.010976898365946806
Cr_5,-0.014606934680847878
Cr_6,-0.008551519268611137
Fe_1,-0.01119902660928693
Fe_2,-0.02220411900269243
Fe_3,0.00014492011541153204
Fe_4,0.0289633431871853
Fe_5,0.041428610506154116
Fe_6,0.03129492230048004
Cd_1,-0.0013392095488213547
Cd_2,0.007893421291337199
Cd_3,0.015878390991541588
Cd_4,0.02173521694853732
Cd_5,0.020183743644371564
Cd_6,0.023136371203607373
Zn_1,-5.461982534858659e-05
Zn_2,-0.03457896017253249
Zn_3,-0.026908820199413118
Zn_4,0.0027855054046523825
Zn_5,0.02531506406626361
Zn_6,0.032960084495191146
Cu_1,0.0080886873456086
Cu_2,0.016311701540881615
Cu_3,0.02519033265100732
Cu_4,0.02472927343277517
Cu_5,0.02831670640326311
Cu_6,0.03616559161321868
Pb_1,0.008744846074004548
Pb_2,0.010519095899365245
Pb_3,0.011580871409628948
Pb_4,0.027068068075336092
Pb_5,0.02838296693411121
Pb_6,0.034855432281645886
