,yajG
Cr_1,-0.002417964677662971
Cr_2,-0.00763089977370232
Cr_3,-0.014407572180539396
Cr_4,-0.017444506541695604
Cr_5,-0.01702227148943513
Cr_6,-0.017588313745630427
Fe_1,-0.005589493415788318
Fe_2,-0.009961737804057643
Fe_3,-0.010629356877451177
Fe_4,-0.012670610208471805
Fe_5,-0.016360084660206844
Fe_6,-0.019825096591084324
Cd_1,0.009026852690059749
Cd_2,0.0173077480786795
Cd_3,0.026090298167649437
Cd_4,0.03321074023981064
Cd_5,0.036961240335968384
Cd_6,0.044251812663156906
Zn_1,-0.0029754174204397413
Zn_2,-0.0011951607505059699
Zn_3,0.011209314968627522
Zn_4,0.027300000752198118
Zn_5,0.040398361424354434
Zn_6,0.05124172979757893
Cu_1,0.006503203551355916
Cu_2,0.015603838873510212
Cu_3,0.025915748154581864
Cu_4,0.03552617502046405
Cu_5,0.04679954616712044
Cu_6,0.06060666860014345
Pb_1,-0.0013202688889218492
Pb_2,-0.0016169921208205053
Pb_3,-7.769573499831677e-05
Pb_4,0.004757354303464527
Pb_5,0.010558222918150138
Pb_6,0.017680106204417383
