,yhhM
Cr_1,-0.0019801891103416467
Cr_2,0.0006902820730929656
Cr_3,0.001259831902738173
Cr_4,-0.003801130586532683
Cr_5,-0.007594428003036785
Cr_6,-0.008749917986169819
Fe_1,-0.009011439253060777
Fe_2,-0.02452029051307319
Fe_3,-0.04078542161619543
Fe_4,-0.0591168193391808
Fe_5,-0.06989138821763081
Fe_6,-0.07594979716081122
Cd_1,0.001418478513057174
Cd_2,0.005337243209250332
Cd_3,0.010277534171726931
Cd_4,0.013908030721885914
Cd_5,0.012752422737923465
Cd_6,0.015113266459284827
Zn_1,-0.0049302810911401075
Zn_2,-0.009494942607171366
Zn_3,-0.002466374015489777
Zn_4,0.014975086778750963
Zn_5,0.035453006948820184
Zn_6,0.05447631878621917
Cu_1,0.005153689678715671
Cu_2,0.00833250484649226
Cu_3,0.01301344260870762
Cu_4,0.017275460713660144
Cu_5,0.02322050739890755
Cu_6,0.027573307499137015
Pb_1,0.009883942943013329
Pb_2,0.023098911948818367
Pb_3,0.03427331639762683
Pb_4,0.0380248294329604
Pb_5,0.05056788764653319
Pb_6,0.06800543437245228
