,-0.33221319646470615,-0.2847541683983196,-0.237295140331933,-0.18983611226554642,-0.14237708419915984,-0.09491805613277327,-0.04745902806638669,-1.1102230246251565e-16,0.047459028066386466,0.09491805613277304,0.14237708419915962,0.1898361122655462,0.23729514033193277,0.28475416839831935,0.33221319646470593,0.3796722245310925,0.4271312525974791,0.47459028066386566,0.5220493087302522,0.5695083367966388
thresh,-0.35594271049789944,0.35594271049789944,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,1,0,3,114,2064,105,5,3,0,0,0,0,0,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['SACI_RS11930'],[]
