,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,AB0057_PGcoculture__PGAB,-0.8281758269,0.1779977744155083,3.0,0.0,-0.9922719677,1.0,-0.6389477671,2.0,-0.8533077459,,
1,AB0057_PGcoculture__AB ,0.0,0.09761177357789458,4.0,3.0,-0.14581963380000001,4.0,0.0492227178,5.0,0.05907926,6.0,0.037517656
2,AB0057_PGcoculture__ABPG,0.08451199737500001,0.14704359411925128,4.0,7.0,-0.0822437154,8.0,0.0588853074,9.0,0.2752964498,10.0,0.08610994770000001
3,AB5075_AZI__AZI_000,0.0,0.060962562864501205,2.0,11.0,-0.0431070416,17.0,0.0431070416,,,,
4,AB5075_AZI__preculture,-0.128317497,0.10577302309913544,2.0,12.0,-0.0535246751,13.0,-0.2031103189,,,,
5,AB5075_AZI__AZI_040,-0.66972757495,0.00818211987769583,2.0,14.0,-0.6755132074,18.0,-0.6639419425,,,,
6,AB5075_AZI__AZI_028,-0.29492417655000003,0.08981536415678237,2.0,15.0,-0.3584332296,19.0,-0.23141512350000001,,,,
7,AB5075_AZI__AZI_003,0.15256222130000002,0.04874356690818811,2.0,16.0,0.1180953146,20.0,0.18702912800000002,,,,
8,AB5075_VIR-O_AV-T__AV-T/vector,-0.16833396990000002,0.13009362718099554,3.0,21.0,-0.31669580010000004,28.0,-0.0737587581,29.0,-0.1145473515,,
9,AB5075_VIR-O_AV-T__VIR-O/vector,3.33333360913457e-11,0.1755496119744429,3.0,22.0,-0.0978571067,23.0,-0.104810369,24.0,0.2026674758,,
10,AB5075_VIR-O_AV-T__VIR-O/1645,-0.1758060011,0.14786562767436684,3.0,25.0,-0.294911199,26.0,-0.2222001233,27.0,-0.010306681,,
11,AB5075_VIR-O_LSO__VIR-O,0.0,0.018778205267098398,3.0,30.0,-0.0055736514,32.0,0.0209340514,34.0,-0.0153604,,
12,AB5075_VIR-O_LSO__LSO,0.12290851496666666,0.12057781081826653,3.0,31.0,0.0151172614,33.0,0.10048381220000001,35.0,0.2531244713,,
13,AB5075_Zinc__Control,0.0,0.36391643662416423,3.0,36.0,0.24305604690000002,37.0,-0.418391614,38.0,0.1753355671,,
14,AB5075_Zinc__Zinc,1.4422770581500002,0.03169264946433581,2.0,39.0,1.4646871455000001,40.0,1.4198669708,,,,
15,AB5075_biofilm+abx__planktonic,-3.700743415417188e-17,0.8886628894053321,3.0,41.0,1.008138957,42.0,-0.3383479846,44.0,-0.6697909724000001,,
16,AB5075_biofilm+abx__biofilm,3.4166319314,0.1321760471322856,3.0,43.0,3.4107648433,45.0,3.5516438249,46.0,3.2874871260000003,,
17,AB5075_biofilm+abx__cip_biofilm,2.0155606224333336,0.6271797711459811,3.0,47.0,1.6727083662000002,48.0,2.7394301532,50.0,1.6345433479,,
18,AB5075_biofilm+abx__tet_biofilm,4.242309072866667,1.2581781622044166,3.0,49.0,3.687478021,51.0,3.3569115589000003,52.0,5.6825376387,,
19,AB5075_gigAB__kan_gigB,-1.5539456488,0.22026077687574147,3.0,53.0,-1.7603354783,54.0,-1.5794645194,55.0,-1.3220369487,,
20,AB5075_gigAB__gigB,-0.5515062552666666,0.2808219792013377,3.0,56.0,-0.8294506396,57.0,-0.5571755973,58.0,-0.2678925289,,
21,AB5075_gigAB__kan_gigA,-1.1285834738666667,0.2518601751324958,3.0,59.0,-0.8381846631000001,60.0,-1.2601833996,61.0,-1.2873823589,,
22,AB5075_gigAB__gigA,-0.31386357160000006,0.5434162984319194,3.0,62.0,-0.1612210524,63.0,-0.9172772988000001,64.0,0.1369076364,,
23,AB5075_gigAB__kan_WT,-0.29451898316666664,0.09765912023753846,3.0,65.0,-0.2522094087,66.0,-0.4061985112,67.0,-0.2251490296,,
24,AB5075_gigAB__WT,0.0,0.21508096255979797,3.0,68.0,-0.2414227881,69.0,0.0702525148,70.0,0.1711702733,,
25,AB5075_med__CA-MHB,-0.32307269275,0.24662498379292552,2.0,71.0,-0.1486824943,72.0,-0.49746289120000003,,,,
26,AB5075_med__CA-MHB_pH6,-0.31233418820000003,0.17369282358444535,2.0,73.0,-0.18951481480000001,74.0,-0.4351535616,,,,
27,AB5075_med__RPMI+_pH7,0.3097554766,0.22208737587904728,2.0,75.0,0.1527159871,76.0,0.46679496610000004,,,,
28,AB5075_med__RPMI+_pH6,0.2200969949,0.4983963065785187,2.0,77.0,0.5725164030000001,78.0,-0.13232241320000002,,,,
29,AB5075_med__RPMI+_-HCO3,-0.11097503565,0.35388164646095266,2.0,79.0,-0.3612071476,80.0,0.1392570763,,,,
30,AB5075_med__LB,0.0,0.0012354066220863153,2.0,81.0,-0.0008735644,82.0,0.0008735644,,,,
31,AB5075_med__M9+AA,0.01664117435,0.05226593031392514,2.0,83.0,0.0535987681,84.0,-0.0203164194,,,,
32,AB5075_med__M9-AA,-0.17709811250000002,0.2753983245263563,2.0,85.0,-0.37183413530000003,86.0,0.0176379103,,,,
33,AYE_adeB__WT,0.0,0.07974782983092166,3.0,87.0,0.0507372461,88.0,0.041182224100000005,89.0,-0.0919194702,,
34,AYE_adeB__adeB,0.056398352799999996,0.22043303285261737,3.0,90.0,-0.1482748996,91.0,0.0276916015,92.0,0.2897783565,,
35,COL__0ug/ml,0.0,1.6432124742888907,2.0,93.0,1.1619266835,94.0,-1.1619266835,,,,
36,COL__0.25ug/ml,0.6978610685,0.3974525127992744,2.0,95.0,0.41681970150000003,96.0,0.9789024355,,,,
37,COL__1ug/ml,0.6656081669999999,0.6874952431996963,2.0,97.0,1.1517407155,98.0,0.17947561850000002,,,,
38,H2O2__0ug/ml,0.0,0.206671057594406,2.0,99.0,0.1461385063,100.0,-0.1461385063,,,,
39,H2O2__1.25ug/ml,0.6654072342999999,0.5143833542222006,2.0,101.0,1.0291311922,102.0,0.30168327640000003,,,,
40,H2O2__2.5ug/ml,1.5266195269,0.3857925102093332,2.0,103.0,1.799416027,104.0,1.2538230268000001,,,,
41,H2O2__5ug/ml,-0.22714493530000002,0.10810144808925816,2.0,105.0,-0.1507056683,106.0,-0.3035842023,,,,
42,MRP__0ug/ml,0.0,0.09234673932899669,2.0,107.0,-0.0652990056,108.0,0.0652990056,,,,
43,MRP__25ug/ml,-0.0004024337999999905,0.19981404118754334,2.0,109.0,0.1408874297,110.0,-0.1416922973,,,,
44,MRP__100ug/ml,0.1283660163,0.030546757823132202,2.0,111.0,0.10676619670000001,112.0,0.1499658359,,,,
45,MRP__200ug/ml,0.14404403335,0.02775671549502797,2.0,113.0,0.1244170716,114.0,0.1636709951,,,,
46,growth__2h,0.0,0.2047267999001253,2.0,115.0,-0.1447637085,116.0,0.1447637085,,,,
47,growth__4h,0.8420890084,0.13141846418735473,2.0,117.0,0.7491621212,118.0,0.9350158956,,,,
48,growth__6h,0.009749370650000005,0.4422492985079994,2.0,119.0,-0.3029681073,120.0,0.3224668486,,,,
49,growth__8h,0.71750293055,0.16470918897788642,2.0,121.0,0.8339699150000001,122.0,0.6010359461,,,,
50,growth__10h,1.2772986986500001,0.06990876323806419,2.0,123.0,1.2278657381,124.0,1.3267316592,,,,
51,mutants__WT,0.0,0.18095057904167397,2.0,125.0,0.12795138150000002,126.0,-0.12795138150000002,,,,
52,mutants__R7,-0.23776374150000001,0.25681247985669126,2.0,127.0,-0.4193575875,128.0,-0.056169895500000004,,,,
53,mutants__gacA,0.6002908745,0.10418180388028993,2.0,129.0,0.6739585345,130.0,0.5266232145,,,,
54,vacJ_LL-37__WT,0.0,0.32366617332668585,2.0,131.0,-0.228866546,132.0,0.228866546,,,,
55,vacJ_LL-37__WT+LL-37,-0.1421084874,0.06496479417566352,2.0,133.0,-0.1880455339,134.0,-0.0961714409,,,,
56,vacJ_LL-37__vacJ,-0.13275004569999999,0.023969303436122164,2.0,135.0,-0.1158011887,136.0,-0.1496989027,,,,
57,vacJ_LL-37__vacJ+LL-37,-0.31557163380000003,0.14624655971545275,2.0,137.0,-0.2121596997,138.0,-0.4189835679,,,,
