,A,ZraR
R2,,0.02668824144383275
xmin,,-2.6268723514
xmid,,
xmax,,6.478271806
ystart,,-0.6631547268870517
yend,,2.3055906616997768
aat__00m_00s__1,0.20032459600000002,0.1412208376
aat__00m_30s__1,0.4685284972,-0.0963298385
aat__01m_00s__1,-0.08354339420000001,-0.0668689665
aat__02m_00s__1,0.1558430938,-0.33767046640000004
aat__05m_00s__1,-0.0140519947,-0.5277333553
aat__10m_00s__1,-0.45266214260000004,-0.6270505695
aat__00m_00s__2,-0.34175970380000004,-0.1551382301
aat__00m_30s__2,-0.29685944740000003,-0.1900268626
aat__01m_00s__2,-0.4178967984,-0.31367399220000003
aat__02m_00s__2,-0.1379894814,-0.5586189268
aat__05m_00s__2,-0.3490961627,-0.7938108725
aat__10m_00s__2,-0.7487571219,-0.3221279143
aat__00m_00s__3,0.14143510780000002,0.0139173926
aat__00m_30s__3,0.1213735625,-0.0692716886
aat__01m_00s__3,0.0488638265,-0.17860675
aat__02m_00s__3,0.24733525110000001,-0.4734006445
aat__05m_00s__3,-0.1959061993,-0.2986968661
aat__10m_00s__3,-0.0256570868,-0.6321695563
abx_mega__dmso-2__1,-1.623590679,-0.1344184545
abx_mega__ery_dmso__1,0.9357517585,0.48055292260000004
abx_mega__nal_naoh__1,-1.5240035503,0.39754543670000003
abx_mega__dmso-5__1,1.5576764904,0.1152582441
abx_mega__rif_dmso__1,1.9027742897,0.19209693560000002
abx_mega__novo_h2o__1,4.1680266527,-1.5145621109
abx_mega__rach_dmso__1,0.8793325901,0.8818210136
abx_mega__metro_dmso__1,1.9806774017,-0.3405292452
abx_mega__dmso-6__1,0.44448770800000004,-0.1355769727
abx_mega__chl_h2o__1,1.0732615154,-0.7058929092
abx_mega__cst_h2o__1,0.010843593,1.4523130529000001
abx_mega__tec_h2o__1,1.0769927295,-1.5306085154
abx_mega__str_h2o__1,-0.07738810930000001,-1.69480968
abx_mega__ctx_h2o__1,-0.043850502300000004,1.6491462449
abx_mega__nal_naoh__2,2.305948522,-0.2215872226
abx_mega__phos_h2o__1,-0.34335508330000003,1.0936765038
abx_mega__dmso-5__2,0.8666704027000001,0.1099324799
abx_mega__polmyx_h2o__1,0.8615502723,1.6968764366
abx_mega__h2o-8b__1,0.395824441,1.1307246244
abx_mega__h2o-6__1,0.3579284766,-0.0697010507
abx_mega__thio_dmso__1,-0.0507439353,0.49079109400000004
abx_mega__phos_h2o__2,0.3027904174,1.6940618322
abx_mega__ctx_h2o__2,0.6355689045,1.3047750468000001
abx_mega__lzd_dmso__1,0.9100752742,-0.8396745076000001
abx_mega__naoh-9__1,0.4327428722,1.3993059774
abx_mega__dox_dmso__1,0.0632493589,0.2315144764
abx_mega__phos_ethanol__1,1.1736719273,0.7475671474000001
abx_mega__teix_dmso__1,-0.3691571656,-0.1586954626
abx_mega__dmso-10__1,0.5127653937000001,1.0754162809
abx_mega__van_dmso__1,3.4694569801,1.8367097774
abx_mega__ramo_h2o__1,0.4969383196,0.7459462743
abx_mega__tec_h2o__2,0.5645338532,0.3821774808
abx_mega__h2o-7__1,-0.7744873411000001,0.6278547532000001
abx_mega__cro_h2o__1,-0.6695187864000001,1.1788692045
abx_mega__tric_ethanol__1,-0.0386525325,0.6939973768000001
abx_mega__nor_naoh__1,1.9899207738,0.5371293533
abx_mega__teix_dmso__2,1.9464443087,-0.21575407670000002
abx_mega__nal_naoh__3,1.1715634555,-0.2257513642
abx_mega__novo_h2o__2,3.7864419354,-1.0577037731
abx_mega__dmso-10__2,-0.253300327,0.9470348107000001
abx_mega__phos_h2o__3,0.7416040383,0.34154647180000003
abx_mega__dmso-6__2,1.8869550721000001,-0.2379983703
abx_mega__rfp_ethanol__1,2.0646535871,0.5095984964
abx_mega__dmso-5__3,0.708472149,-0.1371842809
abx_mega__amyc-d_dmso__1,4.5048196717,-0.0240885643
abx_mega__sxt_dmso__1,-0.5927901968,0.6453395068000001
abx_mega__dmso-1__1,0.5776148393,0.029399311900000002
abx_mega__pen_h2o__1,1.6374425062,-0.0829145678
abx_mega__dmso-10__3,-0.38594913540000003,0.9718788663000001
abx_mega__nal_naoh__4,1.0775155445,1.4335215967
abx_mega__cip_naoh__1,0.6115978283,1.4115216308
abx_mega__pen_h2o__2,0.9462823555000001,0.0810798408
abx_mega__ery_dmso__2,2.0168367271,-0.1106243219
abx_mega__dmso-2__2,2.9129674349,-0.5673399646
abx_mega__van_dmso__2,3.9594828071,2.0733510579
abx_mega__h2o-1b__1,-0.7916498504,0.48401805870000003
abx_mega__ery_h2o__1,0.9408745234,-0.4917844691
abx_mega__bacit_h2o__1,0.9877136702,0.2618629985
abx_mega__chl_h2o__2,1.1041727007,0.0559052551
abx_mega__str_h2o__2,3.538996628,-1.9751195369
abx_mega__rfp_ethanol__2,2.6008532684,0.7425834297
abx_mega__polmyx_h2o__2,0.883093823,1.3528242592
abx_mega__tric_h2o__1,-2.5804022021,0.697016272
abx_mega__cip_naoh__2,1.9554832897,0.1720629311
abx_mega__novo_h2o__3,3.504236743,-0.2688675678
abx_mega__bacit_dmso__1,2.584265748,0.38055958900000003
abx_mega__gen_h2o__1,3.0452026044,-0.514210246
abx_mega__bacit_dmso__2,2.7865682146,-0.0275392097
abx_mega__chl_dmso__1,2.3749054371,-0.6698012345000001
abx_mega__bacit_h2o__2,1.9281661938,-0.3583005084
abx_mega__lvx_dmso__1,1.4720366739,0.9898594744
abx_mega__bacit_h2o__3,0.34396167110000003,0.1280041028
abx_mega__nor_naoh__2,0.8443628607,1.341685925
abx_mega__amyc-d_dmso__2,2.7721961389,-0.0597318478
abx_mega__polmyx_h2o__3,-0.1307930607,0.3064396574
abx_mega__naoh-6__1,-0.1822286834,0.1615811551
abx_mega__cst_h2o__2,3.1556742275,0.7739946934
abx_mega__h2o-1b__2,1.3808320189,0.5990446271000001
abx_mega__rfp_h2o__1,1.7487252394000001,0.5437438421
abx_mega__tet_h2o__1,1.8994458301,-0.7545076688
abx_mega__flavo_dmso__1,3.097320792,0.5235445026000001
abx_mega__zeocin_h2o__1,0.4326128924,1.6943237657
abx_mega__nor_naoh__3,0.9959692501,0.3295868588
abx_mega__rach_dmso__2,-0.3204659917,0.3314766676
abx_mega__thio_dmso__2,2.2423629225,0.7129510244
abx_mega__amyc-d_dmso__3,3.0353199491,0.46963276340000004
abx_mega__rif_dmso__2,3.1420816638,1.3555360258
abx_mega__amyc-d_dmso__4,1.0227879524,-0.5488771457
abx_mega__teix_dmso__3,1.4808027893,0.5171420632
abx_mega__valin_dmso__1,3.3539378836,1.6182049344
abx_mega__teix_dmso__4,1.5122819238,-0.0651478058
abx_mega__ethanol-10__1,0.2954790239,1.523820651
abx_mega__inh_h2o__1,0.2587002054,1.1493233796
abx_mega__rif_dmso__3,0.40123619390000004,-0.3541440126
abx_mega__van_dmso__3,3.0007315615,0.1096205217
abx_mega__doxo_dmso__1,1.5725831705000002,1.6357169426
abx_mega__tmp_dmso__1,1.1304185341,0.3495275142
abx_mega__ethanol-10__2,-1.4843101113000001,1.1369959047
abx_mega__tmp_dmso__2,0.7339476454,0.1022613889
abx_mega__amyc-d_dmso__5,0.0478982982,-0.1684121355
abx_mega__novo_h2o__4,4.8888393663,0.6825655582
abx_mega__cro_h2o__2,-1.3898547986,0.8622755362000001
abx_mega__cro_h2o__3,0.8429850630000001,1.3077228953
abx_mega__gen_h2o__2,2.4622143891,-0.0063600347
abx_mega__phos_h2o__4,-2.4751024076,0.3585921546
abx_mega__metro_dmso__2,0.9150089903,0.029308420800000002
abx_mega__ery_h2o__2,-0.6079430730000001,-0.12274474140000001
abx_mega__sacet_h2o__1,-3.0113183925,-1.6317884445000002
abx_mega__nal_naoh__5,1.0113300622,0.1895469031
abx_mega__bacit_h2o__4,1.7774264636,-0.6555302295000001
abx_mega__cip_naoh__3,1.2985491609,1.2149939208
abx_mega__ethanol-8__1,-0.5722105317,1.2620562894
abx_mega__h2o-8a__1,0.7208366261,1.2087715646000001
abx_mega__ery_h2o__3,1.5336612672,-0.0695368907
abx_mega__flavo_dmso__2,-0.4668536534,0.9108246421
abx_mega__rif_dmso__4,3.3757288833,0.8562345089000001
abx_mega__novo_h2o__5,2.6508083033,0.5069338035000001
abx_mega__teix_dmso__5,0.46985874650000004,1.2577231418
abx_mega__naoh-2__1,2.0142682024,-0.1112064511
abx_mega__novo_h2o__6,3.7288446807,0.2537055506
abx_mega__ctx_h2o__3,0.7560768792,1.6078049397
abx_mega__rach_dmso__3,-0.6792180933,0.9060696895
abx_mega__valin_dmso__2,3.3393631044,1.5716777564000002
abx_mega__amyc-d_dmso__6,1.4683619385,0.20309421800000002
abx_mega__dox_dmso__2,2.775668442,0.6727134730000001
abx_mega__teix_dmso__6,-0.434641037,0.8790445485
abx_mega__naoh-6__2,0.0558332646,0.1324950692
abx_mega__inh_h2o__2,0.7918244995,1.2042930038
abx_mega__chl_h2o__3,-1.0847392669,0.49019231550000003
abx_mega__nal_naoh__6,1.4846480289000001,0.2898789813
abx_mega__chl_dmso__2,2.0006853422,-0.0760905806
abx_mega__rach_dmso__4,-2.1104206399,0.7468323316000001
abx_mega__teix_dmso__7,-0.0369311343,0.9398292499
abx_mega__ceru_ethanol__1,-2.2795690023,0.8888823052
abx_mega__dmso-7__1,-1.6907522898,0.5063773412
abx_mega__naoh-6__3,0.8087355622,0.0738572725
abx_mega__phos_ethanol__2,-0.1571780022,1.4475615061
abx_mega__metro_dmso__3,-2.648174285,0.26309070430000003
abx_mega__van_dmso__4,2.8990041934,-0.67035342
abx_mega__h2o-10__1,-0.4218442905,0.8473025961
abx_mega__h2o-10__2,0.1228708455,1.4384385995
abx_mega__dmso-6__3,0.5927656986000001,-0.1773942803
abx_mega__mem_dmso__1,0.23970038500000002,1.165182959
abx_mega__ethanol-8__2,0.3637590345,1.5131508677
abx_mega__chl_h2o__4,-0.4532224509,0.3603387829
abx_mega__van_h2o__1,-0.07820019360000001,-0.5281802833
abx_mega__dcs_h2o__1,-1.8068469756,1.3855339109
abx_mega__rif_dmso__5,1.8672603545,0.3992732853
abx_mega__dox_dmso__3,-0.2385507302,1.1903609493
abx_mega__mem_dmso__2,0.1277663052,1.1152787447999999
abx_mega__lvx_dmso__2,1.2787945909,0.9414765538000001
abx_mega__tet_h2o__2,0.500213003,1.279672713
abx_mega__phos_h2o__5,1.9661290726,-0.1825377031
abx_mega__monac_dmso__1,-0.3171480872,1.0069597108
abx_mega__str_h2o__3,-0.6882349623,1.2288550315
