,yaaH
Cr_1,0.007777972013689472
Cr_2,0.015755196363168637
Cr_3,0.02479201394282602
Cr_4,0.031973366975422815
Cr_5,0.03817605385470442
Cr_6,0.03816109144227799
Fe_1,-0.006079348236723615
Fe_2,-0.017151729079680683
Fe_3,-0.031465863790087784
Fe_4,-0.049055353890833764
Fe_5,-0.06500044344672462
Fe_6,-0.07606024247197525
Cd_1,-0.01660620690235725
Cd_2,-0.021986169041930657
Cd_3,-0.019457382729716654
Cd_4,-0.013288711944559542
Cd_5,-0.007059003898925859
Cd_6,0.00796508184890838
Zn_1,0.0007177103054083461
Zn_2,0.003711562640105733
Zn_3,0.01038721104085988
Zn_4,0.019811938337664044
Zn_5,0.02254141824576496
Zn_6,0.018323434844262798
Cu_1,0.003666784937395451
Cu_2,0.006295920732449837
Cu_3,0.011011797538776824
Cu_4,0.01576030748302901
Cu_5,0.018773720318862198
Cu_6,0.025657003464784445
Pb_1,0.004109165402065862
Pb_2,0.009650347897320609
Pb_3,0.018831168849148386
Pb_4,0.027203696212732997
Pb_5,0.0369919823857414
Pb_6,0.04726947991864867
