,SP5448_03560
SRX1726505,-0.16316820440000002
SRX1726506,0.7363308385
SRX1726507,-0.573162634
SRX1726508,0.7270465319
SRX1726509,0.6482100293
SRX1726510,1.3841936332
SRX1726511,1.2586765034
SRX1726512,1.6832068854000002
SRX1726513,1.8799614653
SRX1081650,-0.0102202041
SRX1081651,-0.5828697793000001
SRX1081652,-0.2737686082
SRX1081653,-0.2139288155
SRX1081654,-0.49113340460000005
SRX1081655,-0.9987477115000001
SRX1081656,-0.6970143743
SRX1081657,-1.3657690608
SRX1081658,-0.7427517883
SRX1081659,-0.2629794373
SRX1081660,-0.6090108761
SRX1081661,-1.4687050749
SRX1081662,0.0808375712
SRX1081663,0.0651072863
SRX1081664,-0.0625542077
SRX1081665,-0.37408552500000003
SRX1081666,0.0084271493
SRX1081668,-0.5423911825000001
SRX1081669,2.5307229096
SRX1081670,3.164361939
SRX1081671,2.8464731949
SRX1081672,0.7343308532
SRX1081673,0.7748177806000001
SRX1081674,0.6831707269
SRX1081675,1.0644558409
SRX1081676,0.27098318180000003
SRX1081677,0.8917653255
SRX1081678,-0.49798412410000004
SRX1081679,-0.8737377031
SRX1081680,-0.0031731329000000003
SRX1081681,0.5630305429
SRX1081682,0.7008174667
SRX1081683,0.6422623493
SRX1081684,0.2779047993
SRX1081685,0.8198391633000001
SRX1081686,0.9338174168000001
SRX1081687,0.415655681
SRX1081688,1.5064960792000002
SRX1081689,1.0725482093
SRX1081690,4.0867990767
SRX1081691,4.494400806
SRX1081692,4.1633074533
SRX1962715,-0.0462812131
SRX1962716,0.1084085062
SRX1962717,-0.0621272931
SRX1962718,0.5855039551
SRX1962719,-1.0007779917
SRX1962720,-1.7743073816
SRX1962721,-0.7490021391
SRX4892146,-0.0144367385
SRX4892147,-0.0547369537
SRX4892148,-0.3567188194
SRX4892149,0.4258925116
SRX4892150,-0.9994799823
SRX4892151,-1.9229822222
SRX4892152,-1.3974548349
SRX4892153,-0.2723156438
SRX4892154,-0.39451080040000003
SRX4892155,-1.4546084416
SRX4892156,-1.2723798341
SRX4892157,-1.881361079
SRX4892158,0.6238821114
SRX4892159,0.8302373895
SRX4892160,0.6566262614
SRX4892161,0.5646062092
SRX7620814,-0.6707498969
SRX7620815,-0.0996496647
SRX7620816,-0.3883711261
SRX7620817,-0.11105539760000001
SRX7620818,0.1893061439
SRX7620819,-0.128653447
SRX7620856,0.7249313372
SRX7620857,1.4921140656
SRX7620858,0.8889186715
SRX7620859,0.7581014794000001
SRX7620860,0.771865723
SRX7620861,1.1946251375
SRX7620862,0.1923157953
SRX7620863,1.0449590955
SRX7620864,0.0308069278
SRX7620865,1.203019125
SRX7620866,0.9356479645
SRX7620867,1.3566164926
SRX2161502,0.5289553833
SRX2161503,-0.21173671830000002
SRX2161504,-0.317218665
SRX2161505,1.257900608
SRX2161506,0.5613451003000001
SRX2161507,0.3336570883
SRX2161508,2.0517269867
SRX2161509,2.0888720576
SRX2161510,2.6769943995
SRX2161511,1.0768539838
SRX2161512,1.0017246777
SRX2161513,1.225512273
SRX2161514,0.92884338
SRX2161515,0.6320411955
SRX2161516,0.7195144573000001
SRX2161517,1.2415316771
SRX2161518,0.9718748685
SRX2161519,0.7732426385000001
SRX2161520,2.2663944391
SRX2161521,2.4838162084
SRX2161522,2.3878072516
SRX2161523,0.9490914002
SRX2161524,1.695953657
SRX2161525,0.7134576317
