,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X
37,immunity_isolated__AvrRpt2_DEPS,0.6703124087000001,0.2276709105092411,2.0,109.0,0.8313000534,148.0,0.509324764,,,,,,,,,,,,,,,,,,,,,,,,
38,immunity_isolated__WT_pad4,0.3966139759,0.6886520767568111,4.0,111.0,-0.6070161598,119.0,0.5074231198,140.0,0.8910258838,165.0,0.7950230598,,,,,,,,,,,,,,,,,,,,
39,immunity_isolated__WT_PS,0.239176928175,0.9066151598954377,4.0,112.0,-0.1039500587,120.0,-0.828382747,141.0,0.6178591764,166.0,1.271181342,,,,,,,,,,,,,,,,,,,,
40,immunity_isolated__AvrRpt2_sid2,0.16990893313333333,0.30354468053211364,3.0,114.0,0.516201008,122.0,0.0436747518,143.0,-0.050148960400000005,,,,,,,,,,,,,,,,,,,,,,
41,immunity_isolated__AvrRpt2_pad4,0.257096136975,0.572467678084632,4.0,115.0,0.7531654237000001,123.0,0.6749538597,144.0,0.0692391394,168.0,-0.46897387490000003,,,,,,,,,,,,,,,,,,,,
42,immunity_isolated__AvrRpt2_PS,0.5184459162,0.7277846969421043,3.0,116.0,0.6969541461000001,124.0,1.1403680621,169.0,-0.2819844596,,,,,,,,,,,,,,,,,,,,,,
43,immunity_isolated__WT_sid2,0.8141287530000001,0.3154799426837176,2.0,118.0,1.0372067598,139.0,0.5910507462,,,,,,,,,,,,,,,,,,,,,,,,
44,immunity_isolated__WT_WT_mock,0.6844676635666667,0.4350795204320769,3.0,130.0,0.3150010072,152.0,0.5743875228,156.0,1.1640144607,,,,,,,,,,,,,,,,,,,,,,
45,immunity_isolated__WT_SP,0.6639250043,0.1351078222438882,2.0,132.0,0.7594606616,135.0,0.568389347,,,,,,,,,,,,,,,,,,,,,,,,
46,immunity_isolated__AvrRpt2_b2b3,0.0556612011,0.4909619181100913,2.0,133.0,0.4028237027,137.0,-0.2915013005,,,,,,,,,,,,,,,,,,,,,,,,
47,immunity_isolated__AvrRpt2_RR,0.6268426138500001,0.2003279302629532,2.0,149.0,0.7684958518,151.0,0.4851893759,,,,,,,,,,,,,,,,,,,,,,,,
48,immunity_isolated__WT_WT_SA,0.28688451766666667,0.16606538957340575,3.0,153.0,0.2128136777,155.0,0.1707440694,158.0,0.4770958059,,,,,,,,,,,,,,,,,,,,,,
49,immunity_isolated__WT_WT_chitin,0.7616502325500001,0.21316107391457087,2.0,154.0,0.6109225917000001,157.0,0.9123778734,,,,,,,,,,,,,,,,,,,,,,,,
50,immunity_isolated__WT_stp,0.4714725356,0.18962536856880444,2.0,171.0,0.6055579196,175.0,0.3373871516,,,,,,,,,,,,,,,,,,,,,,,,
51,immunity_isolated__AvrRpt2_stp,0.9827205719500001,0.05386876828713501,2.0,173.0,1.0208115433,177.0,0.9446296006,,,,,,,,,,,,,,,,,,,,,,,,
52,immunity_no_isolation__WT_WT_mock,-4.625929269271485e-18,0.18590535885347045,3.0,178.0,0.2146522209,182.0,-0.1093560113,183.0,-0.10529620960000001,,,,,,,,,,,,,,,,,,,,,,
53,immunity_no_isolation__WT_WT_flg22,-0.3218464737,0.6852769773141067,3.0,179.0,0.042614989400000004,180.0,0.10418295050000001,181.0,-1.112337361,,,,,,,,,,,,,,,,,,,,,,
54,immunity_time__mock_1hpi,0.0,0.1757919127201471,3.0,184.0,-0.0509409456,185.0,-0.1446958036,186.0,0.19563674920000002,,,,,,,,,,,,,,,,,,,,,,
55,immunity_time__flg22_1hpi,-0.14775447156666668,0.20741651410920384,3.0,187.0,0.0044274291000000006,188.0,-0.06368265420000001,189.0,-0.3840081896,,,,,,,,,,,,,,,,,,,,,,
56,immunity_time__mock_3hpi,-0.3633002183,0.29980565174420076,3.0,190.0,-0.6122891446000001,191.0,-0.4471007737,192.0,-0.0305107366,,,,,,,,,,,,,,,,,,,,,,
57,immunity_time__flg22_3hpi,-0.2674436101666667,0.262497886658793,3.0,193.0,-0.5189416849,194.0,-0.2882096891,195.0,0.0048205435,,,,,,,,,,,,,,,,,,,,,,
58,immunity_time__mock_5hpi,-0.42083823943333337,0.02893782298160101,3.0,196.0,-0.4450368216,197.0,-0.3887835214,198.0,-0.42869437530000004,,,,,,,,,,,,,,,,,,,,,,
59,immunity_time__flg22_5hpi,-0.3095350860333333,0.11530083651185538,3.0,199.0,-0.3463878463,200.0,-0.4019044118,201.0,-0.180313,,,,,,,,,,,,,,,,,,,,,,
