,stfE
Cr_1,0.006527062743124677
Cr_2,0.015660962223960583
Cr_3,0.02421607802313284
Cr_4,0.02581588704619048
Cr_5,0.036460394101232516
Cr_6,0.0342010835228982
Fe_1,0.0007232062161724838
Fe_2,-0.0191277118693299
Fe_3,-0.028708125815722976
Fe_4,-0.032130800064534414
Fe_5,-0.032270796327370586
Fe_6,-0.029659222918511162
Cd_1,-0.004136295973161099
Cd_2,0.00678039106577163
Cd_3,0.019432007323067102
Cd_4,0.03780021199307007
Cd_5,0.04386791883441752
Cd_6,0.06035674143495522
Zn_1,0.0045653279352288354
Zn_2,0.012600354406862758
Zn_3,0.02525510369167206
Zn_4,0.033462951762351284
Zn_5,0.0393542616796634
Zn_6,0.04330847500327585
Cu_1,-0.004594372422625381
Cu_2,-0.016242927625915737
Cu_3,0.016125419547681766
Cu_4,0.008271956358764997
Cu_5,-0.018823669146341017
Cu_6,0.009308681871766604
Pb_1,-0.005049112393880894
Pb_2,-0.010291750694790058
Pb_3,-0.003956455045994973
Pb_4,-0.0030377710628838755
Pb_5,0.0009259141876759899
Pb_6,0.014011584216563192
