,yeaT
Cr_1,-0.005837536572433401
Cr_2,-0.016928469284935726
Cr_3,-0.023315683235060097
Cr_4,-0.04446154590849381
Cr_5,-0.059235245028526624
Cr_6,-0.05472384282173617
Fe_1,-0.02267778475466763
Fe_2,-0.07498905711021926
Fe_3,-0.13508063201744475
Fe_4,-0.19609436750009426
Fe_5,-0.2529685919453409
Fe_6,-0.2972409111271737
Cd_1,0.003425376793689833
Cd_2,0.0026213119741270645
Cd_3,0.0029436779718820475
Cd_4,0.009882518644394123
Cd_5,0.006289972622960831
Cd_6,0.007671704142409634
Zn_1,0.00934511012493574
Zn_2,-0.007520469798130031
Zn_3,-0.045442753854997665
Zn_4,-0.06946262804604854
Zn_5,-0.08558581785153559
Zn_6,-0.08648110635999956
Cu_1,0.011339307706967077
Cu_2,0.02043109992679017
Cu_3,0.03024020107661227
Cu_4,0.04588288780410504
Cu_5,0.06456310324971548
Cu_6,0.07689727677741086
Pb_1,0.012999031597321492
Pb_2,0.027370488700936682
Pb_3,0.04087205010953557
Pb_4,0.07063928805527855
Pb_5,0.0908365800562123
Pb_6,0.12051523209207535
