,panD
Cr_1,-0.009447342650063941
Cr_2,-0.016967130815740448
Cr_3,-0.011721140614842914
Cr_4,-0.017204308914029458
Cr_5,-0.018066811345242576
Cr_6,-0.025695532143576116
Fe_1,-0.029342338400090817
Fe_2,-0.05390947838638707
Fe_3,-0.09539173139167467
Fe_4,-0.1261952827860768
Fe_5,-0.145840398942824
Fe_6,-0.16659878678617546
Cd_1,-0.0014019740233521495
Cd_2,-0.000813342474850409
Cd_3,-0.0012588038352022274
Cd_4,0.0007238098288184138
Cd_5,0.003990168861674193
Cd_6,0.006952396278499025
Zn_1,-0.05844960972295946
Zn_2,-0.1115220148912138
Zn_3,-0.12968099022989718
Zn_4,-0.13436048559020186
Zn_5,-0.1341227058145671
Zn_6,-0.12920435667915733
Cu_1,0.000752499937290593
Cu_2,0.0036168620810382314
Cu_3,0.006010586465940655
Cu_4,0.009428350113247904
Cu_5,0.015041179812770715
Cu_6,0.02310584380637177
Pb_1,0.004538744363621429
Pb_2,0.008896472482094272
Pb_3,0.01180557857908078
Pb_4,0.01887078748419684
Pb_5,0.01411431593607119
Pb_6,0.012138576756886413
