locus,gene_weight,gene_name,gene_product,cog,regulator,cadC,link
STM2558,0.49187771960000004,cadB,APC family lysine/cadaverine transport protein,Amino acid transport and metabolism,"arcA,cadC,gadE;rcsB,gadX,h-NS,lrp,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2558
STM2559,0.308462503,cadA,lysine decarboxylase 1,Amino acid transport and metabolism,"arcA,cadC,gadE;rcsB,gadX,h-NS,lrp,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2559
STM2560,0.1492258479,yjdL,putative POT family%2C di-/tripeptide transport protein,"Intracellular trafficking, secretion, and vesicular transport",,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2560
