,A,NagC
R2,,0.35646132824305865
xmin,,-2.6094006315
xmid,,0.3942892164607077
xmax,,2.9150698085
ystart,,1.1717675756485952
yend,,21.306052764934808
ecoli_00001,0.0699893984,-0.1348645865
ecoli_00002,-0.0699893984,0.1348645865
ecoli_00003,-0.40410329640000003,0.5356861035
ecoli_00004,-0.2249689994,0.6856461505
ecoli_00005,0.3916057115,-0.0666083875
ecoli_00006,0.5051733409,-0.0018690535
ecoli_00007,-0.3015388691,0.3904760035
ecoli_00008,-0.2812248708,0.5159520575000001
ecoli_00009,0.8292839041000001,0.23909224750000002
ecoli_00010,0.9048131323,0.1814105695
ecoli_00011,-0.2577538672,0.4992295405
ecoli_00012,-0.2374446889,0.4759241495
ecoli_00014,-0.3443299221,0.5637066395
ecoli_00015,-0.2552290836,0.43005299150000004
ecoli_00016,0.0058627709000000005,0.4458840685
ecoli_00017,-0.11033620050000001,0.4368820785
ecoli_00018,-0.3462871247,0.4558654855
ecoli_00019,2.9396193449,0.8097655075
ecoli_00020,2.9882891986,0.8974712905000001
ecoli_00021,2.331597035,0.45545246850000004
ecoli_00022,2.0030086342,0.5495433345
ecoli_00023,3.1941094261,0.9624726695
ecoli_00024,3.1866723126,0.9169485305
ecoli_00025,2.7372730099,0.9554377035
ecoli_00026,2.112733274,0.9613866075
ecoli_00027,-1.1187094052,0.19142027450000001
ecoli_00028,-1.0434282634,0.2375374305
ecoli_00029,0.5077744541,0.4650280405
ecoli_00030,0.5267690056000001,0.28062773350000003
ecoli_00031,0.9591124165,0.41135342950000003
ecoli_00032,0.938187172,0.21154238250000001
ecoli_00033,-0.8970853117,0.4386271445
ecoli_00034,-2.1252790632,0.5521827205000001
ecoli_00035,-0.0784898073,0.4459359545
ecoli_00036,0.0530051818,0.4613821685
ecoli_00037,0.32759374950000003,0.5265031075000001
ecoli_00038,0.7079327226000001,0.5012241585
ecoli_00039,-0.1599050289,0.0899528685
ecoli_00040,-0.32930395630000003,0.1362724915
ecoli_00041,1.7425522387,0.6468454935
ecoli_00042,1.1366294202,0.4727811395
ecoli_00043,0.320513476,0.3348933785
ecoli_00044,0.16566991920000002,0.2937990585
ecoli_00045,-0.0411629271,0.27597823450000003
ecoli_00046,-0.11869686260000001,0.2811970815
ecoli_00047,0.0607416022,0.2596907365
ecoli_00048,0.3150957937,0.23718859850000001
ecoli_00049,-1.0368076844,0.3996359095
ecoli_00050,-0.0339279851,0.4742960825
ecoli_00051,-0.4658490381,0.5585617035
ecoli_00052,-0.116273732,0.3386816495
ecoli_00053,-0.3894891749,0.28603825850000003
ecoli_00054,0.5208667859,0.8844215405
ecoli_00055,0.5030026006,0.8676227285
ecoli_00056,2.924821236,0.1047048525
ecoli_00057,3.254636624,0.15910983950000002
ecoli_00058,2.0101859777,0.0695701075
ecoli_00059,2.2316444454,-0.0709870945
ecoli_00060,-0.13149641980000001,0.2594191595
ecoli_00061,-0.5375415388,0.2698313975
ecoli_00062,0.9395506434,0.22842539150000002
ecoli_00063,0.8163113982,0.2587331805
ecoli_00064,1.5924701765,0.7857241585
ecoli_00065,1.9661976857,0.7674064685
ecoli_00066,1.2572305374,0.2155502745
ecoli_00067,0.9083975093000001,0.2571374165
ecoli_00068,1.4338120098,-0.3452173645
ecoli_00070,1.0511158822,-0.1839871425
ecoli_00071,0.9221583255,-0.0024370965
ecoli_00072,0.38436511160000003,0.0928328005
ecoli_00073,-0.3451107118,0.4206886655
ecoli_00074,-0.34014009100000003,0.5109302475
ecoli_00075,2.8359200305,0.11367260750000001
ecoli_00077,2.2615985761,0.1677928215
ecoli_00078,3.7678274674,0.018320773500000002
ecoli_00079,0.1411085192,0.5755384055
ecoli_00080,0.8158252245000001,-0.0170337685
ecoli_00081,0.6090037481,-0.051535301500000005
ecoli_00082,3.0195787438,0.3801220795
ecoli_00083,3.1509398942,0.1937534585
ecoli_00084,2.0820291544,0.41979421650000004
ecoli_00085,2.2159792556,0.5188574195
ecoli_00086,0.6096065568,0.49611436350000004
ecoli_00087,0.5012271272000001,0.4545480645
ecoli_00088,-0.7209439607,0.2906882625
ecoli_00089,-0.44559731090000004,0.4538412285
ecoli_00090,-0.1795139715,0.22799657950000002
ecoli_00091,0.06788082940000001,0.1658073165
ecoli_00092,3.0017286479,0.1919824175
ecoli_00093,-0.3313504503,0.26691320550000003
ecoli_00094,5.4969080738,0.2337178695
ecoli_00095,4.5829420982,0.10881581450000001
ecoli_00096,3.0501397949,-0.041558937500000004
ecoli_00097,2.4883592341,-0.3330703975
ecoli_00098,4.7057073095,0.1756576325
ecoli_00099,4.6784165951,0.2101279955
ecoli_00100,1.0143913489,-0.0354457415
ecoli_00101,1.6434348016,-0.3847279825
ecoli_00102,2.162103252,-0.3356276235
ecoli_00103,4.0583327136,-0.4692311415
ecoli_00104,3.8530554209,-0.49502235450000004
ecoli_00105,3.4510197995,-0.0925482355
ecoli_00106,2.4570340201,-0.2431440565
ecoli_00107,2.4131081078,-0.24126912250000002
ecoli_00108,-0.5363232297,0.7176968845
ecoli_00109,-0.5301693859000001,0.8042011995
ecoli_00110,-0.3420702773,0.34021841350000004
ecoli_00111,-0.611272535,0.3914187515
ecoli_00112,-0.9215698412000001,0.3381089055
ecoli_00113,3.0609203523,-0.042675342500000005
ecoli_00114,2.7488337869,0.061664366500000005
ecoli_00115,2.3921258633,0.2686636295
ecoli_00116,-0.6365531255,0.1769346065
ecoli_00117,-0.4323804083,0.1116831655
ecoli_00118,-0.7595371129,0.2215546105
ecoli_00119,-1.6281387596,0.3353775325
ecoli_00120,-1.1526015622,0.3112241635
ecoli_00121,-0.8752154813,0.3538494345
ecoli_00122,-0.5643933445,0.3399856885
ecoli_00123,-0.8052230397,0.3205778795
ecoli_00124,-0.3841049528,0.3219913135
ecoli_00125,1.4346530838,-0.8948747445
ecoli_00126,0.4950317663,-0.0689637205
ecoli_00127,1.5632324079000002,-0.0957113265
ecoli_00128,0.6474095451,-0.4151256585
ecoli_00129,0.7536159357000001,0.34690388450000004
ecoli_00130,1.5948482717,0.37276925850000003
ecoli_00131,0.0576410735,-0.8120562965
ecoli_00132,0.015727672,0.2896124755
ecoli_00133,16.5279689051,2.4144390005
ecoli_00134,10.4228150742,0.2364494855
ecoli_00135,-1.0947579429,0.3365853895
ecoli_00136,-0.8424242361000001,0.8385645615
ecoli_00137,-0.6515089479,0.21782977350000002
ecoli_00138,12.7765107875,2.9150698085
ecoli_00139,10.8673872527,2.2076605765
ecoli_00140,-1.2539681383999999,0.3604064295
ecoli_00141,-0.2763667998,1.0269313935
ecoli_00142,-0.0799229204,-0.2784555955
ecoli_00143,0.8600665122000001,0.0156204545
ecoli_00144,2.5972368722,-0.0551479795
ecoli_00145,1.7324792895,0.3473224515
ecoli_00146,3.4012289963,-0.9623985085000001
ecoli_00147,0.4770564446,-0.28509736950000003
ecoli_00148,1.2182824805,0.2366613465
ecoli_00149,0.9772090072,-0.1153965275
ecoli_00150,0.9973365088,0.21247689050000002
ecoli_00151,0.16674976960000001,0.0723452285
ecoli_00152,1.5327650558,-0.1387705055
ecoli_00153,-0.3119813193,-0.2898769955
ecoli_00154,3.0478694905,-0.2835740565
ecoli_00155,0.6773808631,0.1887480745
ecoli_00157,1.7872358583999999,-0.2385670655
ecoli_00158,3.3257590675,-0.3987627185
ecoli_00159,2.4489568037,-0.5827433955
ecoli_00160,5.5179847902,-0.7385574705
ecoli_00169,1.0255163641,-0.5674251685
ecoli_00170,1.2306836557,-0.5197640105
ecoli_00171,-0.8740501552000001,-0.2343267515
ecoli_00172,-0.1011637439,-0.43712441150000003
ecoli_00173,1.2627227612,-0.2396523325
ecoli_00174,1.9148524774000002,-0.26815792050000004
ecoli_00175,5.0140770787,-0.3369020165
ecoli_00176,4.8404729342,-0.3611994725
ecoli_00177,0.6287400094000001,0.09409890550000001
ecoli_00178,-0.025288148400000002,-0.0990452225
ecoli_00179,0.1354197776,0.0150077035
ecoli_00180,0.6470025989,0.0348874345
ecoli_00181,1.6819761318,-0.6875064075
ecoli_00182,1.9429949533,-0.6362771755000001
ecoli_00183,-1.2483836457,0.1026764315
ecoli_00184,-1.2654783506,0.009304755500000001
ecoli_00185,14.3018721733,1.1176241155
ecoli_00186,14.2858627662,1.1784103125
ecoli_00187,2.0187236928,-0.1464564975
ecoli_00188,1.6589676264,-0.1330234615
ecoli_00189,0.4546724983,-0.4865065985
ecoli_00190,0.3549521009,-0.4623489335
ecoli_00191,0.9153321667000001,-0.2592147895
ecoli_00192,1.3739259554,-0.3042433895
ecoli_00193,0.5298701715,-0.3116889035
ecoli_00194,0.5655880065000001,-0.2076728645
ecoli_00195,-0.044593341700000004,-0.5058529585
ecoli_00196,-0.9754049536,-0.2769295385
ecoli_00197,-0.4549727814,-0.3636915335
ecoli_00198,0.32939925330000003,-0.7387365645
ecoli_00199,1.515033377,-0.3381325565
ecoli_00200,1.2891847577,-0.1584091165
ecoli_00201,1.9994438181,-0.037804526500000005
ecoli_00202,2.1161882276,-1.3294500000000001e-05
ecoli_00203,0.9870885661000001,0.3320620745
ecoli_00204,1.3734087629,0.0098725975
ecoli_00205,1.8515493627000001,0.0666998235
ecoli_00206,1.2934054308,0.0895200875
ecoli_00207,1.1577587163,0.2967470405
ecoli_00208,0.5423786571,0.19381855050000002
ecoli_00209,0.24992817350000002,-0.15823428250000002
ecoli_00210,0.5499307825,-0.1489784615
ecoli_00211,1.1232143776,-0.3553062885
ecoli_00212,1.0042577664,-0.2111615365
ecoli_00213,2.4917492499,0.0497706075
ecoli_00214,2.1527616472,0.1325687265
ecoli_00215,0.5908498095,-0.21505504250000002
ecoli_00216,0.547256882,-0.1987273025
ecoli_00217,1.9534938168,0.0744610055
ecoli_00218,2.2707824857,0.3169926455
ecoli_00219,0.4765009385,-0.1410554505
ecoli_00220,0.4782568009,-0.1910456485
ecoli_00221,1.9735833288,-0.2418846845
ecoli_00222,1.8582564734,-0.30804535850000003
ecoli_00223,0.5352088476,-0.0208512075
ecoli_00224,0.4121050751,-0.0827132475
ecoli_00225,2.0396392574,-0.08872740750000001
ecoli_00226,2.462038717,-0.0088555445
ecoli_00227,0.8671227832,-0.3090578395
ecoli_00228,0.8587777488,-0.4169228525
ecoli_00229,-0.1117093148,-0.0856331905
ecoli_00230,0.1551531818,-0.1778000385
ecoli_00231,0.4104423204,-0.0518737025
ecoli_00232,0.1447957444,0.00036784750000000004
ecoli_00233,0.0302035517,-0.1704727145
ecoli_00234,-0.1179095279,-0.0981316725
ecoli_00235,-0.3355249956,-0.1003162955
ecoli_00236,-0.4256781506,0.1727789285
ecoli_00237,4.0783299237,-0.8254898895
ecoli_00238,4.1351177061,-0.4695084195
ecoli_00239,4.0691281271,-0.5423160305
ecoli_00240,3.6404527138000002,-0.6113774765000001
ecoli_00241,3.2798844378,-0.08568737550000001
ecoli_00242,4.6157117978999995,-0.36735072950000003
ecoli_00243,4.4547447859,-0.4947210735
ecoli_00244,3.1896070118,-0.5625435275
ecoli_00245,3.7796172414,-0.6636394105
ecoli_00246,1.0563908109,-0.5883202185
ecoli_00247,1.2520310789,-0.4532635635
ecoli_00248,1.7950563463,0.0463925855
ecoli_00249,0.47829565700000004,-0.2163409075
ecoli_00250,1.0554400135,-0.4000672035
ecoli_00251,0.9734526721000001,-0.34619887450000003
ecoli_00252,0.8750305969000001,-0.3575254545
ecoli_00253,1.1790741463,-0.0021286315
ecoli_00254,0.9184409225,-0.1076108425
ecoli_00255,1.0155563413,-0.025184426500000003
ecoli_00256,1.3707059271,-0.0010702775
ecoli_00257,0.7514790271,-0.1013818575
ecoli_00258,0.4687731309,-0.0796028955
ecoli_00259,1.3735907119,-0.1623551395
ecoli_00260,0.8375180541,-0.15443444850000002
ecoli_00261,1.6049214163999999,-0.2953005295
ecoli_00262,1.0933599801,-0.1633429285
ecoli_00263,0.26538318850000003,-0.3678586755
ecoli_00264,1.0343693026,-0.4694449175
ecoli_00265,0.2641076745,0.1295015755
ecoli_00266,-0.1068268314,0.18751327550000002
ecoli_00267,1.8771708082,-0.11869491850000001
ecoli_00268,1.9603215153,-0.1784151515
ecoli_00269,1.7061188340000002,0.20473224750000002
ecoli_00270,1.1218396686,0.1648902155
ecoli_00271,0.6564387878,-0.5998855555
ecoli_00272,0.5541510758,-0.5135029785
ecoli_00273,-0.0434417188,0.0469455955
ecoli_00274,-0.0531269772,0.0588662425
ecoli_00275,-0.1466072955,0.1557317065
ecoli_00276,0.3026920652,0.1310039235
ecoli_00277,1.0278170234,-0.16502901050000002
ecoli_00278,0.7725337192,-0.3455829825
ecoli_00279,-1.5987432629,-0.15268829550000002
ecoli_00280,-2.4730726053,-0.0630670395
ecoli_00281,0.47612521960000004,-0.9563816825
ecoli_00282,-0.0226394719,-0.9194725905000001
ecoli_00283,-0.0087059804,0.0029013305000000003
ecoli_00284,-0.1445209114,0.0108535715
ecoli_00285,-0.5836725645,-0.34254869450000003
ecoli_00286,-0.8059048869000001,-0.3622457955
