,rrnC
Cr_1,-0.0007096342961949478
Cr_2,-0.008029194975009006
Cr_3,-0.004584665986907815
Cr_4,0.01073473921026162
Cr_5,0.035285706970139566
Cr_6,0.023997725324421147
Fe_1,-0.03707859848668955
Fe_2,-0.09573179494981224
Fe_3,-0.1478062452346018
Fe_4,-0.1614975822079119
Fe_5,-0.18392310793895356
Fe_6,-0.2146367686116959
Cd_1,-0.00277448289097894
Cd_2,-0.011862401883524809
Cd_3,-0.012347209263594236
Cd_4,-0.013062833180762958
Cd_5,-0.01390868374141432
Cd_6,-0.012702582760056955
Zn_1,-0.012308041992124836
Zn_2,-0.02200380185782792
Zn_3,-0.021310891726320846
Zn_4,-0.042882517353402205
Zn_5,-0.10402655193189644
Zn_6,-0.13143793011289132
Cu_1,0.0020002540547328835
Cu_2,0.006081396375887521
Cu_3,0.008300807890997582
Cu_4,0.009641790732106057
Cu_5,0.009208490793630607
Cu_6,0.014449157404557374
Pb_1,0.006583558903694069
Pb_2,0.00449356383898163
Pb_3,0.0017304078437621116
Pb_4,-0.0005368452476691709
Pb_5,-0.0037427497932076077
Pb_6,-0.005990755443301472
