,ibpB
Cr_1,0.0025258219474704946
Cr_2,0.00817552405322876
Cr_3,0.011195285240851591
Cr_4,0.013881092077719209
Cr_5,0.02010678704693161
Cr_6,0.018977800375320816
Fe_1,-0.00822366450609679
Fe_2,-0.018352679488299332
Fe_3,-0.02489132537765944
Fe_4,-0.035679659864240716
Fe_5,-0.04301159830054082
Fe_6,-0.04252858223004795
Cd_1,-0.0027249338430544692
Cd_2,-0.0022570911919879088
Cd_3,0.000912202870564376
Cd_4,0.0029505158071665358
Cd_5,-0.0005990198262997438
Cd_6,-0.002519429074652019
Zn_1,-0.0024996249806479025
Zn_2,-0.002964594663834095
Zn_3,-0.003298256017082025
Zn_4,0.0018099605773350973
Zn_5,0.005928261791903584
Zn_6,0.011072126191838151
Cu_1,-0.0023550795704682034
Cu_2,-0.009764728828592613
Cu_3,-0.006011296186586933
Cu_4,-0.001972332990406558
Cu_5,0.002864225481475543
Cu_6,0.009622989797224974
Pb_1,0.0036707151007004564
Pb_2,0.008054465647353584
Pb_3,0.01457696073823504
Pb_4,0.017529901047639795
Pb_5,0.026645190231957345
Pb_6,0.033027371768465937
