,yaiX
Cr_1,-0.00976171962970442
Cr_2,-0.04020415318058022
Cr_3,-0.04675327241947056
Cr_4,-0.04474180400417156
Cr_5,-0.05467164484616513
Cr_6,-0.05982514616781792
Fe_1,-0.10212068946675627
Fe_2,-0.19760074944945905
Fe_3,-0.26071462889734315
Fe_4,-0.3333664197197788
Fe_5,-0.38025147124102215
Fe_6,-0.06396587201284931
Cd_1,-0.001937374186842521
Cd_2,0.008480054743967926
Cd_3,0.017130464488797247
Cd_4,0.02680537511788492
Cd_5,0.0315042280430726
Cd_6,0.04779987114764329
Zn_1,-0.11410003284685807
Zn_2,-0.17266780158912867
Zn_3,-0.18761127775222328
Zn_4,-0.20015723563084029
Zn_5,-0.19861493839620928
Zn_6,-0.16963467975797775
Cu_1,0.010471478121867522
Cu_2,0.016495713344324116
Cu_3,0.02946932971870214
Cu_4,0.031890035513512764
Cu_5,0.04306868206919808
Cu_6,0.04513757247633023
Pb_1,-0.004436528877608873
Pb_2,0.007777814220659555
Pb_3,0.01669341987400056
Pb_4,0.021597370734276162
Pb_5,0.027203622177521945
Pb_6,0.030470740709090744
