,hisJ
Cr_1,0.0012732928472799464
Cr_2,-0.0005833873693569822
Cr_3,-0.0013119903171627248
Cr_4,-0.00486805457124955
Cr_5,-0.008620985329732184
Cr_6,-0.01842850307708631
Fe_1,0.004878288827075509
Fe_2,0.015020201243417741
Fe_3,0.012012857281330948
Fe_4,0.008988228008397813
Fe_5,0.025444842925830026
Fe_6,0.06218532728312012
Cd_1,0.007431539111862264
Cd_2,0.017123765246828453
Cd_3,0.024890241599153595
Cd_4,0.034822433422903906
Cd_5,0.03716106028619587
Cd_6,0.0442392658811097
Zn_1,-0.0033850677248155325
Zn_2,0.012989972432869541
Zn_3,0.013225915585819823
Zn_4,0.011321183199869215
Zn_5,0.006466568629269524
Zn_6,0.0035563662088289078
Cu_1,-0.00013276221103395024
Cu_2,0.002405277173010066
Cu_3,0.0051411070028534
Cu_4,0.009674202349580446
Cu_5,0.011575012108629571
Cu_6,0.014671524430521216
Pb_1,0.0046209766537430395
Pb_2,0.014652016842593256
Pb_3,0.01910599753280569
Pb_4,0.01833732319997792
Pb_5,0.016360505387244848
Pb_6,0.015599138091765713
