,cybC
Cr_1,0.0011304053113609682
Cr_2,0.00605608323138451
Cr_3,0.012463023268932944
Cr_4,0.02135857043159652
Cr_5,0.03677861849058251
Cr_6,0.049287170186209116
Fe_1,-0.02279844544099678
Fe_2,-0.05953747841602014
Fe_3,-0.08846599005035648
Fe_4,-0.1186717399841077
Fe_5,-0.14977076977694592
Fe_6,-0.16968514133633472
Cd_1,-0.003183140976141789
Cd_2,-0.005223411474709265
Cd_3,-0.0023290438412971425
Cd_4,-0.0017816426293163336
Cd_5,-0.006183704932605821
Cd_6,-0.0023113879757973004
Zn_1,-0.03533024044413269
Zn_2,-0.043827701444743725
Zn_3,-0.03789164324999237
Zn_4,-0.054506115591474315
Zn_5,-0.04843339311657815
Zn_6,-0.04941904673168322
Cu_1,0.010019460861213095
Cu_2,0.02222696625235393
Cu_3,0.029449232493867293
Cu_4,0.035344523022438776
Cu_5,0.040089183528831764
Cu_6,0.04330926258866279
Pb_1,-0.0006650298816288698
Pb_2,0.008816836819096535
Pb_3,0.017319623789710633
Pb_4,0.029668150158754413
Pb_5,0.0459514342647803
Pb_6,0.06291005999675599
