,guaA
Cr_1,-0.002349655596624597
Cr_2,-9.815243027096116e-05
Cr_3,0.00813892260162875
Cr_4,0.008923645689357983
Cr_5,0.01058255041714044
Cr_6,0.008458807401472656
Fe_1,-0.01750147700068121
Fe_2,-0.03305521537756713
Fe_3,-0.043330008498615236
Fe_4,-0.04808042486986722
Fe_5,-0.05444525202705658
Fe_6,-0.051109849552438885
Cd_1,-0.0007936724903587987
Cd_2,0.003743184682902553
Cd_3,0.002271998276948264
Cd_4,0.0020427601391847443
Cd_5,0.005120105887434728
Cd_6,0.006388666041619986
Zn_1,-0.0029683193203766532
Zn_2,-0.002702454027871774
Zn_3,0.00700600183893198
Zn_4,0.019482136611503557
Zn_5,0.033004752667061155
Zn_6,0.043184449582018114
Cu_1,0.00044848029038515637
Cu_2,0.0042319979197735814
Cu_3,0.008706086063047156
Cu_4,0.014152558489793363
Cu_5,0.018033545605764298
Cu_6,0.02576956748253171
Pb_1,0.005969347981312976
Pb_2,0.014632041001680625
Pb_3,0.0180257057558702
Pb_4,0.030345432036207043
Pb_5,0.03626616177478173
Pb_6,0.04443743867605373
