,A,ZraR
R2,,0.22359823395329592
xmin,,-2.4873165525
xmid,,-0.32031756336531164
xmax,,4.1528566305
ystart,,-0.7770900991156132
yend,,4.64667103815018
control__wt_glc__1,0.0715778878,-0.1197934985
control__wt_glc__2,-0.0715778878,0.1197934985
fur__wt_dpd__1,1.7709905116,1.0777894475
fur__wt_dpd__2,1.8626027501,1.1696869775
fur__wt_fe__1,-0.4378654394,-0.0503492075
fur__wt_fe__2,-0.8200658484000001,-0.1118354445
fur__delfur_dpd__1,1.5812510990000002,0.9946059855
fur__delfur_dpd__2,0.9691936799,0.8839931195
fur__delfur_fe2__1,-0.2831166861,0.5520079535
fur__delfur_fe2__2,-0.1607217391,0.5311670515
acid__wt_ph5__1,-0.2419116044,0.1790428605
acid__wt_ph5__2,-0.2734266821,0.4564931645
acid__delgadx_ph5__2,-0.46489738210000003,0.3602207955
acid__delgadw_ph5__1,0.1350124439,0.31033333350000003
acid__delgadw_ph5__2,-0.005902425,0.0554684495
acid__delgade_ph5__1,-0.0028388812,0.38318953850000004
acid__delgade_ph5__2,0.1463515122,0.45947694050000004
oxidative__wt_pq__1,2.0585840508,1.1710205645
oxidative__wt_pq__2,1.6277600973,0.9933383565
oxidative__deloxyr_pq__1,1.4999295425,1.0859950095
oxidative__deloxyr_pq__2,0.8535463952000001,0.7089857255
oxidative__delsoxr_pq__1,0.8871926692000001,0.9408809465
oxidative__delsoxr_pq__2,1.0855830197,1.0385414545
oxidative__delsoxs_pq__1,1.3646802271,1.3137889665
oxidative__delsoxs_pq__2,1.5360458393,1.5182807665
nac_ntrc__wt_csn__1,4.7037666127,1.1275883435
nac_ntrc__wt_csn__2,4.6376478636,1.0451250405
nac_ntrc__wt_cytd__1,5.2845381781,0.6248152065
nac_ntrc__wt_cytd__2,4.8581299035,0.6780817865000001
nac_ntrc__wt_gln__1,6.2747735928,0.7300808745
nac_ntrc__wt_gln__2,6.5484051656,0.8971738375
nac_ntrc__bw_delnac_csn__1,5.8682567943,2.2938932045
nac_ntrc__bw_delnac_csn__2,5.9277032128,2.5470936025
nac_ntrc__bw_delnac_cytd__1,5.9459472088,1.3659594645
nac_ntrc__bw_delnac_cytd__2,5.6573424040999996,1.2644529855
nac_ntrc__bw_delnac_gln__1,7.0833687233,1.5011438295000001
nac_ntrc__bw_delnac_gln__2,6.4245502946,1.8360132655
nac_ntrc__bw_delnac_nh4__1,0.5044658299,0.6691066645
nac_ntrc__bw_delnac_nh4__2,-1.4575498145,0.28259071150000004
misc__wt_no_te__1,0.4711310443,0.1140084935
misc__wt_no_te__2,-0.34717402480000004,0.4774200655
misc__bw_delcbl__1,-1.3182257606,0.5051284225
misc__bw_delcbl__2,-1.0867356503,0.2080307245
misc__bw_delfabr__1,-1.2372346375,-0.1381402615
misc__bw_delfabr__2,-1.7703769722,0.1089937695
misc__bw_delfadr__1,-1.3999762647,0.1378214915
misc__bw_delfadr__2,-1.0100742704,0.2501529825
misc__nitr_031__1,3.7529990936,0.7985825895
omics__wt_glu__1,-1.3082894059,-0.6415226905
omics__wt_glu__2,-1.4952898476,-0.0690681635
omics__wt_gly__1,-1.816874882,0.35342147150000003
omics__wt_gly__2,-1.1682729199,0.4956499455
omics__wt_thr__1,2.11561249,1.7767058924999999
omics__wt_thr__2,0.8439018139000001,1.2596142145
omics__bw_ac__1,0.41043222420000003,1.0511390895
omics__bw_ac__2,-0.31106437800000003,0.8902470355000001
