Log TPM values: Expression Data used (X) used to calculate the i-modulons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA300_TCH1516_ICA-Set003_250nMParaquat_1,USA300_TCH1516_ICA-Set003_250nMParaquat_2,USA300_TCH1516_ICA-Set003_StationaryPhase_2,USA300_TCH1516_ICA-Set003_2gLPyruvate_2,USA300_TCH1516_ICA-Set003_2gLPyruvate_1,USA300_TCH1516_ICA-Set003_Control_1,USA300_TCH1516_ICA-Set003_Control_2,USA300_TCH1516_ICA-Set003_2gLGalactose_2,USA300_TCH1516_ICA-Set003_2gLGalactose_1,USA300_TCH1516_ICA-Set003_StationaryPhase_1,USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,USA300_TCH1516_U01-Set003_CAMHB_Control_2,USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,USA300_TCH1516_U01-Set003_CAMHB_Control_3,USA300_TCH1516_BK-Set001_THB_Control_1,USA300_TCH1516_BK-Set001_THB_Control_2,USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,USA300_TCH1516_U01-Set000_CAMHB_Control_1,USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,USA300_TCH1516_U01-Set000_CAMHB_Control_2,USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,USA300_TCH1516_U01-Set000_R10LB_Control_1,USA300_TCH1516_U01-Set000_R10LB_Control_2,USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,USA300_LAC_ICA-Set002_CAMHB_Control_2,USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,USA300_LAC_ICA-Set002_CAMHB_Control_1,USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,USA300_LAC_U01-Set004_CAMHB_Control_1,USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,USA300_LAC_U01-Set004_CAMHB_Control_2,USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,USA300_LAC_U01-Set004_R10LB_Control_2,USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,USA300_LAC_U01-Set004_R10LB_Control_1,USA300_LAC_ICA-Set001_R10LB_Control_1,USA300_LAC_ICA-Set001_R10LB_Control_2,USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,USA300_LAC_ICA-Set001_R10LB_5.5pH_1,USA300_LAC_ICA-Set001_R10LB_5.5pH_2,USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,USA300_LAC_U01-Set001_R10LB_PreCulture_1,USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,USA300_LAC_U01-Set001_CAMHB_Control_2,USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,USA300_LAC_U01-Set001_CAMHB_Control_1,USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,USA300_LAC_U01-Set001_R10LB_Control_2,USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,USA300_LAC_U01-Set001_R10LB_Control_1,USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,USA300_LAC_U01-Set001_CAMHB_PreCulture_1,USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,USA300_LAC_U01-Set001_CAMHB_PreCulture_2,USA300_LAC_U01-Set001_R10LB_PreCulture_2,USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,USA300_TCH1516_ICA-Set002_R10LB_Control_2,USA300_SNFR19_ICA-Set002_CAMHB_None_2,USA300_SNFR19_ICA-Set002_R10LB_None_2,USA300_SNFM1_ICA-Set002_CAMHB_None_2,USA300_SNFR19_ICA-Set002_CAMHB_None_1,USA300_SNFM1_ICA-Set002_R10LB_None_2,USA300_SNFR19_ICA-Set002_R10LB_None_1,USA300_TCH1516_ICA-Set002_R10LB_Control_1,USA300_TCH1516_ICA-Set002_CAMHB_Control_2,USA300_TCH1516_ICA-Set002_CAMHB_Control_1,USA300_SNFM1_ICA-Set002_R10LB_None_1,USA300_SNFM1_ICA-Set002_CAMHB_None_1
LAC_H_00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.101650488,0,3.022891977,0,2.850948065,3.643236008,2.226392905,1.175372832,2.818318184,1.085647985,3.045654337,1.83928456,3.693323212,2.259466908,1.669021215,2.033255574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.572566026,0,2.569901829,0,0,0,1.557814489,0,2.170044968,0,0,0,0,1.397919445,0,0,0,1.768562446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC_H_00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.842554275,0.052778185,-1.563462896,2.49865275,0.81606275,2.045646867,2.533768715,0.664551991,0.145193661,1.256625527,0.952684243,2.49814039,0.471603783,3.742098093,-1.563462896,-1.563462896,-1.563462896,-1.563462896,0.044498032,-1.563462896,0.977417899,-1.563462896,-1.563462896,-1.563462896,0.14800894,-1.563462896,-1.563462896,-1.563462896,-1.563462896,-1.563462896,-0.221431284,-0.434975266,0.323527406,0.424531858,-0.255633424,-1.563462896,-1.563462896,-1.563462896,0.047153715,-1.563462896,-1.563462896,-0.234554123,-0.389170628,0.234554123,0.00459964,-1.563462896,1.17327816,-1.563462896,-1.563462896,1.252013825,-0.028467425,-1.563462896,-1.563462896,0.355450153,0,0,0,0,0,0,0,0,0,0,0,0
LAC_H_00201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.845746355,-0.845746355,-0.845746355,1.210127323,-0.845746355,-0.845746355,0.246244012,0.820382179,0.235005143,1.034698062,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,1.358019261,0.59923774,1.973406574,-0.845746355,2.042180383,0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,0.781277928,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,-0.845746355,0,0,0,0,0,0,0,0,0,0,0,0
LAC_H_00210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167254259,-0.978752702,0.604986455,-0.769128139,-0.268729454,-0.269606379,-0.232540807,0.078000205,-0.641740945,-0.133361069,1.484520519,0.017047919,1.351899363,-0.181043029,-0.138642871,-2.333293414,-0.522971592,-0.203344286,-0.637481354,-1.334613455,-0.330842057,-0.873710019,-1.076280977,-1.941570579,-1.172559054,-0.369985013,-0.551809044,-0.45130136,-3.516551784,-1.687243617,-1.891902526,-3.122225625,-2.300225505,-2.193161584,-1.939020592,-1.484184028,0.485977847,0.493588556,-0.279088726,-0.670667621,0.165478204,0.02229883,-1.561422043,-0.02229883,-1.162567066,-1.778581531,0.052099379,-1.491956286,-1.5527713,-0.205232682,-1.762818639,0.253052099,-0.616982142,-0.092823955,0,0,0,0,0,0,0,0,0,0,0,0
LAC_H_00215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.525215022,-1.005748677,-0.886888993,-1.496566093,-0.871708681,-1.482356473,-1.473575589,-1.48658405,-0.555937001,-1.543868291,-1.513729707,-1.843900294,-1.843900294,-1.843900294,-1.843900294,-0.844612875,-1.070942041,-1.136283812,-1.843900294,-0.340310652,-1.843900294,-0.839386573,0.176735499,-1.200933435,-0.392324415,-1.843900294,-1.843900294,-1.843900294,-1.215807179,-0.530875523,-0.725685711,-0.353568568,-0.2312171,-1.197099098,-0.756109058,-0.505200592,-0.581444408,-1.312380661,-1.009424304,-1.843900294,-0.434903511,0.313086246,-0.299357786,-0.313086246,-1.843900294,-1.843900294,-1.220842845,-0.246289574,-0.771376214,-0.501678431,-0.783431255,-0.867832792,-1.362033179,0.546390323,0,0,0,0,0,0,0,0,0,0,0,0
LAC_H_00216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.55960276,0.107577532,-1.021524502,-1.3627214,-0.665486492,-1.120358036,-1.108637307,-1.354904112,-0.439136115,-0.875907946,-1.376135324,-1.050405129,-1.627091021,-0.44893016,0.206863082,-0.318980262,-1.019559551,0.112209643,-0.969849451,-1.627091021,-1.627091021,-0.111775632,0.235071905,-0.755449145,-1.627091021,0.826437061,-0.986326466,-0.553690165,-0.77423085,0.345585894,0.033964192,0.25019157,0.74634329,0.961547609,-0.458907014,0.625708061,1.414749577,-0.223534717,-0.968402667,-0.006982163,0.596139591,0.366473761,0.171452655,-0.366473761,-0.215167277,0.24953673,-1.627091021,0.071447856,-0.474913484,0.081659111,-1.009125232,-0.576235708,-0.163540734,1.234673169,0,0,0,0,0,0,0,0,0,0,0,0
LAC_H_00237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706226538,1.775000199,0.567730215,-0.351555555,-0.198995078,0.157213045,-0.484116765,0.688752355,1.481386814,0.172700645,-1.065317989,0.457680358,-1.326341534,1.100664568,0.895186812,1.584352402,0.084321637,0.271297189,-0.800306795,-0.066237262,0.880652619,1.833355861,1.610440148,2.367518915,-0.122091938,1.900103953,0.153507347,1.745034404,2.383700532,2.138745456,2.635340027,2.377043859,2.068850417,2.259378258,1.449705143,1.610798289,0.557117033,-0.70391467,-0.798364296,0.915039411,0.573539304,-0.998910775,2.312308258,0.998910775,1.648212517,2.074415844,1.165611713,1.842463213,1.799092516,0.747363777,2.531684186,0.599151565,1.200123453,0.867658343,0,0,0,0,0,0,0,0,0,0,0,0
LAC_H_00238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.852478151,0.347959499,0.232827634,-1.588306452,-1.588306452,-0.767350417,-1.588306452,-1.588306452,0.448970397,-0.890329196,-1.588306452,-1.588306452,-1.588306452,-0.082234024,-1.588306452,0.743243293,-1.588306452,-1.588306452,-1.588306452,0.20671554,0.515320541,-1.588306452,0.31601668,1.743499168,-1.588306452,1.4100784,-1.588306452,-1.588306452,-1.588306452,0.732480186,-0.223366861,-1.588306452,0.777648188,-0.253374544,-0.257924225,0.766745962,0.223354195,-0.45146602,-1.588306452,0.07107978,1.353567699,-0.236624989,0.251686482,0.236624989,-0.582187085,1.316675593,0.378009841,-0.093572668,0.400528364,-1.588306452,0.703320275,0.26091825,0.809349297,-1.588306452,0,0,0,0,0,0,0,0,0,0,0,0
LAC_H_00303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.55885589,-0.169591009,-1.019837205,-0.944504301,-0.664549797,-1.118427454,-0.569016343,-1.124064552,-0.082341775,-0.735404508,-0.810309067,-0.638634953,-0.720733873,-0.812152361,-1.623615134,-0.318616392,-0.592562698,-1.071674999,-0.968282889,-0.025840501,-1.086591591,0.362989633,0.376795779,0.175569596,-0.436316274,0.2039382,-0.984721875,0.352525007,0.14594221,0.345170543,0.218596834,1.313804485,0.516852789,0.856843566,0.738881081,-0.099437538,0.913972277,-1.214450933,0.101567993,-0.007028779,-0.473897075,0.366039261,0.438287843,-0.366039261,0.388599245,-0.151127839,0.296039827,0.277434759,0.463234107,-0.977320028,0.697108566,-1.184299124,-0.50746852,0.420145378,0,0,0,0,0,0,0,0,0,0,0,0
LAC_H_00304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161293656,0.302489734,-0.320128488,-0.870328178,0.187176369,-1.086151042,-1.36722156,-0.656369341,0.08817342,-0.759567228,-0.893751559,-1.043936122,-1.076686672,-0.539737471,-0.639910567,0.161984091,-0.317171317,-1.36722156,-0.698281994,-0.607534113,-0.422089881,0.504603715,0.791090685,0.274562157,-1.36722156,0.19917551,0.580624561,0.765974159,1.30091667,1.511273819,0.948653438,1.164672113,0.369034716,0.776149467,0.770315324,-0.022424798,0.271202699,-0.360539356,-1.36722156,-0.222195286,0.881016109,0.088022193,1.050623932,-0.088022193,0.858893377,0.53257731,0.028804848,0.825310096,0.747981285,0.363637767,0.175345503,0.131543327,-0.690059463,-0.518371227,0,0,0,0,0,0,0,0,0,0,0,0
