,trpR
Cr_1,0.000652573940057423
Cr_2,0.002782200180095264
Cr_3,0.0023473717180381303
Cr_4,0.005031498804032896
Cr_5,0.006727985886614466
Cr_6,0.0071777281673810625
Fe_1,-0.012436943404953826
Fe_2,-0.02560871764536725
Fe_3,-0.029993192209136488
Fe_4,-0.028603094337058575
Fe_5,-0.021294298651821413
Fe_6,-0.016510649240369345
Cd_1,0.0013087658371340708
Cd_2,0.003453776221205956
Cd_3,0.006928968979782466
Cd_4,0.0087273482034907
Cd_5,0.007660312527549783
Cd_6,0.013794010165021846
Zn_1,-0.005531605972046229
Zn_2,-0.006475635521579207
Zn_3,0.003266235860487551
Zn_4,0.01675236509829042
Zn_5,0.02713824072169892
Zn_6,0.033329357102631595
Cu_1,0.0032713428881659978
Cu_2,0.005245537781630599
Cu_3,0.011929251720884184
Cu_4,0.019598052102728324
Cu_5,0.03047429777671728
Cu_6,0.04291944951018147
Pb_1,0.005756752299816821
Pb_2,0.012275488960863465
Pb_3,0.018665227023752208
Pb_4,0.029411594099401143
Pb_5,0.038706057599168835
Pb_6,0.05059063839630841
