,A,NarL,Fnr
R2,,0.12349206610947716,0.02048070518627787
xmin,,-3.3278448574369563,-9.786193262000001
xmid,,-0.24572558421679666,
xmax,,1.2829432884999994,2.044364117999999
ystart,,2.142514903393115,6.066369552468575
yend,,9.176552014446697,1.818097641437702
control__wt_glc__1,-0.5208715253590258,0.0046058085000000295,-0.0526320000000009
control__wt_glc__2,0.5208715253589891,-0.0046058085000000295,0.05263199999999912
fur__wt_dpd__1,3.185105291640876,0.7958407655000004,-0.2233275490000004
fur__wt_dpd__2,3.982230117198277,0.7809120795000002,-0.20726320800000053
fur__wt_fe__1,2.8525336851363434,0.08602043750000021,-0.559124369000001
fur__wt_fe__2,3.264258878226815,0.1956717155000005,-0.5180337210000019
fur__delfur_dpd__1,2.992475596607689,0.6368233544999997,-0.35869387400000186
fur__delfur_dpd__2,2.890117241102024,0.6053562415,-0.3499676950000019
fur__delfur_fe2__1,1.4163781457376332,0.2292959385,-0.2728296990000008
fur__delfur_fe2__2,1.1900397219393244,0.31020635650000017,-0.2654058500000005
acid__wt_ph5__1,5.9623246007577535,0.7226422634999999,-0.5248469310000008
acid__wt_ph5__2,5.795145010228725,0.6039874684999997,-0.5394919760000008
acid__delgadx_ph5__2,7.138907990676077,0.7064404204999999,-0.4808098230000013
acid__delgadw_ph5__1,6.493558078431023,0.6671839154999999,-0.5694477410000012
acid__delgadw_ph5__2,6.350635583070823,0.6889960855000004,-0.5457824470000006
acid__delgade_ph5__1,6.097570479969043,0.4548568884999993,-0.4965959550000018
acid__delgade_ph5__2,6.321905020277178,0.4452644244999986,-0.5235996460000011
oxidative__wt_pq__1,3.2731443273677923,1.1253454755000003,-0.27798360400000105
oxidative__wt_pq__2,3.549534722975075,1.2190429044999993,-0.40360473400000174
oxidative__deloxyr_pq__1,2.806138191639916,1.0256380375000012,-0.11731480800000148
oxidative__deloxyr_pq__2,2.9876876301963207,1.1128686854999996,-0.05299572400000052
oxidative__delsoxr_pq__1,2.8646525446464515,0.8344043914999997,-0.4695711340000006
