,-0.0652567272,-0.0326283636,0.0,0.0326283636,0.0652567272,0.09788509079999999,0.1305134544,0.16314181800000002,0.1957701816,0.2283985452,0.2610269088,0.2936552724,0.326283636,0.3589119996,0.3915403632000001,0.42416872680000006,0.45679709040000005,0.48942545400000004,0.5220538176,0.5546821812
thresh,-0.081570909,0.081570909,2,,,,,,,,,,,,,,,,,
unreg,2,59,4150,63,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rex,0,0,4,2,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Rex_genes,[],[],['hemZ' 'alsD' 'ndh' 'yjlC'],['alsS' 'cydD'],[],['cydC'],[],[],['cydB'],[],['ywcJ'],['cydA'],['lctP'],[],['ldh'],[],[],[],[],[]
