,A,FadR
R2,,0.04443278622201918
xmin,,-7.086732076
xmid,,
xmax,,1.8387284176
ystart,,7.079106952958215
yend,,-2.7232869749926403
aat__00m_00s__1,0.23371366070000002,-0.1273963004
aat__00m_30s__1,-1.505776805,-0.1483069323
aat__01m_00s__1,-1.2580875196,-0.1920294474
aat__02m_00s__1,0.7327641671,-0.33156318970000004
aat__05m_00s__1,2.5670268407,-0.3298447638
aat__10m_00s__1,3.12371577,-0.3037890281
aat__00m_00s__2,-0.429469937,-0.1399021618
aat__00m_30s__2,-0.4902282751,-0.140571432
aat__01m_00s__2,0.3545897161,-0.3213131893
aat__02m_00s__2,1.8954405083,-0.4593688314
aat__05m_00s__2,3.88393612,-0.31262417200000003
aat__10m_00s__2,3.6497743797,-0.128160002
aat__00m_00s__3,0.1957562763,0.26729846220000003
aat__00m_30s__3,-1.1727696161,-0.1270824452
aat__01m_00s__3,-0.718476067,-0.3241019305
aat__02m_00s__3,0.5287834156,-0.3533221951
aat__05m_00s__3,2.9864603475,-0.1758989686
aat__10m_00s__3,2.8870398693,-0.27558919130000004
abx_mega__dmso-2__1,0.8492890252,-0.9618186577000001
abx_mega__ery_dmso__1,-0.7758918403,-0.8085944659000001
abx_mega__nal_naoh__1,4.0728804901,-1.738721606
abx_mega__dmso-5__1,-0.7768196043000001,-0.0402884145
abx_mega__rif_dmso__1,0.4789931784,-0.8116282515000001
abx_mega__novo_h2o__1,-0.37012448540000004,-2.2812781384
abx_mega__rach_dmso__1,-0.6666425973,0.258462048
abx_mega__metro_dmso__1,-0.472926334,-0.1538631891
abx_mega__dmso-6__1,-1.3528350600999999,-0.0342803997
abx_mega__chl_h2o__1,-2.0779395326,-1.4810110711
abx_mega__cst_h2o__1,1.5526159930999999,-0.06932011910000001
abx_mega__tec_h2o__1,1.9329997310000002,-2.3522623228
abx_mega__str_h2o__1,1.1138188429,-2.237038429
abx_mega__ctx_h2o__1,1.3665627705,0.2163799469
abx_mega__nal_naoh__2,1.514469297,0.1656759381
abx_mega__phos_h2o__1,-3.2810478813,-0.0037585092000000002
abx_mega__dmso-5__2,-0.35102648280000004,-0.30033196160000003
abx_mega__polmyx_h2o__1,2.056468597,0.2667240952
abx_mega__h2o-8b__1,1.0835644203,-0.0374986553
abx_mega__h2o-6__1,0.5163707062,0.4338481475
abx_mega__thio_dmso__1,0.8949882176,-1.3039771015000001
abx_mega__phos_h2o__2,-0.8321330649,0.3999377324
abx_mega__ctx_h2o__2,2.6077255962,-0.286959895
abx_mega__lzd_dmso__1,0.2176191486,-0.3087147658
abx_mega__naoh-9__1,1.1086515535,0.2924510643
abx_mega__dox_dmso__1,-0.6202610819000001,-0.3003393727
abx_mega__phos_ethanol__1,-0.6843928681,0.8669874289
abx_mega__teix_dmso__1,-2.030550853,-0.8373349037000001
abx_mega__dmso-10__1,-0.0117987629,0.4473088753
abx_mega__van_dmso__1,3.7757904444,-0.5111572337
abx_mega__ramo_h2o__1,3.9307449529,-0.2995095788
abx_mega__tec_h2o__2,-0.5779779364000001,-0.0702415571
abx_mega__h2o-7__1,-0.3244054511,-0.3973752126
abx_mega__cro_h2o__1,0.8252070432,-0.4859318335
abx_mega__tric_ethanol__1,-1.2347055081,-0.9395732021000001
abx_mega__nor_naoh__1,0.9380308683,-0.049327546400000005
abx_mega__teix_dmso__2,-0.9179563143,0.058099347700000005
abx_mega__nal_naoh__3,1.1669860689,0.0787138537
abx_mega__novo_h2o__2,0.1974969919,-2.0817083819
abx_mega__dmso-10__2,-0.14064837430000002,0.2410465424
abx_mega__phos_h2o__3,0.7763082379,0.3884152044
abx_mega__dmso-6__2,-1.0338145944,0.0015358051000000001
abx_mega__rfp_ethanol__1,-0.9506707624,-1.4525565367
abx_mega__dmso-5__3,-0.5873158974,0.20911363330000002
abx_mega__amyc-d_dmso__1,-0.0655370386,-0.42926353030000003
abx_mega__sxt_dmso__1,-2.3893460975,-0.6693252154
abx_mega__dmso-1__1,-2.3960061714,0.011628098
abx_mega__pen_h2o__1,0.6679067436,-0.20229258020000002
abx_mega__dmso-10__3,-0.3001451966,0.1166050698
abx_mega__nal_naoh__4,1.9885497177,0.0463917071
abx_mega__cip_naoh__1,1.9005123392,0.0745543367
abx_mega__pen_h2o__2,0.5870424908,-0.0907491643
abx_mega__ery_dmso__2,-0.5828416775,-0.9666838566
abx_mega__dmso-2__2,0.5063874657,-1.6333757767
abx_mega__van_dmso__2,2.8696030252,-0.48767681820000003
abx_mega__h2o-1b__1,-0.4320237811,-0.1753554634
abx_mega__ery_h2o__1,-0.7499560458000001,-0.44673478520000004
abx_mega__bacit_h2o__1,2.6906134971,-1.2759626718
abx_mega__chl_h2o__2,-1.0597151631,-1.2072745994
abx_mega__str_h2o__2,1.1279874829,-2.0679711817
abx_mega__rfp_ethanol__2,0.5438993961,-1.7042577762
abx_mega__polmyx_h2o__2,1.5375225354,0.062234686000000004
abx_mega__tric_h2o__1,-0.8660137233,-0.3016225278
abx_mega__cip_naoh__2,1.0329410138,-0.1621683649
abx_mega__novo_h2o__3,0.7702940073000001,-2.2937666588
abx_mega__bacit_dmso__1,0.0410492056,-0.3209767558
abx_mega__gen_h2o__1,0.0088469133,-1.2132439671
abx_mega__bacit_dmso__2,0.7140297237000001,-0.6012158878
abx_mega__chl_dmso__1,1.0709165383,-1.0826739724
abx_mega__bacit_h2o__2,1.0097204528,-0.7353391288000001
abx_mega__lvx_dmso__1,-0.6132329363,0.20382730370000002
abx_mega__bacit_h2o__3,1.8802145094,-0.8480409434
abx_mega__nor_naoh__2,0.7677336112,-0.16155096200000002
abx_mega__amyc-d_dmso__2,0.0780779011,-0.1310129048
abx_mega__polmyx_h2o__3,5.6963262846,-2.6649920961999998
abx_mega__naoh-6__1,0.9152490369,0.24013801110000002
abx_mega__cst_h2o__2,0.5066135129,-0.0683268029
abx_mega__h2o-1b__2,-0.38581904450000004,0.0185985506
abx_mega__rfp_h2o__1,0.7191561552,-0.7120867773
abx_mega__tet_h2o__1,-0.5604038892000001,-0.7546868710000001
abx_mega__flavo_dmso__1,-1.7384317481,0.51321045
abx_mega__zeocin_h2o__1,1.4695794873,0.2333212202
abx_mega__nor_naoh__3,1.7317451762,-0.1575825568
abx_mega__rach_dmso__2,-0.5583668512000001,-0.9975318977000001
abx_mega__thio_dmso__2,-3.1873421525,-0.8648562299
abx_mega__amyc-d_dmso__3,-0.3942324769,-0.3036616183
abx_mega__rif_dmso__2,1.3335277263,0.12811505010000002
abx_mega__amyc-d_dmso__4,-0.4877474117,0.1676592119
abx_mega__teix_dmso__3,-1.5281528793999999,0.1520287864
abx_mega__valin_dmso__1,0.10222419070000001,-0.4573938987
abx_mega__teix_dmso__4,-1.8174367316,0.1426354075
abx_mega__ethanol-10__1,-0.4096031338,0.053349757000000005
abx_mega__inh_h2o__1,1.5852458281000001,-0.1005461025
abx_mega__rif_dmso__3,-1.5619304705000001,-0.7248178575
abx_mega__van_dmso__3,2.7604180383,-0.7224777057
abx_mega__doxo_dmso__1,5.0474358664,-0.7609502002
abx_mega__tmp_dmso__1,-0.20683071460000002,0.2029270626
abx_mega__ethanol-10__2,-0.30303655890000003,-0.0095736998
abx_mega__tmp_dmso__2,-0.39548068140000003,0.3352071211
abx_mega__amyc-d_dmso__5,-1.8955163858000001,0.0053493709
abx_mega__novo_h2o__4,-0.2254908716,-1.9324145865000002
abx_mega__cro_h2o__2,1.357427,-0.3146199783
abx_mega__cro_h2o__3,-0.2036744173,-0.0084422126
abx_mega__gen_h2o__2,-0.22092991680000001,-3.0553255555
abx_mega__phos_h2o__4,3.5654789625000003,-1.8074339063
abx_mega__metro_dmso__2,-0.6065968541,0.037920231000000006
abx_mega__ery_h2o__2,0.7460749241,-0.1957699407
abx_mega__sacet_h2o__1,-2.2041175676,-1.4267873938
abx_mega__nal_naoh__5,0.9565789648,0.2003110951
abx_mega__bacit_h2o__4,1.6067051353,-0.4577865706
abx_mega__cip_naoh__3,1.308739334,0.0871969819
abx_mega__ethanol-8__1,-2.9381253616,-0.08526051080000001
abx_mega__h2o-8a__1,4.8507791905,0.0438361434
abx_mega__ery_h2o__3,-1.1408100149,-0.29689752820000004
abx_mega__flavo_dmso__2,1.1476677017,-0.3501498831
abx_mega__rif_dmso__4,-0.9472179273,-0.9144172765
abx_mega__novo_h2o__5,-1.1475757291,-2.4846709592
abx_mega__teix_dmso__5,-1.3037648025,0.3279660914
abx_mega__naoh-2__1,3.9632187912,-0.6933184081
abx_mega__novo_h2o__6,0.8791863711000001,-2.6009081049000002
abx_mega__ctx_h2o__3,1.5540768781,-0.0777337944
abx_mega__rach_dmso__3,-0.5475154338,-1.1111489099
abx_mega__valin_dmso__2,-0.7151148516,-0.1731678738
abx_mega__amyc-d_dmso__6,-3.1972856838,-0.41701444730000004
abx_mega__dox_dmso__2,0.27688724730000003,-0.23186877360000002
abx_mega__teix_dmso__6,-1.8936168495999999,0.0921431904
abx_mega__naoh-6__2,0.055963994,0.2750797545
abx_mega__inh_h2o__2,-2.5355165063,-0.47381777810000003
abx_mega__chl_h2o__3,0.35777119560000004,-2.1268367495
abx_mega__nal_naoh__6,1.0033986468,0.1264229458
abx_mega__chl_dmso__2,0.1905829292,-1.0116710567
abx_mega__rach_dmso__4,0.0625173612,-0.9484337614
abx_mega__teix_dmso__7,-0.7247665038000001,0.2569495855
abx_mega__ceru_ethanol__1,-2.9363381501,-0.22922560500000003
abx_mega__dmso-7__1,-2.692790063,-0.45222752780000003
abx_mega__naoh-6__3,0.8599139265,0.2916480158
abx_mega__phos_ethanol__2,0.5113012232,0.549141655
abx_mega__metro_dmso__3,-0.0263560189,-0.2577549726
abx_mega__van_dmso__4,2.9722963065,-0.857069921
abx_mega__h2o-10__1,3.1399935941,-0.1579108289
abx_mega__h2o-10__2,2.3714932875,-0.22003983900000001
abx_mega__dmso-6__3,-0.717509516,-0.2584745357
abx_mega__mem_dmso__1,-0.0021594590000000003,-0.3619408115
abx_mega__ethanol-8__2,-1.4560488494000001,-0.006752803700000001
abx_mega__chl_h2o__4,0.643118359,-1.8551314647
abx_mega__van_h2o__1,-0.3096767757,-0.4460125653
abx_mega__dcs_h2o__1,-0.6427992899,0.3496195952
abx_mega__rif_dmso__5,0.30551040760000003,0.1442501866
abx_mega__dox_dmso__3,-1.3967458551,-0.1153339479
abx_mega__mem_dmso__2,-0.6521133483,0.3716339731
abx_mega__lvx_dmso__2,1.0286224621,0.0209810761
abx_mega__tet_h2o__2,-0.0892699455,-1.1817652365
abx_mega__phos_h2o__5,2.3122695499,-1.1018559861
abx_mega__monac_dmso__1,4.1546511651,-0.9084965551
abx_mega__str_h2o__3,2.5810167668,-0.4637665724
abx_mega__zeocin_h2o__2,4.4398925053,-1.2117979426
abx_mega__amyc-d_dmso__7,-4.182627537,-1.2698202172
abx_mega__fidax_dmso__1,-0.5423892762,0.1445793815
abx_mega__h2o-1a__1,0.0961568616,-0.0670131263
abx_mega__dox_dmso__4,0.2397568304,-0.14113313700000002
abx_mega__lzd_dmso__2,-2.9143441025000003,-0.6003460977
abx_mega__tet_h2o__3,0.39202733910000004,-0.5625643462000001
abx_mega__dmso-1__2,-2.9265283803,0.19524075570000002
abx_mega__sxt_dmso__2,-1.2462045053,0.1407187828
abx_mega__tric_ethanol__2,-0.9298149859,-0.9078428214
abx_mega__teix_dmso__8,-2.3833217906,0.1310694383
abx_mega__ramo_h2o__2,1.6800927972,-0.274517648
abx_mega__inh_h2o__3,1.8420368906,0.2500583336
abx_mega__cst_h2o__3,0.0428430862,0.3204336024
abx_mega__dmso-9__1,0.3635290303,0.0638689228
abx_mega__ethanol-8__3,-0.8960347002,-0.16122949550000001
abx_mega__monac_dmso__2,4.1974292769,-1.1822012569
abx_mega__dmso-9__2,0.1631764184,0.237326785
abx_mega__metro_dmso__4,-0.0797726391,-0.1668164768
abx_mega__ctx_h2o__4,0.9944135189000001,-0.1616281496
abx_mega__zeocin_h2o__3,4.1720185887,-1.8181527981
abx_mega__bacit_h2o__5,1.2693362959,-0.9006981124000001
abx_mega__reta_dmso__1,-2.1082094312,-1.0904164771
abx_mega__ery_h2o__4,0.0202459148,-1.2164815863
abx_mega__ceru_ethanol__2,-1.8987212166,-0.5699293118000001
abx_mega__fidax_dmso__2,-0.8398849181,0.4149136902
abx_mega__novo_dmso__1,-1.49098322,-2.2512699548
abx_mega__naoh-6__4,-0.32443222190000004,0.1486650018
abx_mega__amyc-d_dmso__8,-0.44216345760000003,-0.053898902000000005
abx_mega__chl_dmso__3,-0.3730722553,-1.0324992419
abx_mega__nal_naoh__7,-1.0996513333,0.28256063
abx_mega__teix_dmso__9,-0.8888309360000001,0.032313835
abx_mega__ery_dmso__3,0.6329242834000001,-0.7961640865
abx_mega__tmp_dmso__3,-0.7790166228000001,0.2779418014
abx_mega__sxt_dmso__3,-0.4096761721,-1.0056428557
abx_mega__polmyx_h2o__4,4.2530794945,-0.49766300210000003
abx_mega__mem_dmso__3,-0.440189288,0.368840691
abx_mega__nal_naoh__8,3.7361244635,-1.3596441438
abx_mega__pen_h2o__3,-1.3888416341,0.024054459900000002
abx_mega__van_dmso__5,2.1580691901,-1.0374637209
abx_mega__zeocin_h2o__4,4.1957131146,-1.5253023931
abx_mega__h2o-6__2,-0.2831676456,0.3909571409
abx_mega__tet_h2o__4,-1.0291420953,-0.8834776603000001
abx_mega__nor_naoh__4,1.1899062975,0.3662217072
abx_mega__cip_naoh__4,0.8840538546000001,-0.013056231000000001
abx_mega__tmp_dmso__4,-0.6952480352,0.3952401414
abx_mega__reta_dmso__2,0.2396234334,-1.4675988017
abx_mega__mem_dmso__4,2.3702152854,-0.7721780409
abx_mega__dox_dmso__5,-0.5213326814,-0.3895706745
abx_mega__tmp_dmso__5,-1.434592706,0.1017542461
abx_mega__flavo_dmso__3,1.3772285885,-0.6228953089
abx_mega__tmp_dmso__6,-2.8694242263,0.4470681575
abx_mega__ceru_ethanol__3,0.1479491427,-0.6127436275
abx_mega__teix_dmso__10,-0.1899996895,0.2862904952
abx_mega__novo_h2o__7,1.2704418969,-2.5088512011
abx_mega__fidax_dmso__3,-0.43020943710000004,0.0271113013
abx_mega__h2o-1a__2,-0.1902371014,0.0161808358
abx_mega__dcs_h2o__2,2.0035484686,0.29518618820000003
abx_mega__cst_h2o__4,0.9820655594000001,0.1654502683
abx_mega__van_h2o__2,1.8272587994,-0.0919940088
abx_mega__pen_h2o__4,-3.9616925422,0.2935213238
abx_mega__h2o-8b__2,0.4242714973,-0.0728314078
abx_mega__reta_dmso__3,1.0061567448,-1.6026150683
abx_mega__dmso-7__2,-0.42463596670000003,-0.8079484523
abx_mega__rfp_h2o__2,0.6487857619,-0.8573803572
abx_mega__rif_dmso__6,0.42617476940000004,-0.6060554051
abx_mega__sxt_dmso__4,-0.9964718044,-1.1894614287
abx_mega__cip_naoh__5,0.06665840790000001,0.041656349
abx_mega__dmso-9__3,-1.6633195708000001,0.2194762436
abx_mega__mem_dmso__5,0.1208318656,-0.3326190123
abx_mega__tric_h2o__2,-0.1572484654,-0.0409627397
abx_mega__phos_h2o__6,-0.0235919615,0.47033927210000004
abx_mega__h2o-7__2,-0.0132822901,-0.32496872590000003
abx_mega__h2o-10__3,1.3561554466,-0.12429068
abx_mega__h2o-8a__2,4.500672844,-0.0350362849
abx_mega__thio_dmso__3,1.5738694326,-1.2278445837
abx_mega__lzd_dmso__3,-0.8336009311,-0.3678985161
abx_mega__monac_dmso__3,-0.42808471940000004,-0.9264263688000001
abx_mega__polmyx_h2o__5,-0.13097684680000002,0.0171038016
abx_mega__naoh-6__5,1.5143268484,0.21384633390000002
abx_mega__teix_dmso__11,-0.6488207875,0.4305706755
abx_mega__van_h2o__3,2.2832627896,-0.20652472460000001
abx_mega__teix_dmso__12,-2.8280210094,0.47505876950000003
abx_mega__dox_dmso__6,3.2702623499,-2.2817547735
abx_mega__teix_dmso__13,-2.1574092947,-0.7043388844
abx_mega__h2o-7__3,-1.5376933029000002,-0.2692614317
abx_mega__str_h2o__4,1.3882673659,-2.3918573779
abx_mega__tec_h2o__3,2.4781366699,-1.2917810044
abx_mega__phos_h2o__7,0.5100828668,0.5459670483
abx_mega__chl_h2o__5,-1.8771903159,-1.4889096019
abx_mega__polmyx_h2o__6,3.7668156192,-2.5357317461
abx_mega__teix_dmso__14,-1.148675496,0.3962556948
abx_mega__rif_dmso__7,1.8897115104000002,-0.0026665584
abx_mega__ramo_h2o__3,3.8239812807,-0.1516743885
abx_mega__fidax_dmso__4,-1.125741904,0.08434837910000001
abx_mega__teix_dmso__15,-1.1371951029,0.30417784340000004
abx_mega__thio_dmso__4,0.0471080828,-0.9809374415000001
abx_mega__rif_dmso__8,-0.4487071132,-1.0210178424
abx_mega__reta_dmso__4,0.7034101296,-1.7961653909000002
abx_mega__inh_h2o__4,-2.7178782269,-0.41148623900000003
abx_mega__novo_dmso__2,0.2841983558,-2.1730615959
abx_mega__dcs_h2o__3,1.9381203184,0.040623388100000005
abx_mega__h2o-8b__3,-1.5644730551000001,0.1784087959
abx_mega__valin_dmso__3,-0.2370018513,-0.44652180290000004
abx_mega__h2o-2__1,1.8533488329,-1.9451140836
abx_mega__cro_h2o__4,1.7006479504,-0.12191250810000001
abx_mega__dcs_h2o__4,-0.5515699559,0.4121071156
abx_mega__str_h2o__5,0.7881816652,-0.5124474108
abx_mega__h2o-8a__3,4.3199416363,-0.0776920129
abx_mega__dox_dmso__7,-0.5765792061,-0.0555921182
abx_mega__doxo_dmso__2,4.7538703453,-1.1264484169
abx_mega__teix_dmso__16,-2.5595755019,-0.4841625053
abx_mega__rfp_h2o__3,0.4863586265,-1.1150263227
abx_mega__ethanol-10__3,-0.7995648139,-0.012646781000000001
abx_mega__naoh-2__2,4.7290902757,-1.9927464699000002
abx_mega__van_h2o__4,0.3510969815,-0.30497228330000004
abx_mega__sacet_h2o__2,-2.3733384172,-1.3477046748000001
abx_mega__monac_dmso__4,3.3679280266,-0.9148225426000001
abx_mega__h2o-2__2,3.5406484808,-2.5848940442
abx_mega__zeocin_h2o__5,3.3990272148000003,-0.064598947
abx_mega__nor_naoh__5,0.3833183087,0.23197084
abx_mega__naoh-9__2,0.6338863313,0.38358072870000004
abx_mega__dmso-7__3,-1.1684877293,-1.0414067924000001
abx_mega__van_h2o__5,-1.9256634421,-0.3534487999
abx_mega__flavo_dmso__4,1.3701116089,-0.5096259703
abx_mega__novo_dmso__3,-1.5815470306,-2.2929386997
abx_mega__polmyx_h2o__7,0.510087099,0.1410595222
abx_mega__teix_dmso__17,-1.5124176328,0.1460895929
abx_mega__doxo_dmso__3,6.2047557286,-1.4310071155
abx_mega__mem_dmso__6,-0.9878286352000001,0.2070480949
abx_mega__h2o-1a__3,0.0940802398,0.0508322905
abx_mega__bacit_dmso__3,2.3085524313,-0.6981963928
abx_mega__dox_dmso__8,-0.6447843357,-2.1187518388
abx_mega__teix_dmso__18,-1.2184664264,-0.0086492418
abx_mega__h2o-6__3,1.4562306056,0.3020654896
abx_mega__pen_h2o__5,-0.45663063660000003,-0.1112506895
abx_mega__lzd_dmso__4,-0.10341869070000001,0.041760580900000004
abx_mega__daro__1,3.6012808338999998,-0.4797306036
abx_mega__solv__1,-1.522804362,-0.7645305378
abx_mega__daro__2,4.8706254745,-0.5023581372
abx_mega__daro__3,5.509518361,-0.5557930541
abx_mega__solv__2,-2.1444510887,-0.8540604693
abx_mega__solv__3,5.4292968887,-0.5608931832
abx_mega__dmso-4__1,0.0030913849000000003,-0.36844410520000004
abx_mega__kirr_dmso__1,-0.10247478880000001,-0.8981666214
abx_mega__kirr_dmso__2,-1.0430134443,-0.8515805415000001
abx_mega__kirr_dmso__3,0.2139874911,-1.1117675356
abx_mega__dmso-4__2,0.347395909,-0.3277876732
abx_mega__dmso-4__3,-0.2526555254,-0.1997774608
ackA_pta__dnaA46_del_ackA__1,0.6569572850000001,0.1701085883
ackA_pta__dnaA46_del_ackA__2,2.0695460506,0.19250972100000002
ackA_pta__dnaA46_del_ackA__3,0.7820746035,-0.1530826246
ackA_pta__dnaA46_del_pta__1,6.7425897703,-0.0629791387
ackA_pta__dnaA46_del_pta__2,2.3464253832,-0.013144374300000001
ackA_pta__dnaA46_del_pta__3,-0.0995716427,0.3791041913
