,thiG
Cr_1,0.0007904423219684874
Cr_2,0.00031719979562453804
Cr_3,-0.0010156216816020257
Cr_4,0.0016139334257915395
Cr_5,0.005491789947142007
Cr_6,0.002028956085805807
Fe_1,-0.008951122841886717
Fe_2,-0.005586348037662572
Fe_3,0.001225481958324765
Fe_4,0.00026873079325325183
Fe_5,-0.0005143878868060803
Fe_6,0.004127207453740568
Cd_1,0.0018268052408155176
Cd_2,-0.0031015808305168233
Cd_3,0.004131805183687782
Cd_4,0.01763534359756623
Cd_5,0.026589849195971883
Cd_6,0.027097864033357837
Zn_1,0.0015100142256977609
Zn_2,-0.0040308801616681855
Zn_3,-0.007410189312519653
Zn_4,-0.003214435207909226
Zn_5,-0.006238368861783388
Zn_6,0.020303869812047185
Cu_1,-0.006202764862683753
Cu_2,-0.01072450569507247
Cu_3,-0.01925145356506575
Cu_4,-0.029772945080929824
Cu_5,-0.029285459568098964
Cu_6,-0.024009079953055814
Pb_1,-0.008382373529282523
Pb_2,0.010665293045717544
Pb_3,0.0183894906764271
Pb_4,0.016950585553720303
Pb_5,0.00501618114770795
Pb_6,0.00036905998225923145
