,A,Lrp
R2,,0.09208785472654113
xmin,,-10.1521245118
xmid,,-3.688686027491773
xmax,,2.3501929199
ystart,,5.867425575718183
yend,,-1.164894664972513
aat__00m_00s__1,-0.2372346233,0.1917489778
aat__00m_30s__1,0.5180373956000001,-0.0036410337
aat__01m_00s__1,2.3399975112,0.0638516938
aat__02m_00s__1,5.0784278696,0.1884466547
aat__05m_00s__1,6.6751803001,0.2606995247
aat__10m_00s__1,5.4225669874,-0.18787669680000002
aat__00m_00s__2,0.606433451,-0.0850462209
aat__00m_30s__2,1.3522097747,0.23201001070000002
aat__01m_00s__2,3.381123689,0.4624908091
aat__02m_00s__2,5.8928401793,0.5094912821
aat__05m_00s__2,6.1926147557,0.42741818940000004
aat__10m_00s__2,5.351641841,-0.011315053200000001
aat__00m_00s__3,-0.3691988277,-0.1067027569
aat__00m_30s__3,0.3819801694,-0.034949130700000004
aat__01m_00s__3,2.6621842003,-0.0507207701
aat__02m_00s__3,4.095704554,0.0607301561
aat__05m_00s__3,5.4498352507,0.6821826714
aat__10m_00s__3,5.1995292983,0.1046706146
abx_mega__dmso-2__1,-2.0179226835,-0.07686038270000001
abx_mega__ery_dmso__1,-1.6758826353,-0.4184515133
abx_mega__nal_naoh__1,-3.3159124139,-0.0463286922
abx_mega__dmso-5__1,-1.0551025414,0.291528555
abx_mega__rif_dmso__1,1.7359274023,0.5837445491000001
abx_mega__novo_h2o__1,-1.0301897941,-0.5783668051
abx_mega__rach_dmso__1,-0.2554379342,-0.3544948952
abx_mega__metro_dmso__1,-2.9773158192,-0.0169901278
abx_mega__dmso-6__1,-1.9685060438000002,-0.19775123900000002
abx_mega__chl_h2o__1,-0.0963068148,-1.3513809867
abx_mega__cst_h2o__1,-0.2754581619,-0.0936446555
abx_mega__tec_h2o__1,-1.1432797811,-0.29484850100000004
abx_mega__str_h2o__1,-5.0729409438,0.0541041576
abx_mega__ctx_h2o__1,0.3704858659,-0.0762063272
abx_mega__nal_naoh__2,-3.1303147336,-0.5672398331
abx_mega__phos_h2o__1,-0.9604739433,0.053708981100000004
abx_mega__dmso-5__2,-0.3170937824,0.1920871912
abx_mega__polmyx_h2o__1,0.5835345052,0.0033290340000000002
abx_mega__h2o-8b__1,-1.4628901887,-0.2368879814
abx_mega__h2o-6__1,-1.4076693753,-0.2100487493
abx_mega__thio_dmso__1,-1.7468485087,-1.9313953898
abx_mega__phos_h2o__2,-0.9021257922,-0.2188764248
abx_mega__ctx_h2o__2,-1.2108251506,-1.5745697947
abx_mega__lzd_dmso__1,-0.1861583449,-0.7282929664000001
abx_mega__naoh-9__1,0.1098317745,0.2102835278
abx_mega__dox_dmso__1,0.7434538936,-0.34232132660000003
abx_mega__phos_ethanol__1,-1.3070066753,-0.0360912475
abx_mega__teix_dmso__1,2.4994678446,-0.46139139360000003
abx_mega__dmso-10__1,0.5085891262,-0.0707081911
abx_mega__van_dmso__1,0.8415820447,-0.9188570988
abx_mega__ramo_h2o__1,4.1666035802,-0.022524302700000002
abx_mega__tec_h2o__2,1.8279562203,-0.20139311000000001
abx_mega__h2o-7__1,-1.6413600328,-0.7064351524
abx_mega__cro_h2o__1,-1.1946894064,-1.1960682364
abx_mega__tric_ethanol__1,3.3350712382,0.7780823415
abx_mega__nor_naoh__1,-3.3834982503,-0.4910773156
abx_mega__teix_dmso__2,-0.2999579965,-0.1605013107
abx_mega__nal_naoh__3,-3.1147978821,-0.4457081766
abx_mega__novo_h2o__2,-0.6032266126,-0.5657690496000001
abx_mega__dmso-10__2,1.1368107836,-0.0129645851
abx_mega__phos_h2o__3,-2.0833963617,-0.2699756884
abx_mega__dmso-6__2,-0.4624097146,0.139214748
abx_mega__rfp_ethanol__1,2.7537072682,-1.0064182484
abx_mega__dmso-5__3,-1.4471033443,-0.0378195053
abx_mega__amyc-d_dmso__1,1.9385699719,-0.7699850183
abx_mega__sxt_dmso__1,-1.0890925199,-0.5983222528000001
abx_mega__dmso-1__1,-0.8433142003,-0.0788764182
abx_mega__pen_h2o__1,1.4338382916999999,0.1571077622
abx_mega__dmso-10__3,0.5160930858,0.0026593751
abx_mega__nal_naoh__4,-1.927998373,-0.1895165987
abx_mega__cip_naoh__1,-2.4886165335,-0.0914431154
abx_mega__pen_h2o__2,1.6892357008,0.0211183045
abx_mega__ery_dmso__2,-0.0661901671,-0.1386738842
abx_mega__dmso-2__2,-1.8947543082,0.38087032870000004
abx_mega__van_dmso__2,-0.131728587,-1.0385986195
abx_mega__h2o-1b__1,-1.0601159111,-0.34293042830000003
abx_mega__ery_h2o__1,0.7917733407,-1.3940862034000001
abx_mega__bacit_h2o__1,6.771976214,-0.1138610196
abx_mega__chl_h2o__2,0.068626587,-1.2410966374
abx_mega__str_h2o__2,-2.6807685792,0.2088463545
abx_mega__rfp_ethanol__2,2.0109252276,0.0064241946000000005
abx_mega__polmyx_h2o__2,0.8189566392000001,-0.37709018990000004
abx_mega__tric_h2o__1,2.6923227829,0.6017321859
abx_mega__cip_naoh__2,-3.0189341887,-0.6170299069
abx_mega__novo_h2o__3,0.5219400779,-0.6903743882000001
abx_mega__bacit_dmso__1,0.6017856657,-0.0542605311
abx_mega__gen_h2o__1,0.252536753,0.5402471191
abx_mega__bacit_dmso__2,2.1365396865,0.3040365601
abx_mega__chl_dmso__1,1.6061727176,0.5055827363000001
abx_mega__bacit_h2o__2,2.8618065605,-0.0160126656
abx_mega__lvx_dmso__1,-1.0720523216,-0.1464043041
abx_mega__bacit_h2o__3,6.2144793316,0.030627857100000003
abx_mega__nor_naoh__2,-2.757312739,-0.3171028179
abx_mega__amyc-d_dmso__2,0.5980970555,0.0735011207
abx_mega__polmyx_h2o__3,-2.1352484463,0.2066967292
abx_mega__naoh-6__1,-1.8226399896,-0.3304220725
abx_mega__cst_h2o__2,0.6582179543000001,-0.0316981053
abx_mega__h2o-1b__2,1.0997876984,-0.6171215938
abx_mega__rfp_h2o__1,3.1369503671,0.6950883019
abx_mega__tet_h2o__1,0.3203092561,-0.3530000016
abx_mega__flavo_dmso__1,1.5639999819,0.1148364345
abx_mega__zeocin_h2o__1,0.09885292770000001,-0.2500778275
abx_mega__nor_naoh__3,-3.0744011923,-0.4613391028
abx_mega__rach_dmso__2,-0.8362681361000001,-1.0513303845
abx_mega__thio_dmso__2,-0.008988401200000001,-0.7931882752
abx_mega__amyc-d_dmso__3,0.9274021076000001,-0.1425223824
abx_mega__rif_dmso__2,-0.3264101647,0.006394704
abx_mega__amyc-d_dmso__4,0.1018301682,-0.3398703041
abx_mega__teix_dmso__3,0.3113323759,-0.47042315490000003
abx_mega__valin_dmso__1,1.7448430145,-0.09956550460000001
abx_mega__teix_dmso__4,-1.3157878773,-0.2956049244
abx_mega__ethanol-10__1,1.9593687336,-0.1173161499
abx_mega__inh_h2o__1,0.9243383235,-0.6826879939
abx_mega__rif_dmso__3,1.6539748743,0.8572120805000001
abx_mega__van_dmso__3,0.19652383680000002,-0.1312239978
abx_mega__doxo_dmso__1,0.45707443480000004,-0.054202918
abx_mega__tmp_dmso__1,-3.762624719,-0.7687571366
abx_mega__ethanol-10__2,1.9184567806000001,-0.2830325331
abx_mega__tmp_dmso__2,-4.7684963049,-0.7246961160000001
abx_mega__amyc-d_dmso__5,1.5966853931,-0.3809499105
abx_mega__novo_h2o__4,-0.9030204627,-0.540200283
abx_mega__cro_h2o__2,-1.8780300194000001,-1.1092440873
abx_mega__cro_h2o__3,-1.3936983751,-0.7686285168
abx_mega__gen_h2o__2,-0.8902638636,0.7548364243
abx_mega__phos_h2o__4,-1.2256350280000001,0.3043680612
abx_mega__metro_dmso__2,-2.08993964,-0.0052407457000000005
abx_mega__ery_h2o__2,0.9424677028,-0.7428466618
abx_mega__sacet_h2o__1,-1.0555728602,1.0942464863
abx_mega__nal_naoh__5,-3.6670967778,-0.6480018334000001
abx_mega__bacit_h2o__4,3.3414145901,0.16226913340000002
abx_mega__cip_naoh__3,-2.3665706579,-0.0022205892
abx_mega__ethanol-8__1,-2.15075977,-0.12551559210000002
abx_mega__h2o-8a__1,1.9977404627,0.3114165841
abx_mega__ery_h2o__3,1.6601695357000001,-1.3817991191
abx_mega__flavo_dmso__2,-0.8074641401,-1.1118241244
abx_mega__rif_dmso__4,1.4636750492,0.640189754
abx_mega__novo_h2o__5,-0.9810193216,-0.7973720779
abx_mega__teix_dmso__5,0.7651636728000001,-0.131505318
abx_mega__naoh-2__1,-0.6528538484,-0.029839515100000002
abx_mega__novo_h2o__6,0.013330260200000001,-0.5520812733
abx_mega__ctx_h2o__3,-0.58023303,-1.1904583361
abx_mega__rach_dmso__3,-0.1666925653,-1.2247114862
abx_mega__valin_dmso__2,0.7656445064,-0.6554227122
abx_mega__amyc-d_dmso__6,2.238756977,0.112860213
abx_mega__dox_dmso__2,-2.3626909654,-0.2555514143
