,ycfT
Cr_1,-0.002728435016074205
Cr_2,-0.004360442094191282
Cr_3,0.001204209174210489
Cr_4,-0.002786693522978189
Cr_5,-0.0012427643748419866
Cr_6,0.002802167675036521
Fe_1,-0.03987869292538192
Fe_2,-0.06201854754022596
Fe_3,-0.08946855217500117
Fe_4,-0.10347917640803687
Fe_5,-0.11171850229916834
Fe_6,-0.13743582803144055
Cd_1,0.0032133665029212216
Cd_2,0.0141148924593026
Cd_3,0.013004893768173074
Cd_4,0.01489817212454619
Cd_5,0.01379029289529533
Cd_6,0.0217274675982778
Zn_1,-0.04152120780826105
Zn_2,-0.0641648117392183
Zn_3,-0.0812929104582984
Zn_4,-0.08835357806086341
Zn_5,-0.09481377468403726
Zn_6,-0.050798905743061264
Cu_1,-0.0037180256085394
Cu_2,-0.006565583667763865
Cu_3,-0.0034124744220413593
Cu_4,2.0246907851514167e-06
Cu_5,0.00768756155977025
Cu_6,0.02115570364241149
Pb_1,-0.002846233741344002
Pb_2,-0.005292805219983943
Pb_3,0.0013641926809354796
Pb_4,0.0012652679381570193
Pb_5,0.006488216150763642
Pb_6,0.011386792226660034
