,aspU
Cr_1,0.004246435083480619
Cr_2,0.011903642445254893
Cr_3,0.009771019488024805
Cr_4,0.012767738258849684
Cr_5,0.015177632976094715
Cr_6,0.013137330649295072
Fe_1,-0.007223055551063795
Fe_2,-0.016940138034003713
Fe_3,-0.014665510122859653
Fe_4,-0.019600341228539413
Fe_5,-0.013672088439967754
Fe_6,-0.01683315506406977
Cd_1,0.0015263499116050894
Cd_2,0.004497170704024954
Cd_3,0.001772138754620314
Cd_4,0.003735971856919125
Cd_5,0.0042112352513908186
Cd_6,0.008153265583523719
Zn_1,-0.008017978224969375
Zn_2,0.0021151781802462005
Zn_3,0.02245750217890876
Zn_4,0.05172287202110525
Zn_5,0.08166418891933859
Zn_6,0.111981682151865
Cu_1,-0.002529284190459118
Cu_2,0.002085227513110484
Cu_3,0.007672691398057094
Cu_4,0.019382570316875517
Cu_5,0.03503106494157001
Cu_6,0.04543346003811087
Pb_1,-0.004551530809691544
Pb_2,0.005922175918804406
Pb_3,0.023563559750338824
Pb_4,0.041317679415416204
Pb_5,0.04295941885140656
Pb_6,0.06239062109190751
