,renD
Cr_1,-0.005508495786475739
Cr_2,0.007784377352375272
Cr_3,0.023539672147835616
Cr_4,0.0272201460226484
Cr_5,0.019028830411992857
Cr_6,0.024456860557660942
Fe_1,-0.04229164948844436
Fe_2,-0.057804598465568666
Fe_3,-0.07576719508516186
Fe_4,-0.07211414649751285
Fe_5,-0.06079197830456594
Fe_6,-0.06584477769199333
Cd_1,-0.0016046764178709715
Cd_2,0.0020267680092643293
Cd_3,0.0026234520330788488
Cd_4,0.004322939946675332
Cd_5,0.004115343897741679
Cd_6,0.010622935357836623
Zn_1,-0.020034543980120133
Zn_2,-0.03415798899982956
Zn_3,-0.050739276913678605
Zn_4,-0.050587724226444766
Zn_5,-0.05980560089586968
Zn_6,-0.06136481966629528
Cu_1,0.005768281512372118
Cu_2,0.008374337390839167
Cu_3,0.015755638739711128
Cu_4,0.022203896920805828
Cu_5,0.020366784664852044
Cu_6,0.020322097629880638
Pb_1,-0.0016998532181316654
Pb_2,-0.009474776738690207
Pb_3,-0.0029166668092365762
Pb_4,-0.003642740980729897
Pb_5,-0.015241147754270172
Pb_6,-0.015600315214573604
