,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,ALE__GalactoseA5,-1.8432417115291657,0.12442279365515233,2.0,0.0,-1.9312219126568984,1.0,-1.7552615104014329,,,,
1,ALE__GalactoseA6,3.4858140071852994,0.17636718304556143,2.0,2.0,3.361103576075014,3.0,3.610524438295585,,,,
2,ALE__GalactoseA8,4.1872804384058,0.707791225959942,2.0,4.0,4.687764413946415,5.0,3.6867964628651855,,,,
3,ALE__IL_Control,-2.3326807152557194e-10,2.2086256055771583,4.0,6.0,-0.0479008734629686,7.0,-3.097814094965912,8.0,1.7821099721699571,9.0,1.363604995325851
4,ALE__IL_TEOH_OAc,-4.114139866609085,2.333304799837183,2.0,10.0,-5.764035513149077,11.0,-2.464244220069092,,,,
5,ALE__IL_TEA_HS,1.4156700313708062,1.3498314574168018,2.0,12.0,2.370145008369147,13.0,0.4611950543724652,,,,
6,ALE__IL_Mixed,-1.356035496069174,0.8063169224437778,2.0,14.0,-0.7858833324237111,15.0,-1.9261876597146368,,,,
7,ALE__IL_PP5350,17.72664766178813,0.35240416375999967,2.0,16.0,17.975835035701202,17.0,17.47746028787506,,,,
8,ALE__IL_T8,17.39779109507728,0.15176873945954888,2.0,18.0,17.2904743902333,19.0,17.505107799921262,,,,
9,ALE__IL_T9,6.707029866564116,0.7025269922489821,2.0,20.0,7.20379146674996,21.0,6.210268266378272,,,,
10,ALE__IL_Control2,-0.1302066435977692,0.033005055785068044,2.0,22.0,-0.1068685448387073,23.0,-0.1535447423568311,,,,
11,ALE__IL_Glc+Ace,-3.8053252559896307,0.5014939278841128,2.0,24.0,-4.159935013120364,25.0,-3.450715498858897,,,,
12,ALE__XyloseA1,2.119631160423256,0.39194404163542146,2.0,26.0,2.396777450109325,27.0,1.842484870737187,,,,
13,ALE__XyloseA2,0.25980708317825185,0.3250111911090133,2.0,28.0,0.0299894659835516,29.0,0.4896247003729521,,,,
14,ALE__XyloseA3,-0.11883513535818824,0.01558473136761653,2.0,30.0,-0.1298552045912006,31.0,-0.1078150661251759,,,,
15,ALE__XyloseA4,0.7591978139811071,0.22685631322718575,2.0,32.0,0.9196094514190296,33.0,0.5987861765431846,,,,
16,Aromatic__Coumarate,2.6681725323285685,0.7525594195248959,3.0,34.0,1.8213341118322064,35.0,2.92278950001443,36.0,3.260393985139069,,
