,A,PP_5350
R2,,0.0017271854933513797
xmin,,-2.5408596887500003
xmid,,0.3260669134219429
xmax,,1.754897488
ystart,,0.05269420452859075
yend,,2.7367693228267855
ALE:GalactoseA5:1.0,-1.9312219126568984,0.9235063477499992
ALE:GalactoseA5:2.0,-1.7552615104014329,0.967405531749999
ALE:GalactoseA6:1.0,3.361103576075014,0.5355085747499997
ALE:GalactoseA6:2.0,3.610524438295585,0.5262134197499995
ALE:GalactoseA8:1.0,4.687764413946415,0.7975225537499995
ALE:GalactoseA8:2.0,3.6867964628651855,0.7584910187499991
ALE:IL_Control:1.0,-0.0479008734629686,-0.0551855242500005
ALE:IL_Control:2.0,-3.097814094965912,-0.0089000632500004
ALE:IL_Control:3.0,1.7821099721699571,0.0336180067499993
ALE:IL_Control:4.0,1.363604995325851,0.030467580749999
ALE:IL_TEOH_OAc:1.0,-5.764035513149077,-0.4242634992500003
ALE:IL_TEOH_OAc:2.0,-2.464244220069092,-0.248451514250001
ALE:IL_TEA_HS:1.0,2.370145008369147,-0.6025685002500003
ALE:IL_TEA_HS:2.0,0.4611950543724652,-0.2673036862500009
ALE:IL_Mixed:1.0,-0.7858833324237111,0.0141791367499992
ALE:IL_Mixed:2.0,-1.9261876597146368,-0.131171923250001
ALE:IL_PP5350:1.0,17.975835035701202,-0.4043933412500005
ALE:IL_PP5350:2.0,17.47746028787506,-0.2984314872500002
ALE:IL_T8:1.0,17.2904743902333,-0.0827160722500002
ALE:IL_T8:2.0,17.505107799921262,-0.1262261682500005
ALE:IL_T9:1.0,7.20379146674996,-0.2443522632500006
ALE:IL_T9:2.0,6.210268266378272,-0.2221064542500004
ALE:IL_Control2:1.0,-0.1068685448387073,0.3049104327499989
ALE:IL_Control2:2.0,-0.1535447423568311,0.4593611457499991
ALE:IL_Glc+Ace:1.0,-4.159935013120364,-0.0680223382500004
ALE:IL_Glc+Ace:2.0,-3.450715498858897,-0.0228616072500003
ALE:XyloseA1:1.0,2.396777450109325,0.3363662287499993
ALE:XyloseA1:2.0,1.842484870737187,0.4696477217499994
ALE:XyloseA2:1.0,0.0299894659835516,0.789481831749999
ALE:XyloseA2:2.0,0.4896247003729521,0.8503861817499994
ALE:XyloseA3:1.0,-0.1298552045912006,0.7290656647499993
ALE:XyloseA3:2.0,-0.1078150661251759,0.8229984627499993
ALE:XyloseA4:1.0,0.9196094514190296,0.6158705007499989
ALE:XyloseA4:2.0,0.5987861765431846,0.6497007117499995
Aromatic:Coumarate:1.0,1.8213341118322064,-0.0491498090000002
Aromatic:Coumarate:2.0,2.92278950001443,-0.4405633279999996
Aromatic:Coumarate:3.0,3.260393985139069,-0.2801262280000003
Aromatic:Coumarate+ferulate:1.0,2.0948626473565817,0.1343187869999997
Aromatic:Coumarate+ferulate:2.0,1.6279853727914435,-0.1134652980000003
Aromatic:Coumarate+ferulate:3.0,0.1391919302623215,0.1061239330000001
Aromatic:Ferulate:1.0,-2.4177725025802745,-0.0336109479999997
Aromatic:Ferulate:2.0,-1.894515687867919,-0.1143892309999996
Aromatic:Ferulate:3.0,-1.5297940060391462,0.0245295229999999
Aromatic:Glucose:1.0,0.0653615695787585,0.0908680569999997
Aromatic:Glucose:2.0,-1.844816939047632,-0.2342887349999998
Aromatic:Glucose:3.0,1.7794553688312749,0.143420678
Bioreactor1:24h:1.0,-0.9168038610475788,-0.0410825925000004
Bioreactor1:24h:2.0,0.9168038615264176,0.0410825924999995
Bioreactor2:S_0min:1.0,0.1985610105406429,0.1412104086666659
Bioreactor2:S_15min:1.0,1.1781869753721348,0.1033259036666658
Bioreactor2:P1_15min:1.0,1.5873567205363022,-0.3647985803333338
Bioreactor2:P3_15min:1.0,3.0635948583118795,-0.1093906443333336
Bioreactor2:P5_15min:1.0,4.098125739166963,-0.7442701223333339
Bioreactor2:S_1h:1.0,1.5572240791606555,-0.0469185133333338
Bioreactor2:S_3h:1.0,1.2167039961976325,-0.2706982593333338
Bioreactor2:S_9h:1.0,2.866622336354718,0.0950770256666659
Bioreactor2:S_25h:1.0,1.862098063333025,0.1946914666666659
Bioreactor2:P1_25h:1.0,3.221536731758514,-0.385120441333334
