,iModulon,Gene
0,0,b0306
1,0,b0307
2,0,b0308
3,0,b0447
4,0,b1826
5,0,b2141
6,0,b2142
7,0,b2143
8,0,b3755
9,0,b4116
10,0,b4354
11,1,b2239
12,1,b2240
13,1,b2241
14,1,b2242
15,1,b2243
16,1,b3426
17,1,b3925
18,1,b3926
19,1,b3927
20,2,b0062
21,2,b0509
22,2,b1800
23,2,b2736
24,2,b2737
25,2,b2738
26,2,b2739
27,2,b2740
28,2,b2843
29,3,b0594
30,3,b0595
31,3,b0596
32,3,b0597
33,3,b1018
34,3,b1019
35,3,b2265
36,3,b4490_2
37,4,b0382
38,4,b1422
39,4,b4077
40,5,b0061
41,5,b0062
42,5,b0063
43,5,b0344
44,5,b0349
45,5,b0350
46,5,b0351
47,5,b0352
48,5,b0954
49,5,b2323
50,5,b2599
51,5,b2899
52,5,b3903
53,5,b4252
54,5,b4253
55,5,b4350
56,5,b4363
57,6,b0698
58,6,b2677
59,6,b2678
60,6,b2679
61,7,b1101
62,7,b1198
63,7,b1199
64,7,b1200
65,7,b1817
66,7,b1818
67,7,b1819
68,7,b2416
69,7,b2943
70,7,b3599
71,7,b3600
72,8,b0032
73,8,b0272
74,8,b0273
75,8,b0709
76,8,b0860
77,8,b2818
78,8,b3172
79,8,b3359
80,8,b3957
81,8,b3958
82,8,b3959
83,8,b3960
84,8,b4254
85,9,b0593
86,9,b1523
87,9,b1524
88,9,b1525
89,9,b1831
90,10,b0895
91,10,b0896
92,10,b1223
93,10,b1224
94,10,b1225
95,10,b1226
96,10,b1227
97,10,b2111
98,10,b2195
99,10,b2196
100,10,b2197
101,10,b2199
102,10,b2201
103,10,b2202
104,10,b2203
105,10,b2204
106,10,b2205
107,10,b2206
108,10,b2207
109,10,b2208
110,10,b3365
111,10,b3366
112,10,b3367
113,10,b3476
114,10,b4070
115,10,b4071
116,10,b4072
117,10,b4073
118,10,b4506
119,11,b1137
120,11,b1138
121,11,b1139
122,11,b1140
123,11,b1143
124,11,b1145
125,11,b1159
126,11,b1596
127,11,b3357
128,11,b4519
129,11,b4693
130,12,b3416
131,12,b3417
132,12,b3418
133,12,b4032
134,12,b4033
135,12,b4034
136,12,b4035
137,12,b4036
138,12,b4037
139,13,b0605
140,13,b0606
141,13,b0812
142,13,b0849
143,13,b2582
144,13,b3518
145,13,b3942
146,13,b3961
147,14,b0553_1
148,14,b0723
149,14,b1101
150,14,b1143
151,14,b1145
152,14,b1205
153,14,b1415
154,14,b1426
155,14,b1596
156,14,b1817
157,14,b1818
158,14,b1819
159,14,b2091
160,14,b2092_1
161,14,b2092_2
162,14,b2093
163,14,b2094
164,14,b2095
165,14,b2096
166,14,b2143
167,14,b2148
168,14,b2149
169,14,b2150
170,14,b2151
171,14,b2239
172,14,b2240
173,14,b2597
174,14,b2796
175,14,b3001
176,14,b3358
177,14,b3403
178,14,b3476
179,14,b3599
180,14,b3600
181,14,b3601
182,14,b3774
183,14,b4021
184,14,b4267
185,14,b4357
186,14,b4498_1
187,15,b1796
188,15,b1800
189,15,b2221
190,15,b2222
191,15,b2223
192,15,b2224
193,16,b0522
194,16,b0523
195,16,b1131
196,16,b1623
197,16,b1660
198,16,b1849
199,16,b2312
200,16,b2313
201,16,b2476
202,16,b2499
203,16,b2500
204,16,b2557
205,16,b3654
206,16,b4005
207,16,b4006
208,16,b4064
209,17,b0208
210,17,b0447
211,17,b1379
212,17,b1380
213,17,b1420
214,17,b1925
215,17,b2210
216,17,b3343
217,17,b3344
218,17,b3345
219,17,b3346
220,17,b3369
221,17,b3708
222,17,b4026
223,17,b4050
224,17,b4501
225,18,b3875
226,18,b3876
227,18,b3877
228,18,b3878
229,18,b3879
230,18,b3880
231,18,b3881
232,18,b3882
233,18,b3883
234,18,b3884
