,sodA
Cr_1,-0.015746119548984267
Cr_2,-0.009956932123861794
Cr_3,-0.006225391991409153
Cr_4,-0.012537834026890559
Cr_5,-0.03148083967177001
Cr_6,-0.035164998478928386
Fe_1,0.009911228323175742
Fe_2,0.03368283291674557
Fe_3,0.0649480527324998
Fe_4,0.08189421865289519
Fe_5,0.08545090062044514
Fe_6,0.08408838739486957
Cd_1,0.0009871936835438614
Cd_2,0.0004897934211581068
Cd_3,0.00021006206810409093
Cd_4,0.00040983509226156297
Cd_5,0.0011427840940710318
Cd_6,0.01020492218802596
Zn_1,0.019076935935566062
Zn_2,0.0763554273488097
Zn_3,0.14225765178953534
Zn_4,0.19569176165798907
Zn_5,0.25827385848856843
Zn_6,0.28520210526205936
Cu_1,0.013506388030043956
Cu_2,0.029232805911670406
Cu_3,0.035832271150249013
Cu_4,0.04677108227344032
Cu_5,0.05343723776828465
Cu_6,0.06369036817956887
Pb_1,-0.0012619286414994036
Pb_2,0.008747869819633255
Pb_3,0.017652764564167832
Pb_4,0.034412875822521886
Pb_5,0.05102521401398862
Pb_6,0.06042585555493935
