,setA
Cr_1,-0.001916429766695809
Cr_2,-0.0014018226173858556
Cr_3,0.005468809527968663
Cr_4,0.011530064484768027
Cr_5,0.012264883618907476
Cr_6,0.008968934295631151
Fe_1,-0.04813354077917839
Fe_2,-0.07684153414763897
Fe_3,-0.0848111629968241
Fe_4,-0.06659400341505342
Fe_5,-0.05370622751947172
Fe_6,-0.012990399462974466
Cd_1,-0.004444852232125618
Cd_2,-0.0064484058602250465
Cd_3,-0.0029112376231380105
Cd_4,0.002869925617275284
Cd_5,0.0019678947832168594
Cd_6,0.006623823124790821
Zn_1,-0.011559312694743536
Zn_2,-0.023029268620491376
Zn_3,-0.022263941480464938
Zn_4,-0.025279604893795368
Zn_5,-0.019530217067302603
Zn_6,-0.022719006978695475
Cu_1,0.0007310855275659344
Cu_2,0.004525098201671545
Cu_3,0.008567783664414061
Cu_4,0.01310087840318669
Cu_5,0.018173649379691896
Cu_6,0.02076541010760633
Pb_1,0.0027647170595848317
Pb_2,-0.0001765222020964105
Pb_3,0.009479908296971613
Pb_4,0.023564977370572046
Pb_5,0.035502491768475
Pb_6,0.04634214660949031
