,yjaB
Cr_1,0.004315505328622079
Cr_2,0.012587412928734837
Cr_3,0.024133202684837426
Cr_4,0.03768323383292496
Cr_5,0.048585280893758964
Cr_6,0.05836288042461864
Fe_1,-0.014425212062871872
Fe_2,-0.02773864415274524
Fe_3,-0.0411400811659401
Fe_4,-0.05639030583675093
Fe_5,-0.06487621152500228
Fe_6,-0.07093672503397158
Cd_1,0.0028013004678847995
Cd_2,0.008233738316443556
Cd_3,0.009657080181561957
Cd_4,0.012361878553329772
Cd_5,0.006819437168172072
Cd_6,0.009159906758678156
Zn_1,-0.004499879710276646
Zn_2,-0.008570424391086932
Zn_3,-0.01349659475617994
Zn_4,-0.01461428118188902
Zn_5,-0.015873160604001704
Zn_6,-0.02290185244675024
Cu_1,0.007850970934893195
Cu_2,0.01732740188396471
Cu_3,0.02814584214287545
Cu_4,0.03585610088845475
Cu_5,0.04396343662259364
Cu_6,0.055086595058473166
Pb_1,-0.0008634088716209711
Pb_2,0.006211094315210906
Pb_3,0.007455609339292008
Pb_4,0.006308828156957613
Pb_5,0.01110670432281146
Pb_6,0.022361144611481896
