,yfeA
Cr_1,0.0014991384452598495
Cr_2,0.00405889268628044
Cr_3,0.007249528570311982
Cr_4,0.00866984561005488
Cr_5,0.009529374442401095
Cr_6,0.009188270220072068
Fe_1,-0.004803861127944479
Fe_2,-0.006006973807469865
Fe_3,0.009480721916206872
Fe_4,0.030260387489057586
Fe_5,0.05545534198464423
Fe_6,0.07275630152062633
Cd_1,0.002531554251420676
Cd_2,0.004899398183265446
Cd_3,0.00893760325510823
Cd_4,0.0132152626222029
Cd_5,0.014227863301036557
Cd_6,0.0238593558303695
Zn_1,0.0010160012490885073
Zn_2,0.010393132076348226
Zn_3,0.0364722499181159
Zn_4,0.062837465382597
Zn_5,0.08969265552114118
Zn_6,0.11930000043872176
Cu_1,-0.001051549904531768
Cu_2,0.0012916096229657339
Cu_3,0.004859991505341255
Cu_4,0.010651330681524662
Cu_5,0.020367714835781547
Cu_6,0.028792362560257363
Pb_1,0.0073140753560440065
Pb_2,0.009918008888694612
Pb_3,0.01507997499062966
Pb_4,0.02574224401780811
Pb_5,0.02576314598602625
Pb_6,0.0303596108471753
