,yliE
Cr_1,-0.01899370024666988
Cr_2,-0.03609815590470202
Cr_3,-0.03506346604900324
Cr_4,-0.04916072125776788
Cr_5,-0.07090613541252418
Cr_6,-0.07310777371510523
Fe_1,-0.004806714191260086
Fe_2,-0.0107346835611219
Fe_3,-0.014715331662601428
Fe_4,-0.02184723926216174
Fe_5,-0.02777367668353727
Fe_6,-0.03471955088921535
Cd_1,0.01832714182613744
Cd_2,0.046890311602783626
Cd_3,0.08971740365039353
Cd_4,0.15675589089068254
Cd_5,0.2531770806095873
Cd_6,0.38085717839350935
Zn_1,-0.003421180523736085
Zn_2,-0.01024637340910879
Zn_3,-0.020414524134370282
Zn_4,-0.02879328887883995
Zn_5,-0.04041062128653167
Zn_6,-0.05109571004903149
Cu_1,0.0005453929772018399
Cu_2,0.002577328781247289
Cu_3,0.007107082717361092
Cu_4,0.012728519229288691
Cu_5,0.01767714719875223
Cu_6,0.02412946761117634
Pb_1,0.003454566636112005
Pb_2,0.012544484203339215
Pb_3,0.0210820565815624
Pb_4,0.0346268260331504
Pb_5,0.04742254207119335
Pb_6,0.06298718476960531
