,ycaP
Cr_1,-0.009831773565692542
Cr_2,-0.006337075372027168
Cr_3,0.007519543970636133
Cr_4,0.014812300547348453
Cr_5,0.025906130974721588
Cr_6,0.03316762047311789
Fe_1,-0.009505882588965887
Fe_2,-0.040450091472663235
Fe_3,-0.07597410557849303
Fe_4,-0.11062145763234113
Fe_5,-0.15724346892208507
Fe_6,-0.18916387990663733
Cd_1,0.0072802615445227295
Cd_2,0.011551355752075802
Cd_3,0.01218624843176704
Cd_4,0.014213715354634657
Cd_5,0.014841976131616646
Cd_6,0.025183818991689755
Zn_1,-0.025287694520057486
Zn_2,-0.04692576966471524
Zn_3,-0.06319572423445573
Zn_4,-0.07361552445724215
Zn_5,-0.0628622936120848
Zn_6,-0.052022976018400606
Cu_1,0.003582918195073465
Cu_2,0.013540690174216906
Cu_3,0.026747288182602098
Cu_4,0.03950888637881938
Cu_5,0.04375981186450325
Cu_6,0.04961452175150539
Pb_1,0.00450005963285353
Pb_2,0.015681414473854585
Pb_3,0.02664563430735177
Pb_4,0.039719983410988
Pb_5,0.045246421266271326
Pb_6,0.05812652683703681
