,nhaA
Cr_1,0.0035020474968805388
Cr_2,0.008720348057682544
Cr_3,0.0205262171556423
Cr_4,0.0287560474616878
Cr_5,0.03399423193989829
Cr_6,0.04535553978949232
Fe_1,-0.007517262064611869
Fe_2,-0.02512941432330675
Fe_3,-0.04026722310958841
Fe_4,-0.0649277468122003
Fe_5,-0.10119985590238967
Fe_6,-0.10952857595041483
Cd_1,-0.0036120651135475882
Cd_2,-0.005888725034623368
Cd_3,-0.00541038529628614
Cd_4,-0.002804021237756913
Cd_5,-0.0008809021723090743
Cd_6,0.008118051271292767
Zn_1,0.005363777454365536
Zn_2,-0.0030728251449597464
Zn_3,-0.017952640569760144
Zn_4,-0.02354375095947961
Zn_5,-0.032809298849557585
Zn_6,-0.03857168085891728
Cu_1,0.006950653684851697
Cu_2,0.00992313908552122
Cu_3,0.01843295652609625
Cu_4,0.027091196572060453
Cu_5,0.03490610472301366
Cu_6,0.04431138302730875
Pb_1,0.008907362219914111
Pb_2,0.014775173393197203
Pb_3,0.02617059616811531
Pb_4,0.04061875882618635
Pb_5,0.05484959640889407
Pb_6,0.07228394282428828
