,ruvA
Cr_1,8.152930341834207e-05
Cr_2,0.0027953608253444163
Cr_3,0.0073479358161566465
Cr_4,0.012909678073175704
Cr_5,0.0226908626215997
Cr_6,0.02715566291425117
Fe_1,-0.007320539594197191
Fe_2,-0.01965684046925349
Fe_3,-0.03288920171393947
Fe_4,-0.05568706296028085
Fe_5,-0.07713638245973319
Fe_6,-0.10198220327493043
Cd_1,0.002588023915485205
Cd_2,0.006636342636482026
Cd_3,0.010685383376492823
Cd_4,0.016412957018266398
Cd_5,0.016730017067491568
Cd_6,0.01718617684954171
Zn_1,-0.005972906887789182
Zn_2,-0.002668315120414244
Zn_3,0.011906840152426127
Zn_4,-0.01132542017099789
Zn_5,-0.03152743964065788
Zn_6,-0.04291476107018783
Cu_1,0.005499261770301384
Cu_2,0.01277534336779588
Cu_3,0.01803229971854309
Cu_4,0.01711638447668795
Cu_5,0.022939990652853046
Cu_6,0.023274069226450818
Pb_1,0.022442555868611352
Pb_2,0.04509281910336326
Pb_3,0.059803277255597725
Pb_4,0.07040284919037039
Pb_5,0.07841624474126299
Pb_6,0.08563616370133513
