,ykgE
Cr_1,0.007903742676530856
Cr_2,0.01868967505298317
Cr_3,0.03126874546452417
Cr_4,0.0324891614892002
Cr_5,0.0351898962181757
Cr_6,0.03810771984837536
Fe_1,-0.011083196003152707
Fe_2,-0.030666296252045783
Fe_3,-0.03179049176273885
Fe_4,-0.016725504752847908
Fe_5,-0.005476265664605522
Fe_6,0.002649886589928395
Cd_1,0.019714664641476545
Cd_2,0.028768933934754687
Cd_3,0.03640993201987558
Cd_4,0.03734523531830819
Cd_5,0.029720168782302762
Cd_6,0.035295708768274946
Zn_1,0.023296702210646805
Zn_2,-0.00013367882102975645
Zn_3,-0.007206023098894055
Zn_4,0.016014816643720942
Zn_5,0.002763905231954568
Zn_6,-0.02003287418214246
Cu_1,0.023384769733797942
Cu_2,0.03567941182181451
Cu_3,0.03251183538835873
Cu_4,0.031339498615006754
Cu_5,0.041350263393455884
Cu_6,0.05626276811081693
Pb_1,-0.01568667777040745
Pb_2,-0.03519657512549137
Pb_3,-0.04207993555421564
Pb_4,-0.046726224826727884
Pb_5,-0.05065146026400108
Pb_6,-0.05375491015481319
