,USA300HOU_RS10230
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,5.8654505587
USA300_LAC_U01-Set001_CAMHB_Control_1,6.8756776946
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,6.6096504485
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,6.864888585
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,7.5802919366
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,6.2261611289
USA300_LAC_U01-Set001_CAMHB_Control_2,6.7562079614
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,6.7087519823
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,6.791762787
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,7.925019472
USA300_TCH1516_U01-Set000_CAMHB_Control_1,6.7200034666
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,6.5992679519
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,6.582997677
USA300_LAC_U01-Set001_R10LB_PreCulture_1,7.5186724449
USA300_LAC_U01-Set001_R10LB_PreCulture_2,7.1578105153
USA300_LAC_U01-Set001_R10LB_Control_1,7.7597992398
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,7.8412559952
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,8.2923315976
USA300_LAC_U01-Set001_R10LB_Control_2,7.7608542449
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,7.7690692183
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,8.030165514
USA300_TCH1516_U01-Set000_R10LB_Control_1,7.6207667432
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,7.9013690146
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,8.086063335
USA300_TCH1516_U01-Set000_R10LB_Control_2,7.844859151
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,7.6748869546
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,7.9969205586
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,6.6717478561
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,6.6989628228
USA300_TCH1516_U01-Set000_CAMHB_Control_2,6.7710847679
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,6.756710291
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,6.8160579729
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,7.3390579122
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,7.419391833
USA300_LAC_U01-Set004_CAMHB_Control_1,7.1793392344
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,7.3796021478
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,7.5131246774000005
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,10.0356616697
USA300_LAC_U01-Set004_CAMHB_Control_2,7.3317842437
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,7.1066191092
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,7.7918695525
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,9.867458698
USA300_LAC_U01-Set004_R10LB_Control_1,7.6244748708
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,8.1978368879
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,8.2829553885
USA300_LAC_U01-Set004_R10LB_Control_2,7.4928560818
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,8.1871770767
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,8.1925160769
USA300_TCH1516_U01-Set003_CAMHB_Control_2,6.3041161961
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,6.6394225812
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,6.4094971560000005
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,6.3726990462
USA300_TCH1516_U01-Set003_CAMHB_Control_3,6.2433274574
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,6.1450968602
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,6.0542254276
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,6.5036670781
USA300_LAC_ICA-Set001_R10LB_Control_1,7.6186604585
USA300_LAC_ICA-Set001_R10LB_Control_2,7.5891391431
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,7.4450002419
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,7.6442878499999996
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,7.8460794814
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,7.7811611882000005
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,7.6280894559
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,7.5924878904
USA300_TCH1516_BK-Set001_THB_Control_1,5.6075574723
USA300_TCH1516_BK-Set001_THB_Control_2,6.2089444345
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,6.3081393201000004
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,6.324777532
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,7.931953999
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,7.3617491227
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,6.0246003283
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,5.8420824022
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,7.3985687096
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,7.1950179633
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,7.3569792752
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,6.9695900197
USA300_LAC_ICA-Set002_CAMHB_Control_1,6.6555813508
USA300_LAC_ICA-Set002_CAMHB_Control_2,6.6402715829
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,7.8105279993
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,7.7618647416
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,7.1089573243
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,7.173045611
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,8.0133530114
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,8.040514514
USA300_SNFM1_ICA-Set002_R10LB_Control_1,8.4104559791
USA300_SNFM1_ICA-Set002_R10LB_Control_2,8.3032034911
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,8.3127857224
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,8.4735633068
USA300_SNFR19_ICA-Set002_R10LB_Control_1,8.4659842104
USA300_SNFR19_ICA-Set002_R10LB_Control_2,8.3099445593
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,6.725689647
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,6.7888642884
USA300_TCH1516_ICA-Set002_R10LB_Control_1,6.6477837489
USA300_TCH1516_ICA-Set002_R10LB_Control_2,6.7627267005
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,6.3381059179
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,6.3182888654
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,6.3304499157
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,6.4920390302
USA300_TCH1516_ICA-Set003_250nMParaquat_1,7.0039100734
USA300_TCH1516_ICA-Set003_250nMParaquat_2,6.6733326721
USA300_TCH1516_ICA-Set003_2gLGalactose_1,6.6706919876
USA300_TCH1516_ICA-Set003_2gLGalactose_2,6.7280345502
USA300_TCH1516_ICA-Set003_2gLPyruvate_1,6.5241686367
USA300_TCH1516_ICA-Set003_2gLPyruvate_2,6.1636092371
USA300_TCH1516_ICA-Set003_Control_1,7.4403073132
USA300_TCH1516_ICA-Set003_Control_2,6.9833150139
USA300_TCH1516_ICA-Set003_StationaryPhase_1,6.2745380116
USA300_TCH1516_ICA-Set003_StationaryPhase_2,6.2846027563
