,-0.08414952612054546,-0.06731962089643637,-0.05048971567232727,-0.03365981044821817,-0.01682990522410907,2.7755575615628914e-17,0.016829905224109126,0.033659810448218225,0.05048971567232732,0.06731962089643642,0.08414952612054552,0.10097943134465462,0.11780933656876372,0.13463924179287282,0.15146914701698191,0.168299052241091,0.1851289574652001,0.2019588626893092,0.2187887679134183,0.2356186731375274
thresh,-0.09256447873260001,0.09256447873260001,5,,,,,,,,,,,,,,,,,
unreg,1,1,11,90,787,2252,661,69,25,3,2,1,0,0,0,1,1,0,0,0
Ile-tRNA,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
IlvY,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Leu-tRNA,0,0,0,0,0,1,2,0,0,0,2,0,4,0,0,0,0,0,0,0
Ile-tRNA and Leu-tRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],['yaaX'],[],[],[],['ilvG_1'],['ilvG_2'],[],[],[]
Ile-tRNA_genes,[],[],[],[],[],[],['thrA'],[],[],[],[],[],[],['thrC' 'thrB'],[],[],[],[],[],[]
IlvY_genes,[],[],[],[],['ilvY'],[],[],[],[],[],[],[],[],['ilvC'],[],[],[],[],[],[]
Leu-tRNA_genes,[],[],[],[],[],['uhpA'],['uhpB' 'uhpC'],[],[],[],['ilvB' 'ilvN'],[],['leuD' 'leuC' 'leuB' 'leuA'],[],[],[],[],[],[],[]
Ile-tRNA and Leu-tRNA_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],['ilvE'],['ilvA' 'ilvD'],[],[],['ilvM'],[],[]
