,A,IlvY
R2,,0.017282418171627678
xmin,,2.3880965019
xmid,,4.942262542486202
xmax,,5.7466340812
ystart,,-1.2729114381703326
yend,,3.148723196553547
control__wt_glc__1,-0.2805660646,3.6469094995
control__wt_glc__2,0.2805660646,3.8461926459
fur__wt_dpd__1,7.9130855704,4.5720108602
fur__wt_dpd__2,9.5112174011,4.511140323
fur__wt_fe__1,0.1799370593,3.8974691299
fur__wt_fe__2,-0.1603380507,3.6721150455
fur__delfur_dpd__1,1.2393001571,4.6155506257
fur__delfur_dpd__2,1.7847881870000002,4.0952412037
fur__delfur_fe2__1,1.5365269484000001,4.127697604
fur__delfur_fe2__2,0.8006307965,3.7385749361
acid__wt_ph5__1,-1.175714865,4.5498872665
acid__wt_ph5__2,-0.9061931313,4.5913641377
acid__delgadx_ph5__1,-1.119885805,4.5015210556
acid__delgadx_ph5__2,-0.9620050574000001,4.2874734906
acid__delgadw_ph5__1,-1.3683374142,4.5640058688
acid__delgadw_ph5__2,-1.6387273607,4.0715932536
acid__delgade_ph5__1,-0.1102928571,4.6417637073
acid__delgade_ph5__2,0.1189079457,4.5111481038
oxidative__wt_pq__1,8.2450404458,5.6783345752
oxidative__wt_pq__2,8.0644297064,5.0678484549
oxidative__deloxyr_pq__1,9.851149028,5.1927308741000004
oxidative__deloxyr_pq__2,9.7955650008,5.0327862159
oxidative__delsoxr_pq__1,9.7523540721,4.7707284722
oxidative__delsoxr_pq__2,9.1822027788,4.922943285
oxidative__delsoxs_pq__1,8.6133608597,5.2104147825
oxidative__delsoxs_pq__2,8.5131643117,5.2396843776
nac_ntrc__wt_csn__1,1.5244950284,4.0754997805
nac_ntrc__wt_csn__2,1.1726210873,4.3035958809
nac_ntrc__wt_cytd__1,-3.4636448695,4.2558025472
nac_ntrc__wt_cytd__2,-3.4214330234,4.0515589365
nac_ntrc__wt_gln__1,-8.5708958493,4.3077929027
nac_ntrc__wt_gln__2,-7.1782391914,4.3164705523
nac_ntrc__bw_delnac_csn__1,0.20159025460000002,4.8500924494
nac_ntrc__bw_delnac_csn__2,1.8236045390000002,4.935984312
nac_ntrc__bw_delnac_cytd__1,0.33347731280000004,4.3826277628
nac_ntrc__bw_delnac_cytd__2,0.5531299977,4.5224206145
nac_ntrc__bw_delnac_gln__1,-5.3630413936,4.3946000247
nac_ntrc__bw_delnac_gln__2,-5.110464083,3.9541200806
nac_ntrc__bw_delnac_nh4__1,3.3787207322,4.3574327214
nac_ntrc__bw_delnac_nh4__2,3.2954977425,4.3165115821
misc__wt_no_te__1,0.3919680366,4.5258075135
misc__wt_no_te__2,1.0291174486,4.4708178987
misc__bw_delcbl__1,4.2841035945,4.529521973
misc__bw_delcbl__2,4.3783637222,4.3415714506
misc__bw_delfabr__1,4.4229628055,4.1540598192000004
misc__bw_delfabr__2,4.7030213735,4.1548331209
misc__bw_delfadr__1,3.2040354392,4.0848311787
misc__bw_delfadr__2,3.0126603894,4.4409036288
misc__nitr_031__1,0.1039612074,4.6242381065
omics__wt_glu__1,0.5936104884,3.9117751455
omics__wt_glu__2,0.4518436589,3.9904966483
omics__wt_gly__1,0.6571116451,3.8979840534
omics__wt_gly__2,0.9885423311,4.0798396973
omics__wt_thr__1,-4.2740857679,4.5091843506
omics__wt_thr__2,-4.0483656427,4.2663230661
omics__bw_ac__1,-2.7164784442,4.9510855543000005
omics__bw_ac__2,-3.1249025919,4.7644760453
omics__bw_fum__1,-2.9435791122,4.9927150224000005
omics__bw_fum__2,-3.23697319,4.8281481659
omics__bw_glc__1,-2.7693201014,4.8247335651
omics__bw_glc__2,-2.2211109309,4.9189216757
omics__bw_pyr__1,-1.2026625272,5.0530205301
omics__bw_pyr__2,-0.9781376565000001,5.0276727224
ompr__wt_nacl__1,-7.9070625221,5.3754112765
ompr__wt_nacl__2,-7.8643522951,5.4632904911
ompr__bw_delompr_nacl__1,-12.9294743753,5.4339011007
ompr__bw_delompr_nacl__2,-13.6373192882,5.4087799037
minspan__wt_ade__1,-1.5017675734,3.4549993873
minspan__wt_glc__1,-2.7142098628999998,4.098957588
minspan__wt_glc__2,-3.1805702845,3.7806645607
minspan__wt_glc__3,-3.0080431054,3.7241328974
minspan__wt_glc__4,-3.1086137138,4.0251477135
minspan__wt_glc_anaero__1,0.5617023011,4.5446813297
minspan__wt_glc_anaero__2,0.2645690356,4.6333522708
minspan__wt_trp__1,-2.3122772051,4.0662854082
minspan__bw_delcra_glc__1,1.3361506717,4.1740121151
minspan__bw_delcra_glc__2,1.5779851802,4.1794263114
minspan__bw_delcra_trp__1,-1.3971141874000002,4.1250786518
minspan__bw_delmntr__1,2.0583690632,4.9686451616
minspan__bw_delnac_ade__1,8.7879060019,2.8962749405
minspan__bw_delnac_glc__1,-3.9252306966,3.4757747321
cra_crp__wt_ac__1,-2.0315970458,3.9998981689
cra_crp__wt_ac__2,-2.1158230239,3.5786902491
cra_crp__wt_fru__1,2.8583460694,3.8498218969
cra_crp__wt_fru__2,1.8062367478999999,3.7379298616
cra_crp__delcra_ac__1,-7.4988125395,4.4393461045
cra_crp__delcra_ac__2,-7.5345748028,4.4854059958
cra_crp__delcra_fru__1,0.9607190622,4.2054988193
cra_crp__delcra_fru__2,0.9554724113,4.168748843
cra_crp__delcra_glc__1,0.7591252708,4.3858492198
cra_crp__delcra_glc__2,0.804323655,4.2267737404
rpoB__wt_031__1,0.6012178935,4.168747414
rpoB__wt_044__1,1.3526198806,4.4357817139
rpoB__wt_lb__1,-19.6785203013,4.9151420927
rpoB__wt_lb__2,-19.1265243339,4.0500646503
rpoB__rpoBE546V_031__1,-0.11625091350000001,4.3645355241
rpoB__rpoBE546V_044__1,0.6222939132,3.271795157
rpoB__rpoBE546V_lb__1,-16.5658154801,4.9660775343
rpoB__rpoBE546V_lb__2,-15.7132791375,4.3698407205
rpoB__rpoBE546V_glc__1,-2.5075792494,4.4156756198
rpoB__rpoBE672K_glc__1,3.0921719011,4.176724421
rpoB__rpoBE672K_glc__2,2.5764168758,3.8666025727
rpoB__rpoBE672K_lb__1,-16.8976072081,4.1353094685
rpoB__rpoBE672K_lb__2,-16.7927926434,4.6740592495
crp__wt_fru__1,-2.3347540494,4.4882410402
crp__wt_glyc__1,-1.1413232494,4.1812532456
crp__wt_glyc__2,-1.5711003185,4.3827618212
crp__delar1_glyc__1,-1.1769182371,5.1926438789
crp__delar1_glyc__2,-1.5158181983999999,5.341015502
crp__delar1ar2_glyc__1,-1.1121561042,4.4915765359
crp__delar1ar2_glyc__2,-1.9894438478,4.9395226952
crp__delar1ar2_glyc__3,-1.5572733807999999,4.5614257135
crp__delar2_glyc__1,-1.0214908691,4.8795887368
crp__delar2_glyc__2,-1.2763737596,4.7873018438
crp__delar2_glyc__3,-1.5555257865,4.8983496701
crp__delcrp_fru__1,-0.8115791189,4.8459767918
crp__delcrp_fru__2,-0.7484384852,5.0484544159
crp__delcrp_fru__3,-0.6526691951,4.5447312877
crp__delcrp_glc__1,-2.2075998655,4.6390165467
crp__delcrp_glc__2,-2.0895501534,4.6451900063
crp__delcrp_glc__3,-2.0512489653,4.6123342317
crp__delcrp_glyc__1,1.2957729447,4.7591506522
crp__delcrp_glyc__2,2.0751988526,4.4420152608
crp__delcrp_glyc__3,2.447504797,4.2518936323
glu__glu_ale3__1,5.2299350798,5.6239253585
glu__glu_ale4__1,1.8837037219,4.6451396340999995
glu__glu_ale5__1,1.4568015788,4.0103133532
glu__glu_ale6__1,-0.0568610157,4.2122221384
glu__glu_ale8__1,4.7578941111,5.7466340812
glu__glu_ale9__1,3.3241990968,5.2344662831
glu__glu_ale10__1,4.922106068,5.6109516974
42c__wt_42c__1,4.2492373297,4.4867340067
42c__42c_ale1__1,1.772034603,4.4395246139
42c__42c_ale2__1,4.0562472554,5.0445276846
42c__42c_ale3__1,3.1729104793,5.0432840629
42c__42c_ale4__1,1.4402223664,5.1325970998
42c__42c_ale5__1,1.5269557966,4.7154229592
42c__42c_ale6__1,7.6382990889,5.5246526302
42c__42c_ale8__1,4.7091035023,5.5787471663
42c__42c_ale9__1,1.7915654465,4.7336491378000005
42c__42c_ale10__1,4.3787361863,5.6083898433
ssw__wt_ac__1,-10.8793555898,4.4742557021
ssw__wt_glc__1,-0.7258072204,3.7430236271
ssw__wt_glyc__1,-10.6117248018,4.9727844746
ssw__wt_xyl__1,6.2631073983,4.6207850787
ssw__glc_ale1__1,0.5309184695,4.3575541536
ssw__glc_ale2__1,2.611920911,4.3255031989
ssw__glc_ale3__1,-0.8469041532,4.7705261984
ssw__glyc_ale1__1,5.0884347869,3.8744989028
ssw__glyc_ale2__1,1.1854292192,3.5698632238
ssw__xyl_ale1__1,-2.0919165646,4.7702418102
ssw__xyl_ale2__1,-4.4433325693,4.7639570438
ssw__xyl_ale3__1,-1.711256094,4.5243419715
ssw__glc_ac_ac2__1,-7.6673316195,4.4799212559
ssw__glc_ac_glc1__1,-3.2222210767,5.3065782277
ssw__glc_ac_glc2__1,-3.1027527273,3.8321847947
ssw__glc_glyc_glc__1,0.5596064540000001,4.76292794
ssw__glc_glyc_glyc__1,-1.757784652,4.7517036352
ssw__glc_xyl_glc__1,-4.2017701425,4.231808237
ssw__glc_xyl_xyl__1,-2.1033670554,3.8983961549
pgi__glu4_delpgi__1,2.1374619856,4.4654979468
pgi__pgi_ale1__1,-3.4200600865,4.5763322695
pgi__pgi_ale2__1,-1.7075400586,4.4117216175
pgi__pgi_ale3__1,-2.9995307568,4.2096852711
pgi__pgi_ale5__1,-1.5674824182,4.3877987238
pgi__pgi_ale6__1,-1.8456995098000002,4.6890828161
pgi__pgi_ale7__1,-0.6903384696,4.5473509191
pgi__pgi_ale8__1,0.5152565015,4.0407131019
ica__wt_glc__1,-0.1714230223,3.5397088033
ica__wt_glc__2,0.0960184593,3.1065146965
ica__wt_glc__3,0.5053707964,3.9677587873
ica__wt_glc__4,-0.9458413874,3.7004669606
ica__arg_sbt__1,2.7704509298,3.5885477293
ica__arg_sbt__2,3.1696400578,3.4670134497
ica__cytd_rib__1,-8.4817683669,4.2676616498
ica__cytd_rib__2,-9.9067270183,4.3544073448
ica__gth__1,-5.7566138557,4.0726510681
ica__gth__2,-3.9850411602999998,4.2955682939
ica__leu_glcr__1,3.6656639892,2.7357877461999998
ica__leu_glcr__2,3.5713859919,2.3880965019
ica__met_glc__1,-0.7879043971,3.2521578863
ica__met_glc__2,0.0001208205,3.5906135993
ica__no3_anaero__1,-2.7446036619000003,4.1354461481
