,ybeF
Cr_1,5.0945273329009085e-05
Cr_2,-0.004272429471020065
Cr_3,0.001165101991996202
Cr_4,0.0006364973071401636
Cr_5,-0.0135737796363847
Cr_6,-0.026875591345640545
Fe_1,-0.010130014188923543
Fe_2,-0.032557571801375834
Fe_3,-0.04478361062768125
Fe_4,-0.05459285380513452
Fe_5,-0.054752878997288604
Fe_6,-0.09182038162327473
Cd_1,0.005720950798539735
Cd_2,0.011650707544316451
Cd_3,0.022854501492618782
Cd_4,0.036822722747868235
Cd_5,0.04663755515844355
Cd_6,0.054197123478678465
Zn_1,-0.010116936134894049
Zn_2,-0.07250978585227894
Zn_3,-0.06933012891164393
Zn_4,-0.01999095922479809
Zn_5,-0.09927120351116693
Zn_6,0.050488208299475715
Cu_1,0.011923405537053991
Cu_2,0.012753599964644554
Cu_3,0.013221253739246866
Cu_4,0.02227706735120348
Cu_5,0.03725651450618021
Cu_6,0.04750706556889063
Pb_1,0.019306346494398285
Pb_2,0.030549256833959208
Pb_3,0.05503776006142571
Pb_4,0.08412143424364979
Pb_5,0.1232149451568421
Pb_6,0.16240125118036866
