,yahD
Cr_1,-0.00792923999133735
Cr_2,-0.011698326602883537
Cr_3,-0.011198479122432315
Cr_4,-0.013210160394663054
Cr_5,-0.012623314409999541
Cr_6,-0.018657037390756533
Fe_1,-0.011982424325101932
Fe_2,-0.030008961049373957
Fe_3,-0.04680209040819794
Fe_4,-0.05284601630151696
Fe_5,-0.05255635933039832
Fe_6,-0.04678182028101125
Cd_1,-0.005222185225528818
Cd_2,-0.007014220831838612
Cd_3,-0.008517974803902288
Cd_4,-0.007928195154653647
Cd_5,-0.015896902974242646
Cd_6,-0.017335108727137873
Zn_1,0.3458825090083408
Zn_2,0.6228273245371986
Zn_3,0.6965920213075256
Zn_4,0.7064703879433373
Zn_5,0.7335228020056863
Zn_6,0.5840578297122214
Cu_1,0.008636826448739887
Cu_2,0.017107139587328492
Cu_3,0.025559251385413432
Cu_4,0.03350418373742176
Cu_5,0.04366306901846667
Cu_6,0.05069833903998733
Pb_1,0.0031309930552966
Pb_2,0.005226016919128522
Pb_3,0.009907723952927588
Pb_4,0.01959397308929781
Pb_5,0.0322282752953819
Pb_6,0.04477469108357523
