,ygbJ
Cr_1,-0.006505957718732372
Cr_2,-0.003091120890188996
Cr_3,0.006105737007977752
Cr_4,0.022561788149852557
Cr_5,0.0328379202866037
Cr_6,0.0399738532204165
Fe_1,-0.0026548642839505326
Fe_2,-0.012953449896078896
Fe_3,-0.010448972841080614
Fe_4,-0.016994677064514394
Fe_5,-0.03505063288568775
Fe_6,-0.046138239930565206
Cd_1,0.0016683459222023972
Cd_2,0.003563477878002054
Cd_3,0.009673151703959956
Cd_4,0.017253913657566268
Cd_5,0.01944577208997076
Cd_6,0.02949299977054685
Zn_1,-0.003439477605077441
Zn_2,0.00010318375362812284
Zn_3,0.012368797280979978
Zn_4,0.015980665994177436
Zn_5,0.02334914824358881
Zn_6,0.021683230608653875
Cu_1,0.004462056398671557
Cu_2,0.010127365112979255
Cu_3,0.02056908962806228
Cu_4,0.0299299595096645
Cu_5,0.041609333578868465
Cu_6,0.046287098841579284
Pb_1,0.0038140264333834314
Pb_2,0.007495258407337079
Pb_3,0.00836224677117756
Pb_4,0.014579276740645204
Pb_5,0.01897317897546325
Pb_6,0.02677458318846476
