,yzgL
Cr_1,-0.00147853976381855
Cr_2,0.005329179486131433
Cr_3,0.005165524168247622
Cr_4,0.0090334251037311
Cr_5,0.005353131605500685
Cr_6,0.010588955859462769
Fe_1,-0.009312781232690515
Fe_2,-0.02963509671476885
Fe_3,-0.03869161825417754
Fe_4,-0.04643665256941593
Fe_5,-0.04404271883396047
Fe_6,-0.04031427180512009
Cd_1,-0.001206689989850973
Cd_2,-0.004635844371279964
Cd_3,-0.009441442124490782
Cd_4,-0.009604196750852551
Cd_5,-0.015298466807199138
Cd_6,-0.013411239866976805
Zn_1,-0.01610090996207741
Zn_2,-0.024934133229895992
Zn_3,-0.018223749290140177
Zn_4,-0.00573302407580949
Zn_5,0.0017198418521171984
Zn_6,0.012788332001132248
Cu_1,0.003046188728987522
Cu_2,0.006038108140859247
Cu_3,0.015354062883397988
Cu_4,0.019410544121810758
Cu_5,0.021364809916659074
Cu_6,0.025328825920068705
Pb_1,0.00019375221711132525
Pb_2,0.0026987366651547713
Pb_3,0.006417403949516927
Pb_4,0.013946796736962506
Pb_5,0.022470215151790162
Pb_6,0.03112175096605115
