,speB
Cr_1,0.026445001606966195
Cr_2,0.019250916568501374
Cr_3,0.015773086704431716
Cr_4,0.015360716130365343
Cr_5,0.018992581097799343
Cr_6,0.0168239171548819
Fe_1,-0.012500830779974666
Fe_2,-0.033623456561413106
Fe_3,-0.05664322787288159
Fe_4,-0.0881031220982325
Fe_5,-0.11660069531432983
Fe_6,-0.14203225764019126
Cd_1,0.008083122823425699
Cd_2,0.012976223885048377
Cd_3,0.020406848739683698
Cd_4,0.023848174179800098
Cd_5,0.026237087901157755
Cd_6,0.03266162727562301
Zn_1,-0.003494184613356038
Zn_2,-0.0013953894289030115
Zn_3,-0.008673405730999536
Zn_4,-0.007966515133765057
Zn_5,-0.003479969343970711
Zn_6,0.0033102269534926267
Cu_1,-0.001035722227560393
Cu_2,0.004954854377802102
Cu_3,0.01238786431895445
Cu_4,0.01677050636621603
Cu_5,0.024947109404057453
Cu_6,0.031510315185634866
Pb_1,-0.0041592078847542185
Pb_2,-0.003962114833949883
Pb_3,0.002590418742980575
Pb_4,0.01245160238422759
Pb_5,0.018975171222338383
Pb_6,0.028596614537747787
