,rstA
Cr_1,-0.0020347092465005804
Cr_2,-0.0037912242269051133
Cr_3,-0.011749127688996434
Cr_4,-0.011778734547055074
Cr_5,-0.017049480529236428
Cr_6,-0.023476771935911037
Fe_1,-0.029946118227054307
Fe_2,-0.07873727586334603
Fe_3,-0.11967719287351518
Fe_4,-0.15145646575308172
Fe_5,-0.16673687223547692
Fe_6,-0.16889064787195315
Cd_1,0.0019530931472511496
Cd_2,0.0043076114238627
Cd_3,0.006456512337954268
Cd_4,0.00868201755548674
Cd_5,0.005625188743334875
Cd_6,0.006592884029297857
Zn_1,-0.02667676930268796
Zn_2,-0.05505128039972389
Zn_3,-0.07972483664261422
Zn_4,-0.10847665129748177
Zn_5,-0.13332218225672074
Zn_6,-0.15928119942871405
Cu_1,0.0033650456195850045
Cu_2,0.010433682229750291
Cu_3,0.010489503873637002
Cu_4,0.013443990162315018
Cu_5,0.02037059300578993
Cu_6,0.02526497560396793
Pb_1,0.0051066836503844935
Pb_2,0.005197076992186728
Pb_3,0.012451989700401804
Pb_4,0.022442192958827663
Pb_5,0.030692608946574038
Pb_6,0.03619594760872858
