,A,GalR,GalS,Crp
R2,,0.02849445360673475,0.026121685726598898,0.02439269255415144
xmin,,-4.2588815576,-6.4770625146,-9.852476477
xmid,,-0.49214088132382566,-1.1683763884607103,-2.7883830546074484
xmax,,2.4568659215,5.4821160384,2.5388323397
ystart,,-1.2944183803298588,-1.3399717758525544,-2.2126016910829334
yend,,1.3004603405032757,1.1663098640473006,0.4952836596676995
SRX1125282,-0.31007795590000004,-0.0378289206,0.5809517996,0.0344951212
SRX1125283,0.019220198,-0.38528114300000005,-0.19002216160000002,0.1435731223
SRX1125284,0.5194259186,0.0441022207,-0.6905664267,0.2534372822
SRX1125285,0.0132962384,-0.3688874374,0.0644094613,0.283920339
SRX1125286,-0.1557377621,-0.49016455070000003,-0.2190113982,0.3175329239
SRX1125287,-0.4271966797,-0.6830606496,-0.0214763809,0.17602055360000002
SRX1125288,0.6745256518,-0.0500561978,-0.4716536546,0.005256366
SRX1125289,1.2890848727,0.1231404163,-0.3177186897,0.2819816342
SRX1125290,0.7656327333,-0.029406513000000002,0.1035593426,0.2801678667
SRX1125291,0.048211860200000005,-0.31636736320000003,-0.1768646654,0.4762089513
SRX1125292,0.0435066029,-0.2954727328,0.17252323560000002,0.5370175003000001
SRX1125293,-0.6136630126,-0.27214210650000004,0.398425896,0.5086233319
SRX1125294,-0.36444769590000003,0.0878851184,-0.10929814500000001,-0.039751487200000005
SRX1125295,-0.3599708025,-0.0072724787,-0.149956778,0.2905320638
SRX1125296,-0.1512433265,-0.0026193717,-0.4927539013,0.1859933018
SRX1125297,-0.7416351853,-0.2568221578,0.055792924800000004,0.3699621097
SRX1125298,-0.9269244958,-0.1528490057,0.8492318399000001,0.5483756585
SRX1125299,-0.7763368519,-0.40859073360000003,0.5519800907,0.50143841
SRX5694250,3.0415470668,-0.9196932634,-0.2770996665,-0.4516798918
SRX5694251,-8.3125943913,-0.2312725914,-0.7393938153,-1.8893970692000002
SRX5694252,3.5471864074,-0.6466607248,-1.4607705717,-0.1701238306
SRX5694253,0.2903720039,-0.5575634698,0.1431361707,0.1340371706
SRX5694254,-6.9784651999000005,-1.2748226549,0.560388085,-0.8477189713000001
SRX5694255,-2.3939082058,-2.6265260664,-2.5034793435,0.1307715067
SRX5694256,-1.4530335873,-0.930328137,0.4847488586,-0.2340068764
SRX5694257,-3.3321662589,-0.6093358385000001,-0.24224623,-0.33700626310000004
SRX5694258,0.3783954816,-1.0639372668,0.2154704128,-0.2857852433
SRX5694259,-11.4395212954,-0.7748135809000001,-0.4919276097,-2.9247054987
SRX5694260,1.1452706539,0.7808872361,-0.3424944062,0.0899715865
SRX5694261,-0.9633839636,0.3822808896,-1.5809633974000001,-1.6070723407
SRX5694262,0.9509056899,0.0397610008,-3.1804734075,-0.5390842036
SRX5694263,0.251027585,0.4292091995,0.0691686464,-0.0980165268
SRX5694264,-0.23692807470000002,-0.1681018114,-0.2088212263,0.2016373309
SRX5694265,-0.09820787210000001,0.3702057495,0.0299897633,-0.2490351859
SRX5694267,-0.0800609556,-0.8212894813,0.5945800887,0.0411821817
SRX5694268,1.7629118565000002,0.5718622125,0.7277068679,0.0231238538
SRX5694269,1.0210361025,0.7229215874,-0.1840968333,0.0476350313
SRX5694271,1.0417232197,0.4247250865,0.5436685797,0.24713669740000002
SRX5694273,-3.0901937972,-0.3246522549,-0.7810361689,-1.5465123927
SRX5694274,1.8831910658000002,0.6657989942,0.31476621990000003,0.2066153554
SRX5694275,3.2550662334,0.3977833423,-0.4245287542,-0.5157335737000001
SRX5694276,-4.6050589642,-0.2809660955,-0.6517432145000001,-1.8223907651
SRX5694277,0.5401850673,0.7261157759,-0.282595241,0.36042412560000003
SRX5694278,-2.4299678823,-0.1580470894,0.16872876080000002,-1.3002511837
SRX5694279,-0.14021523730000002,0.7043518364,0.9348142122,0.3379205155
SRX5694280,-0.36557986270000004,-1.4479589424000001,-0.3938962802,-0.6834405493
SRX5694281,2.1547363687,0.35811752420000004,0.6164887990000001,0.1656640608
SRX5694282,-11.2618095763,-0.3239140787,-0.8067219473,-0.9934080376000001
SRX5694283,-0.3177431638,0.1285254837,-0.2770969175,-0.3443110079
SRX5694284,-1.9744091406000002,0.6718874178,-0.6830994799,-0.9407234058
