,rplN
Cr_1,-0.00039697689581329925
Cr_2,-0.0008666920526452934
Cr_3,-0.0013938502670375248
Cr_4,-0.001932074208472593
Cr_5,-0.0016251641807436435
Cr_6,-0.0022463661118446434
Fe_1,-0.002701711857300751
Fe_2,-0.013485443743210037
Fe_3,-0.02831996586995212
Fe_4,-0.04365251167072739
Fe_5,-0.05419459665750117
Fe_6,-0.06048715222825012
Cd_1,0.0014711263278475994
Cd_2,0.0002449323714064496
Cd_3,0.00016513267651674336
Cd_4,0.00020167367901973208
Cd_5,0.00046963728536019637
Cd_6,0.0005886584043465848
Zn_1,-0.00359191166819356
Zn_2,-0.015036266284469402
Zn_3,-0.02406495729177359
Zn_4,-0.03227321426557378
Zn_5,-0.03887655800575217
Zn_6,-0.04483889611206187
Cu_1,0.004879044701085333
Cu_2,0.011022744379125569
Cu_3,0.012622414851793013
Cu_4,0.009785366089988964
Cu_5,0.007926439978226658
Cu_6,0.0077864599436114346
Pb_1,-0.0010778719220575638
Pb_2,-0.03169010215302557
Pb_3,-0.06732579116362604
Pb_4,-0.10240910040423233
Pb_5,-0.13402758315481378
Pb_6,-0.1564431106915387
